ID,Overall,Text
2,1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)"
4,0,Change has been successfully merged into the git repository by Stefan Xenos
8,0,Change has been successfully merged into the git repository by David Williams
11,0,Change has been successfully merged into the git repository by David Williams
14,0,Change has been successfully merged into the git repository by David Williams
18,0,Change has been successfully merged into the git repository by Jonathan Nieder
23,1,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes."
25,1,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/"
27,1,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow"
32,0,Change has been successfully merged into the git repository by Jonathan Nieder
35,0,Change has been successfully merged into the git repository by Sergey Prigogin
38,0,Change has been successfully merged into the git repository by Michael Rennie
47,0,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang."
55,0,Change has been successfully cherry-picked as 55be2778829c92a601e02b8b62afe4600cdc56d7 by Patrick Tasse
58,0,Change has been successfully cherry-picked as 2189785cb5e54774dc58e064c86478f4e5525dda by Patrick Tasse
61,0,Change has been successfully merged into the git repository by Kaloyan Raev
64,0,Change has been successfully merged into the git repository by Kaloyan Raev
67,0,Change has been successfully merged into the git repository by Zoltan Ujhelyi
70,0,Change has been successfully merged into the git repository by vincent lorenzo
73,0,Change has been successfully merged into the git repository by Jeff Johnston
76,0,Change has been successfully merged into the git repository by Carsten Reckord
80,0,Change has been successfully merged into the git repository by Young-Soo Roh
83,0,Change has been successfully merged into the git repository by Marc-Andr├® Laperle
88,0,Change has been successfully merged into the git repository by David Green
90,1,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/mylyn/job/gerrit-mylyn-docs/889/ : UNSTABLE
92,0,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.
96,1,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6647/ : UNSTABLE
98,0,Change has been successfully merged into the git repository by Marc Khouzam
100,1,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6648/ : UNSTABLE
102,0,Change has been successfully merged into the git repository by Marc Khouzam
105,0,Change has been successfully merged into the git repository by Doug Schaefer
108,0,Change has been successfully merged into the git repository by Doug Schaefer
111,0,Change has been successfully merged into the git repository by Roland Grunberg
116,0,Change has been successfully merged into the git repository by Christian W. Damus
119,0,Change has been successfully cherry-picked as 048cc0d846d640ef8fd0d6561bca9d2bfe5874e1 by Matthew Khouzam
121,1,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11206/ : UNSTABLE
123,1,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11207/ : UNSTABLE
125,0,Change has been successfully merged into the git repository by Mickael Istria
127,0,Change has been successfully pushed.
130,0,Change has been successfully merged into the git repository by Eike Stepper
133,0,Change has been successfully merged into the git repository by vincent lorenzo
135,0,Change has been successfully merged into the git repository by Zoltan Ujhelyi
147,0,Change has been successfully merged into the git repository by Hallvard Traetteberg
149,0,Change has been successfully merged into the git repository by Christian Pontesegger
155,0,Change has been successfully merged into the git repository by Marvin Mueller
160,0,Change has been successfully merged into the git repository by Andrew Johnson
163,0,Change has been successfully merged into the git repository by Thomas Watson
