ID,Overall,Text
1,1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)"
11,1,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes."
12,1,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/"
14,1,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow"
23,0,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang."
41,0,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.
65,0,Patch Set 4: Code-Review+2 Verified+1Test issues on core should be fixed with latest patch (working fine with tooling...)
133,0,Patch Set 4: Verified+1Expected output is good on Mac!
135,1,"Patch Set 1: Code-Review-2Needs new bugs created for remaining issues, including cross reference in call to org.eclipse.cdt.utils.CommandLineUtil.argumentsToStringBash(String[], boolean)"
137,0,"Patch Set 1:This also needs announcement on mailing list as there is a user visible change here, along with the future plans of resolving remaining quoting issues and SHELL != bash issues."
138,1,"Patch Set 1:Note to self: new bugs needed are:- ""incorrect"" handling of escaping (backslashes) on Windows, including in run mode- Assumption that shell=bash on linuxNot a bug exactly, but a question. What is the purpose of ""Arguments"" box. Should it try to match behaviour of command line / gdb on respective platform, or be a self-sustained standard. At the moment it is somewhere it between, with some behaviour consistent on diff platforms and some matching.And finally: We need windows tests. If they had been in place, we probably wouldn't of had a regression in Neon."
172,0,"Patch Set 1: Verified+1I do not know enough of annotations to really give a +1 code-review, but it did solve my problem with getIfPresent. Thanks!"
