ID,Overall,Text
20,0,"Patch Set 3:Chamal, Jan was kind here and accepted that change even if it changes nothing in what the code does at all, and the commit message does not really correspond to what the change actually does. But for your next time, try harder."
22,1,"Patch Set 2: Code-Review-1 Verified-1(1 comment)I corrected the commit message, to our standard.But I cannot see you have ""added"" a reference class, all you have done it split 1 line into 2 lines, I do not think it solves the problem"
57,1,"Patch Set 3: Code-Review+1It would be good if someone else confirms that ::Autofit is OK as the default value of a textbox (once the REAL default of ""expand frame to fit text"" is turned off)."
67,1,Patch Set 1: Code-Review+2 Verified+1gerrit failure is unrelated
86,1,"Patch Set 5:Actually, the call was not in use, so the risk is low, when we break binary compatibility."
87,1,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes."
88,0,"Patch Set 4:I meant '(and the ""old"" one just calls the ""new"" one with the text to render as a parameter)' of course :-)"
144,0,"Patch Set 6:(9 comments)Thanks, works in general. I'll upload an amended commit that addresses my nitpicks."
145,0,"Patch Set 3: Code-Review-1(5 comments)As Eike already mentioned you seem to be on a good way. However I have a few nit picks about the coding style. Please use the calc coding style that you can see around the sc code. This includes: 4 spaces (you seem to use 2), braces onto new lines, and the hungarian prefix that Eike already mentioned."
146,0,Patch Set 6: Code-Review+2 Verified+1Calling ScDocumentImport::setAutoInput() seems right and doesn't have too much overhead for an empty string.Thanks!
147,1,"Patch Set 3: Code-Review-1While this fixes the bug, it also unnecessarily lets operate all the following code on an empty string. The special case of empty string should be handled immediately instead. Note that such empty strings can not only occur during TextToColumns but also in CSV import, in which case it can be even performance relevant."
149,0,"Patch Set 5:(1 comment)You're right.Thanks for your patience!I'm just a Go programmer who learnt some little C in high school, but does not know C++ at all..."
152,0,"Patch Set 4:(2 comments)Oops, thanks!"
169,0,"Patch Set 3:It would be nice if one of the 4 patches would mention a bugreport (if there is any) and add a matching testcase, it's hard to review without that. :-)"
173,0,"Patch Set 1: Code-Review+1Looks good to me, thank you! :-)  Please do merge if you are happy with the changes."
203,0,Patch Set 1: Verified+1Sad to have to work around Intel bugs but ... =) necessary.Thanks !
222,0,"Patch Set 3:> a polite ping still working in this patch?Yes, I am waiting for some comments on the patch.The build reports two statuses - When I checked, it got built successfully on Windows, mac and Linux. I'm not sure why the first link says failure.http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILUREhttp://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESS"
223,1,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch."
224,0,"Patch Set 3:Hey Dennis,sorry that I did not get back to you already and reviewed the patch. I' still quite busy but hope to have enough time for a proper review next week."
225,0,"Patch Set 3:> Hey Dennis, >  > sorry that I did not get back to you already and reviewed the > patch. I' still quite busy but hope to have enough time for a > proper review next week.no problem, really looking forward to your review ! Thanks."
226,0,"Patch Set 3:> Hey Dennis, >  > sorry that I did not get back to you already and reviewed the > patch. I' still quite busy but hope to have enough time for a > proper review next week.Hi Markus, Would you have time for a review this week ? Thanks."
228,0,"Patch Set 3:(1 comment)So I did an initial review of the patch and I think the general concept is ok but I'm still not sure about some of the details.Mainly the use of -1 as special column index and having special cases for it everywhere.I'm not sure if we should not instead switch to a solution that has a valid ScAttrArray for any ScColumn and if there is not yet a ScColumn inside of the ScTable we query the ScAttrArray stored in ScTable. I need to read more and talk to you, Eike and Kohei to see what is the best solution."
229,0,"Patch Set 3:> (1 comment) >  > So I did an initial review of the patch and I think the general > concept is ok but I'm still not sure about some of the details. >  > Mainly the use of -1 as special column index and having special > cases for it everywhere. >  > I'm not sure if we should not instead switch to a solution that has > a valid ScAttrArray for any ScColumn and if there is not yet a > ScColumn inside of the ScTable we query the ScAttrArray stored in > ScTable. I need to read more and talk to you, Eike and Kohei to see > what is the best solution.Thanks for the review.The ScAttrArray object (aNextColAttrArray) in the ScTable has its nCol member set to -1 to indicate that it represents all unallocated columns. The check nCol == -1 in ScAttrArray methods is to prevent making calls to pDocument methods like InvalidateTextWidth() from aNextColAttrArray as it requires a valid/existing Column.The special cases in the ScAttrArray methods are in fact for the case of default formatting where nCount == 0 and pData == nullptr."
230,0,"Patch Set 3:@Markus, @eike, could we have a better review/merge of this patch ? Dennis has other patches waiting on this.thanks in advance."
231,1,"Patch Set 3:> > (1 comment) > > > > So I did an initial review of the patch and I think the general > > concept is ok but I'm still not sure about some of the details. > > > > Mainly the use of -1 as special column index and having special > > cases for it everywhere. > > > > I'm not sure if we should not instead switch to a solution that > has > > a valid ScAttrArray for any ScColumn and if there is not yet a > > ScColumn inside of the ScTable we query the ScAttrArray stored in > > ScTable. I need to read more and talk to you, Eike and Kohei to > see > > what is the best solution. >  > Thanks for the review. >  > The ScAttrArray object (aNextColAttrArray) in the ScTable has its > nCol member set to -1 to indicate that it represents all > unallocated columns. The check nCol == -1 in ScAttrArray methods is > to prevent making calls to pDocument methods like InvalidateTextWidth() > from aNextColAttrArray as it requires a valid/existing Column. >  > The special cases in the ScAttrArray methods are in fact for the > case of default formatting where nCount == 0 and pData == nullptr.But do we actually call these methods for the default formatting? As far as I read the code the default formatting is stored in the ScTable instance. If these methods are supposed to be never called for the default formatting I think an assert is the better solution.Sorry that it currently takes me a bit longer to review patches. I'm quite busy with my thesis and can not afford to spend too much time on LibreOffice."
232,1,"Patch Set 3:> But do we actually call these methods for the default formatting? > As far as I read the code the default formatting is stored in the > ScTable instance. If these methods are supposed to be never called > for the default formatting I think an assert is the better > solution.As per the current patch the default formatting is not stored in any of the ScAttrArray objects (in ScTable and in ScColumn), it is used only when required, by callingpDocument->GetDefPattern(). When an ScAttrArray object is constructed, by default it is set empty that is,  pData <- nullptr and nCount <- 0which is indicative of the default format. If default formatting is stored inScTable instance, for a new document if user adds new content for say first N columnswithout any formatting, then the first N ScColumn instances of ScAttrArray will getcreated by copying the default formatting from the ScTable instance. This can be avoidedby making ScTable's ScAttrArray instance be empty by default indicating default formatting.But the penalty is we have to add special cases everywhere for ScAttrArray methods. But I am not sure if we want this. Should we revert to ScTable instance storing the def.formatting ? - it would make the code simpler."
233,0,"Patch Set 3: Code-Review-1(7 comments)So.. with the third attempt to review I finally managed to wrap my head around this.. ;-)I think having the aNextColAttrArray for unallocated columns at ScTable is a good approach. Same as Markus I'm not very fond of the spurious nCol!=-1 checks sprinkled over, but I also don't have a better solution. Calling any document content related functions for the unallocated column clearly must not happen.Overall I'm impressed, you seem to have dug deeply into this.I have some inline comments about some minor changes. Once these are done, do you think this would be ready to be added for 5.3?"
234,1,"Patch Set 3:> I think having the aNextColAttrArray for unallocated columns at > ScTable is a good approach. Same as Markus I'm not very fond of the > spurious nCol!=-1 checks sprinkled over, but I also don't have a > better solution. Calling any document content related functions for > the unallocated column clearly must not happen.Hi EikeThanks a lot for the review. Just to clarify regarding the nCol != -1 check, we need to let methods like Reset(), SetPatternArea(), ApplyStyleArea() to be called for the aNextColAttrArray but *without* changing any document content. An alternative to nCol != -1 checks is that we can have a default parameter or data member called bUnallocated with default value = false for all such methods and use that instead of (nCol != -1) when calling from aNextColAttrArray. Would that be better at least in terms of readability of the code ?In the meantime I will fix the other issues as per your comments. Thanks."
235,1,"Patch Set 4:I have made changes as per Markus'/Eike's comments.Copypasting my previous comment so reviewers don't miss them : -Regarding the nCol != -1 check, we need to let methods like Reset(), SetPatternArea(), ApplyStyleArea() to be called for the aNextColAttrArray but *without* changing any document content. An alternative to nCol != -1 checks is that we can have a default parameter or data member called bUnallocated with default value = false for all such methods and use that instead of (nCol != -1) when calling from aNextColAttrArray. Would that be better at least in terms of readability of the code ?"
236,1,"Patch Set 4:> An > alternative to nCol != -1 checks is that we can have a default > parameter or data member called bUnallocated with default value = > false for all such methods and use that instead of (nCol != -1) > when calling from aNextColAttrArray. Would that be better at least > in terms of readability of the code ?I don't think so. To the contrary, it would mean to have to keep yet one more variable in sync."
237,0,"Patch Set 5: Code-Review+2 Verified+1Ok, let's get this in and continue from there. Thanks Dennis!"
241,1,"Patch Set 1: Code-Review+1 Verified+1Windows jenkins failure is unrelated.It looks like a clear-cut case of leftover, discard code to me."
245,1,Patch Set 1:Windows failure is unrelated.
248,0,Patch Set 4:(5 comments)Starts to look good. Confirm you have tested it and it works well now?
249,0,"Patch Set 5:> (5 comments) >  > Starts to look good. Confirm you have tested it and it works well > now?Not perfect yet. It works well for a pre-defined table created with direct sql like:CREATE TABLE ""myTable"" (""id"" INTEGER NOT NULL,""decNumber"" DECIMAL(9,3), PRIMARY KEY  (""id""))But in the Table Design GUI I still cannot change the field properties ""Decimal places"" and ""Length"". The sql statement generated after creating a table with a decimal in it looks like:CREATE TABLE ""myTable"" (""id"" INTEGER NOT NULL,""decNum"" DECIMAL, PRIMARY KEY  (""id""))So (precision, scale) part is missing. I think this part is missing in Tables::createStandardColumnPart, and I can fix it.But I still don't know why are the property fields not editable. There may be some settings somewhere to enable it, and I could query those numbers through PROPERTY_ID_SCALE and PROPERTY_ID_PRECISION..."
264,0,Patch Set 1: Code-Review+2 Verified+1Nice cleanup; thanks!
287,0,Patch Set 2:(2 comments)Thanks for the review. I'll submit the revised patch in a short while.
308,0,Patch Set 1: Code-Review+2 Verified+1Much appreciated ! =) thanks for the cleanup.
334,1,"Patch Set 1:stoc/source/javavm/javavm.cxx:askForRetry() calls xContext->getValueByName(""java-vm.interaction-handler"").svtools/source/java/javacontext.cxx:JavaContext::getValueByName() in this case unconditionally creates new JavaInteractionHandler."
337,1,"Patch Set 1:> Those vars are read without a mutex locked, > so dialogs can still be displayed multiple times.That's possible, but highly improbable (requires two UI (!) code paths to cross this in ~exactly same time), and I suppose that reading bool without lock is safe to prefer faster implementation to the one that has mutex overhead. > no, not unconditionally; each instance of JavaContext creates at > most one instance of JavaInteractionHandlerSorry, missed that. Will look further."
342,0,"Patch Set 4:(2 comments)> 1. Wrt automatic chaining:...> What do I miss?Ach, sure.  Looks like I missed quite some coffee over the course of this change set.  :)"
363,0,"Patch Set 3:OK, merged - just wanted to let you know that something happens:)Hopefully more and smarter changes are going to come, this is just a quick update to be ready for 5.3."
365,0,"Patch Set 1: Code-Review+1Great stuff, thank you for that!  Will you please merge it, or should I?[It's awesome to see the creation of svobodneslovniky.cz!]"
393,1,"Patch Set 1:So, this works but really I have no idea what is all going on under the hood here, so this is a discussion starter and my commit message might be totally wrong. Likely also needed for sftp - potentially for webdav?"
445,0,"Patch Set 2: Code-Review+2 Verified+1Sure, pushing, in the name of maintaining consistency, even though arrows are much superior, typographically speaking脭脟陋 :("
447,0,Patch Set 7:I suppose this patch not being reviewed until now means that I need to take care of it.
449,1,Patch Set 5:Thanks for the review ! Regression test added. It requires https://gerrit.libreoffice.org/30030 as well to pass. I double checked that it passes with both patches and fails without. Also rebased.
452,1,"Patch Set 4:Looks good to me, thx!One important piece is missing though - could you please provide a unit test for the bugfix that:- fails without your fix- passes afterwards?You can find an example that's reasonably close to your case here:http://opengrok.libreoffice.org/xref/core/chart2/qa/extras/chart2import.cxx#312"
480,0,Patch Set 2: Code-Review+2 Verified+1Ah - the joys of code review =) quite right; thanks for that Noel !
481,0,"Patch Set 1:I don't see how this can be doing anything, since you never use the copied variable anywhere?Also, I think ""columnar"" is probably a better word :-)"
491,0,Patch Set 5: Code-Review+1 Verified+1patch looks good to me.
495,0,Patch Set 4: Code-Review+1 Verified+1patch looks good to me.
512,0,"Patch Set 5: Code-Review+2As far as I understand bAllowPaddingWithoutBorders will be more than just '= true' in the future again. If that's the case, this looks good to me."
513,0,"Patch Set 3: Code-Review+1Although a big change, I think it is safe. Only documents created outside of LibreOffice should currently be able to create document like this.  Plus, the ODF spec says it should be honoured anyway, if it is defined.The downside is that now the document will display properly, but if someone tries to edit those settings (and perhaps only GO to any format dialog, and then hit OK instead of cancel), the layout will reset to zero padding. Basically, we get read-only compatibility in 5.3, where before we had no compatibility at all."
