ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Positive,Negative,Overall,Delta
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016/11/16 20:09,2016/11/15 20:49,2016/11/15 20:51,0,MERGED,2,16,4,7,1,2,-5,-1,-3
2,Patch Set 1: Code-Review-2I think I still need to:* Get the new version in Orbit* Update the org.eclipse.jgit.packaging stuff to refer to the new version in Orbit,1,606,2016/7/20 14:22,2016/7/20 14:16,2016/7/20 14:20,0,MERGED,3,12,3,7,3,1,-1,0,0
3,Patch Set 1:Matthias: Can I just follow the process you used in https://git.eclipse.org/r/63814 to add the recipe to orbit/orbit-recipes? What do I have to do after that?,1,606,2016/7/20 14:32,2016/7/20 14:16,2016/7/20 14:20,0,MERGED,3,12,3,7,3,1,-1,0,0
4,"Patch Set 1:> Matthias: Can I just follow the process you used in > https://git.eclipse.org/r/63814 to add the recipe to > orbit/orbit-recipes? What do I have to do after that?yes, you can follow this, link the CQhttps://dev.eclipse.org/ipzilla/show_bug.cgi?id=11878which I filed as corresponding CQ for the Orbit projectseehttps://dev.eclipse.org/mhonarc/lists/orbit-dev/msg04468.htmlandhttps://github.com/eclipse/ebr/ > Matthias: Can I just follow the process you used in > https://git.eclipse.org/r/63814 to add the recipe to > orbit/orbit-recipes? What do I have to do after that?Yes, you can follow what I did thereYou need another CQ for Orbit, I filed that for youhttps://dev.eclipse.org/ipzilla/show_bug.cgi?id=11878Documentation how to add something to the Orbit build is herehttp://git.eclipse.org/c/orbit/orbit-recipes.git/tree/README.mdalso seehttps://github.com/eclipse/ebr/https://dev.eclipse.org/mhonarc/lists/orbit-dev/msg04468.html",1,606,2016/8/26 0:24,2016/7/20 14:16,2016/7/20 14:20,0,MERGED,3,12,3,7,3,1,-1,0,0
5,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes.",1,606,2016/8/29 20:52,2016/7/20 14:16,2016/7/20 14:20,0,MERGED,3,12,3,7,3,1,-2,-1,-1
6,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/",2,606,2016/11/15 0:20,2016/7/20 14:16,2016/11/15 0:17,2818,MERGED,3,12,4,8,3,1,-2,-1,-1
7,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow",2,606,2016/11/15 0:30,2016/7/20 14:16,2016/11/15 0:17,2818,MERGED,3,12,4,8,3,1,-2,-1,-1
8,Patch Set 2:>  > I can update target platforms tomorrowDoes that need to be done before we merge this change?,2,606,2016/11/15 0:34,2016/7/20 14:16,2016/11/15 0:17,2818,MERGED,3,12,4,8,3,1,-1,0,0
9,"Patch Set 2:> > > > I can update target platforms tomorrow >  > Does that need to be done before we merge this change?yes, otherwise the new version won't be used in OSGi runtime, p2 repository and Eclipse",2,606,2016/11/15 0:38,2016/7/20 14:16,2016/11/15 0:17,2818,MERGED,3,12,4,8,3,1,-1,0,0
10,Patch Set 3: Code-Review-2Need a CQ for org.apache.commons.lang and it needs to be added to the RCP.,3,609,2016/10/24 14:39,2016/10/19 15:21,2016/10/21 15:05,47,MERGED,7,103,2,2,6,1,-1,0,0
11,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016/11/16 2:20,2016/10/19 15:21,2016/11/9 22:13,510,MERGED,9,111,3,6,6,2,-1,1,1
12,"Patch Set 1:This contribution is over 1000 lines of code and a CQ may be needed[1].Project committers, please confirm if a CQ is needed by replying to this comment (in Gerrit), leaving the quote intact, and Genie will automagically create a CQ.[1] https://eclipse.org/legal/EclipseLegalProcessPoster.pdf.-genie:cq",1,619,2016/10/27 17:23,2016/10/27 17:22,2016/10/27 17:22,0,MERGED,5,1149,2,2,5,1,-1,0,0
14,"Patch Set 1: Code-Review-2Holding off on this for one last look through, then I'll push.We've been asked for Guava 17.0, and httpcomponents-core 4.4.4 so this would satisfy that.",1,624,2016/11/9 20:32,2016/9/8 17:48,2016/11/9 19:56,1490,MERGED,28,1051,2,4,2,1,-1,0,0
13,Patch Set 2: Code-Review+2This looks pretty reasonable. There are a few bugs that could be closed/improved due to this :https://bugs.eclipse.org/bugs/show_bug.cgi?id=491331 (Guava 17.0)https://bugs.eclipse.org/bugs/show_bug.cgi?id=500270 (HttpCore 4.4.4),2,624,2016/11/15 17:45,2016/9/8 17:48,2016/11/15 16:43,1630,MERGED,28,1052,3,27,2,1,-1,0,0
15,"Patch Set 2:(2 comments)I have a few minor suggestions related to this change. I consider neither one blocking, but we should at least think about them.Be careful if the change needs to be updated, as the commit comment does not contain any Change-Id line...",2,631,2016/11/15 22:34,2016/11/15 10:32,2016/11/15 17:41,7,MERGED,9,145,3,4,4,1,-1,0,0
16,"Patch Set 2:(1 comment)I agree with you, the only question is that whether the refactoring of backend implementation should be part of this change.",2,631,2016/11/16 6:33,2016/11/15 10:32,2016/11/15 17:41,7,MERGED,9,145,3,4,4,1,-1,0,0
17,Patch Set 4: Code-Review+2 Verified+1Test issues on core should be fixed with latest patch (working fine with tooling...),4,637,2016/11/16 14:16,2016/11/15 10:22,2016/11/16 13:35,27,MERGED,15,793,3,5,4,3,-1,1,2
18,"Patch Set 2: Code-Review-1(1 comment)Tested with a CDT breview (85057) and in the editor, I didn't get the marker for the comment the first time, but were available the second time",2,641,2016/11/15 20:39,2016/11/15 17:35,2016/11/15 20:15,2,MERGED,1,47,2,3,3,1,-1,0,0
21,"Patch Set 1: Code-Review-2Needs new bugs created for remaining issues, including cross reference in call to org.eclipse.cdt.utils.CommandLineUtil.argumentsToStringBash(String[], boolean)",1,670,2016/11/15 1:55,2016/11/14 23:42,2016/11/15 1:54,2,MERGED,5,573,2,8,4,1,-2,-1,-1
22,"Patch Set 1:This also needs announcement on mailing list as there is a user visible change here, along with the future plans of resolving remaining quoting issues and SHELL != bash issues.",1,670,2016/11/15 2:00,2016/11/14 23:42,2016/11/15 1:54,2,MERGED,5,573,2,8,4,2,-1,1,1
23,"Patch Set 1:Note to self: new bugs needed are:- ""incorrect"" handling of escaping (backslashes) on Windows, including in run mode- Assumption that shell=bash on linuxNot a bug exactly, but a question. What is the purpose of ""Arguments"" box. Should it try to match behaviour of command line / gdb on respective platform, or be a self-sustained standard. At the moment it is somewhere it between, with some behaviour consistent on diff platforms and some matching.And finally: We need windows tests. If they had been in place, we probably wouldn't of had a regression in Neon.",1,670,2016/11/15 2:07,2016/11/14 23:42,2016/11/15 1:54,2,MERGED,5,573,2,8,4,1,-2,-1,-1
19,"Patch Set 2:Key test cases to make sure things work as expected with the following sets of cases as Program Arguments.Given a program like this called CommandLineArgs:	#include <stdio.h>	int main(int argc, char **argv) {		int i;		for (i = 0; i < argc; i++) {			printf(""argv[%d] = %s\n"", i, argv[i]);		}		return 0;	}It should print the same output when Run, Debugged and run from thecommand line. Some sample inputs for the ""Program Arguments"" field inthe ""Arguments"" tab of the launch configuration:case 1, trivial case:    arg1 arg2 arg3expected output:	argv[0] = <path to>/Debug/CommandLineArgs	argv[1] = arg1	argv[2] = arg2	argv[3] = arg3case 2, handling spaces:    ""arg1 with space"" ""arg2 with space""expected output:	argv[0] = <path to>/Debug/CommandLineArgs	argv[1] = arg1 with space	argv[2] = arg2 with spacecase 3, ensuring special characters are escaped, this case takes extra care at the command line (this is the new feature introduced in Neon in Bug 474648):    ""arg with special ; character"" another special ; characterexpected output:	argv[0] = <path to>/Debug/CommandLineArgs	argv[1] = arg with special ; character	argv[2] = another	argv[3] = special	argv[4] = ;	argv[5] = characterNOTE There are still many issues with command line handling,especially around escaping, and there, especially around windows. Fornow the focus is ensuring that the regression introduced in Neonaffecting Windows is resolved. Therefore a ""pass"" means that CDT isdoing something sensible with normal input.",2,670,2016/11/15 17:37,2016/11/14 23:42,2016/11/15 8:18,8,MERGED,5,573,2,5,4,1,-1,0,0
20,Patch Set 4: Code-Review+2 Verified+1Added xref in code to Bug 507568 for Bash assumption introduced by Bug 474648.Only need verification on Mac (which AKAIK behaves the same as Linux in this regard). I have verified manually on Windows (msys2 and mingw) and Linux (bash).,4,670,2016/11/15 21:02,2016/11/14 23:42,2016/11/15 20:59,21,MERGED,5,573,4,8,4,1,-1,0,0
24,"Patch Set 1: Verified+1I do not know enough of annotations to really give a +1 code-review, but it did solve my problem with getIfPresent. Thanks!",1,683,2016/11/15 20:25,2016/11/15 20:07,2016/11/15 20:09,0,MERGED,2,23,4,6,1,3,-2,1,1
