ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
2,Patch Set 1:Thanks Stefan for the review and merge.,1,601,2016/11/15 20:49,2016/11/15 20:51,0,MERGED,2,16,4,7,1,positive
4,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016/11/2 6:06,2016/11/2 9:14,3,MERGED,5,1146,3,6,5,positive
8,Patch Set 4: Verified+1Expected output is good on Mac!,4,670,2016/11/14 23:42,2016/11/15 20:59,21,MERGED,5,573,4,8,4,positive
10,Patch Set 3: Verified+1I got the ok from Marc D for this change.,3,681,2016/11/15 14:20,2016/11/15 20:48,6,MERGED,1,8,3,6,3,positive
11,"Patch Set 1: Verified+1I do not know enough of annotations to really give a +1 code-review, but it did solve my problem with getIfPresent. Thanks!",1,683,2016/11/15 20:07,2016/11/15 20:09,0,MERGED,2,23,4,6,1,positive
16,Patch Set 11: Code-Review+2 Verified+1This looks good to me!Thanks,11,697,2016/10/4 2:01,2016/11/15 15:34,1021,MERGED,2,429,3,4,11,positive
22,"Patch Set 1:(1 comment)Just one inline question,Thanks for looking into this !",1,732,2016/8/5 13:09,2016/8/5 13:18,0,MERGED,1,16,3,7,6,positive
32,"Patch Set 1: Code-Review+1This is very good, but can we also have the file creation? It can help us catch hung state systems.",1,745,2016/10/6 20:59,2016/10/24 19:50,430,MERGED,1,5,5,8,1,positive
33,"Patch Set 1: Verified+1@genevieve, I think this is good to go.",1,745,2016/10/6 20:59,2016/10/24 19:50,430,MERGED,1,5,5,8,1,positive
34,"Patch Set 3:Thanks, Aur├®lien !I just applied the same change on an extra class.",3,756,2016/10/25 17:38,2016/11/4 9:33,231,MERGED,4,14,3,6,3,positive
35,Patch Set 2: Code-Review+2 Verified+1Thanks Leo,2,761,2016/11/2 18:57,2016/11/4 7:03,36,MERGED,1,4,3,4,2,positive
36,"Patch Set 1:@ Lars, Once Bug 501742  is merged, when you have time, please feel free to review this guy.Thank you.",1,761,2016/11/2 18:57,2016/11/2 18:57,0,MERGED,1,4,3,6,2,positive
37,Patch Set 1: Code-Review+2 Verified+1Looks good. Waiting for the JDT merge.,1,761,2016/11/2 18:57,2016/11/2 18:57,0,MERGED,1,4,3,6,2,positive
39,Patch Set 4:(2 comments)If you're okay with these changes I can approve the review...,4,762,2016/10/26 13:38,2016/11/2 10:36,164,MERGED,6,137,3,7,6,positive
41,"Patch Set 1:@ Dani or Noopur, Would you be able to review this patch?Thank you.",1,763,2016/11/1 20:10,2016/11/2 18:46,22,MERGED,1,4,4,6,1,positive
42,"Patch Set 5:> So to recap: rename the method, add a component to the commit > message, than I +1/+1. It passed stress test btw. It did before too > though. :SIt's pretty difficult to reproduce. I've seen it with machines under load, etc. But I see other failures too. Still, an improvement is better than nothing.",5,766,2016/10/26 15:01,2016/11/3 20:19,197,MERGED,4,62,4,7,5,positive
43,"Patch Set 5: Code-Review+2Agreed, wait for hudson!",5,766,2016/10/26 15:01,2016/11/3 20:19,197,MERGED,4,62,4,7,5,positive
46,Patch Set 1: Code-Review+1also +1 for whenever the test stops failing,1,770,2016/10/21 15:34,2016/10/21 15:34,0,MERGED,1,2,3,11,4,positive
49,Patch Set 1: Code-Review+2seems good,1,778,2016/11/2 21:43,2016/11/2 21:43,0,MERGED,1,4,3,6,1,positive
53,Patch Set 1:Yes please! Thanks!,1,796,2016/10/27 15:29,2016/10/27 15:29,0,MERGED,1,1,3,5,1,positive
55,Patch Set 1:Yes please! Thanks!,1,797,2016/10/27 15:07,2016/10/27 15:07,0,MERGED,2,69,3,5,1,positive
64,"Patch Set 5:Ok, the icons should be moved progressively, but I am fine with them all arriving now.",5,812,2016/9/22 1:04,2016/9/29 17:21,184,MERGED,12,130,3,8,6,positive
68,Patch Set 13: Verified+1 Code-Review+2Patchset 13 looks good to me.,13,825,2016/9/14 20:35,2016/10/24 20:30,959,MERGED,17,350,2,4,14,positive
71,"Patch Set 1: Code-Review+2Ok, thanks for the explanation Matt.",1,834,2016/10/15 9:42,2016/10/15 9:42,0,MERGED,2,4,4,7,1,positive
74,"Patch Set 1:You know me well ;) I did try to use Path/Files/nio at first, but this particular operation is *very* verbose with nio, DirectoryStream and whatnot and handling exceptions endlessly.Although note that FileUtils is part of Apache Commons (which was already used by this plugin, so I didn't even have to add the dependency!) and it does exactly what we want in a one-liner. It makes sense to just use that. If a future version of that lib allows using a Path directly, even better.",1,850,2016/10/7 21:04,2016/10/7 21:05,0,MERGED,1,18,3,7,4,positive
78,Patch Set 3:Thanks for the review!,3,851,2016/10/8 0:02,2016/10/20 23:20,311,MERGED,8,119,4,9,4,positive
80,Patch Set 2:I'd be very very happy to test and approve this patch if it can make the test not fail. I had 2 patches fail on that test just today.,2,853,2016/10/24 13:47,2016/10/24 14:03,0,MERGED,1,16,3,4,4,positive
84,"Patch Set 3:Whoever ends up working on this patch, I'd like that my comments that I put a -1 for are taken into account... Or I'll put a -1 again :p",3,856,2016/1/28 2:50,2016/3/8 20:24,977,MERGED,1,115,5,11,12,positive
85,Patch Set 11: Code-Review+1I am OK with this. Can we get a confirmation that Mathieu Desnoyers is ok with the commit message?,11,856,2016/10/4 23:56,2016/10/20 22:06,382,MERGED,4,451,5,10,12,positive
92,"Patch Set 10:Sure I'll wait for you review Matthew, your name is still on this ;)",10,856,2016/10/4 23:56,2016/10/20 19:13,379,MERGED,6,482,3,6,12,positive
97,Patch Set 1: Code-Review+2Thanks for the review. I guess what this solves is more major than the bug this code was originally written for.,1,863,2016/10/18 20:56,2016/10/18 20:56,0,MERGED,1,12,4,6,1,positive
98,"Patch Set 3:(4 comments)Looks good, with just some minor correction in installer URLs.One question:  where did you get the OS icons?  Are they provided by the OS vendors with license for use for this purpose?  I'm thinking that the Apple and Windows logos, in particular, are so accurate as to be subject to protection.",3,865,2016/10/21 20:59,2016/10/21 21:22,0,MERGED,5,180,2,2,4,positive
102,"Patch Set 2: Code-Review-1(1 comment)Nice catch!I think your patch contains a useless modification and can thus be simplified, but congrats for detecting & fiwing this problem!",2,869,2016/10/21 12:52,2016/10/24 7:17,66,MERGED,7,51,3,6,4,positive
104,Patch Set 5: Code-Review+2 Verified+1Thanks Andrey for verifying the fix at your end.,5,872,2016/10/24 12:08,2016/10/24 13:06,0,MERGED,2,23,3,4,5,positive
105,Patch Set 2: Code-Review+2 Verified+1Thanks Martin. Works fine for me and I cannot find any issue with it.,2,877,2016/10/19 20:09,2016/10/23 16:08,91,MERGED,1,4,3,6,2,positive
106,"Patch Set 2: Code-Review-1Works fine :) small typos in the preference pagePreferences:  - the field is initiated with 0 when starting a fresh workspace - export the string to a property message file - Replace ""Expand All at Selection Action"" by Expand - add a tooltip to ""Expand All at Selection Action"" saying ""The expand function is available in model explorer with the + button""  - Replace ""Expand all max level (-1 for infinite)"" by ""Max level"" - add a tooltip to """"Expand all max level (-1 for infinite)"" saying ""You may use -1 to allow infinite level but it won't work on recursive model""",2,881,2016/10/19 9:13,2016/10/19 9:16,0,MERGED,6,161,3,6,3,positive
109,Patch Set 1: Code-Review+2Looks Good.,1,887,2016/10/24 9:03,2016/10/24 9:03,0,MERGED,3,13,3,4,1,positive
111,"Patch Set 1: Code-Review+1I like the idea. I'm not sure if we could enable this on our Gerrit servers because we run gc from a different machine to not take resources from Gerrit server but still, I like the idea of automatically running gc if loose objects exceeds a threshold.",1,898,2016/4/13 12:54,2016/4/14 22:27,33,MERGED,7,236,4,8,7,positive
112,Patch Set 1:Build SUCCESSFUL. Now starting integration tests...,1,901,2015/11/4 16:31,2015/11/4 16:31,0,MERGED,1,26,2,4,2,positive
113,Patch Set 2:Build SUCCESSFUL. Now starting integration tests...,2,901,2015/11/4 16:31,2016/10/14 15:49,8279,MERGED,2,63,3,6,2,positive
