ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016/11/15 20:49,2016/11/15 20:51,0,MERGED,2,16,4,7,1,negative
12,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time",1,687,2016/11/15 19:50,2016/11/15 19:50,0,MERGED,4,8,4,8,1,negative
15,Patch Set 4:I think this is a serious concern.  I hadn't thought of it before.We should look at how the platform console does this.  You can clone the platform console view and each new console will be filled with all the text.  Our TracingConsole class (gdb traces) does this by extending IOConsole.  How do they do this efficiently.  I think they use some kinds of scheme using a document.,4,697,2016/10/4 2:01,2016/10/26 4:02,530,MERGED,2,367,3,7,11,negative
18,Patch Set 2: Code-Review+2I am so ashamed for this bug... Nice catch and fix.,2,707,2016/11/4 10:49,2016/11/4 15:48,4,MERGED,1,2,4,5,2,negative
19,Patch Set 4:sorry about the last two patches I tried something out of desperation but without my brain switched on...,4,725,2016/11/2 16:23,2016/11/2 19:46,3,MERGED,1,5,2,5,6,negative
21,"Patch Set 1: Code-Review-2> This patch was just created to share information, but one key item > missing from the patch is that it does not change the default value > of the preference IGdbDebugPreferenceConstants.PREF_TRACES_ENABLE > in GdbPreferenceInitializer.Woops, that is actually a over-site on my part.  In my testing, I turn on and off and forgot to set the initializer!  Thanks for noticing.",1,726,2016/10/17 15:10,2016/10/18 20:43,29,MERGED,4,113,3,5,7,negative
38,"Patch Set 1:I see two issues with your patch. The first one is a blocker: You can't remove API because we don't plan for a major release.The other issue is that I don't like your ""pessimistic fall-back"" apporach to determine the absolute path of the file. What if the file exists in both possible locations? I imagine a more deterministic approach would be the introduction of a special syntax for config-folder-relative paths, for example ""@config/..."".",1,762,2016/10/14 10:06,2016/10/14 10:14,0,MERGED,3,65,3,4,6,negative
40,"Patch Set 4:Something is wrong with this review. Not sure what the status ""Not Current"" tells me. I can't do anything with it, so I cherry-picked it locally and will push it directly.",4,762,2016/10/26 13:38,2016/11/2 10:36,164,MERGED,6,137,3,7,6,negative
45,"Patch Set 10:After opening a few reviews, open compare editor, switch side the patchset: ps2/ps3 ps3/ps2 workspace/ps10 ..., when I closed all the editors, I got the following:!ENTRY org.eclipse.ui 2 2 2016-11-03 07:37:58.344!MESSAGE Ignored attempt to remove a saveable that was not registered!STACK 0org.eclipse.core.runtime.AssertionFailedException: unknown saveable: org.eclipse.team.ui.synchronize.SaveableCompareEditorInput$InternalResourceSaveableComparison@39c61f65 from part: org.eclipse.compare.internal.CompareEditor@22251bb2	at org.eclipse.ui.internal.SaveablesList.logWarning(SaveablesList.java:190)	at org.eclipse.ui.internal.SaveablesList.removeModel(SaveablesList.java:178)	at org.eclipse.ui.internal.SaveablesList.postClose(SaveablesList.java:703)	at org.eclipse.ui.internal.WorkbenchPage.firePartClosed(WorkbenchPage.java:5119)	at org.eclipse.ui.internal.e4.compatibility.CompatibilityPart$1.handleEvent(CompatibilityPart.java:103)	at org.eclipse.e4.ui.services.internal.events.UIEventHandler$1.run(UIEventHandler.java:40)	at org.eclipse.swt.widgets.Synchronizer.syncExec(Synchronizer.java:233)	at org.eclipse.ui.internal.UISynchronizer.syncExec(UISynchronizer.java:145)	at org.eclipse.swt.widgets.Display.syncExec(Display.java:5406)",10,769,2016/10/28 13:32,2016/11/2 22:04,128,MERGED,17,532,2,4,12,negative
47,"Patch Set 2:> This will have the error message, but will help debug hudson > instability. Let's do this. >  > Works locally.You don't think it's too much extra output? This made me hesitant.",2,773,2016/10/24 17:47,2016/10/24 19:59,2,MERGED,1,1,4,6,2,negative
51,"Patch Set 1:Weird, https://hudson.eclipse.org/orbit/ is down ?",1,788,2016/9/7 20:31,2016/11/2 20:14,1343,MERGED,59,89,2,4,4,negative
52,"Patch Set 1:I was wrong the code works fine. My bad. But If I use the code from CustomizableDelegatingItemLabelProvider, I introduce uml dependancies  to infra",1,791,2016/10/25 15:27,2016/10/25 15:27,0,MERGED,1,17,3,6,3,negative
54,Patch Set 1: Verified+1@Philip: Can I merge this one?Verified by https://hudson.eclipse.org/papyrus/view/InformationModeling/job/papyrus-informationmodeling-gerrit/55/(HIPP seems to forget to report :( ),1,797,2016/10/27 15:07,2016/10/27 15:07,0,MERGED,2,69,3,5,1,negative
65,Patch Set 5:What's the head that you are running to get those exceptions? I cannot reproduce. And what column/view are you clicking?,5,812,2016/9/22 1:04,2016/9/29 17:21,184,MERGED,12,130,3,8,6,negative
77,"Patch Set 3:> We haven't add a successful TC build in weeks. If at least we can > get *some* of the rows showing green, this can give some baseline > that we can use for testing our patches against. Right now our > Trace Compass job is honestly just burning CPU cycles for nothing.I'm wondering if we should be running those jenkins builds at all. We don't seem to have the manpower available to take care of maintaining them. Sometimes I look at them on a rainy Saturday. It's somewhat interesting to me as additional data points, but that's about it.",3,851,2016/10/8 0:02,2016/10/20 23:20,311,MERGED,8,119,4,9,4,negative
87,"Patch Set 11:Ugh, gerrit comments.I was trying to quote Mathieu there btw not repeat the same line n times.",11,856,2016/10/4 23:56,2016/10/20 22:06,382,MERGED,4,451,5,10,12,negative
90,"Patch Set 6: Code-Review-1(1 comment)19 out of 20 tests failed because I was lazy and didn't even run them knowing it would fail, but one, the first failure is legit and due to this patch, or at least this patch should make sure it passes.",6,856,2016/10/4 23:56,2016/10/17 20:56,309,MERGED,3,289,3,5,12,negative
93,Patch Set 10: Code-Review-1(7 comments)It is not justifyable IMO to add to common core something so specific,10,856,2016/10/4 23:56,2016/10/20 19:13,379,MERGED,6,482,3,6,12,negative
94,"Patch Set 10:(5 comments)The stream-related utility method in StreamUtils seems to trigger everyone for some reason, so I'll keep the code in TmfExperiment.> The clocks may also be sampled using different techniques. See Mathieu D for detailsI see this comment on the top page, but not in the Commit Message one. Weird? What should be reworded/added?",10,856,2016/10/4 23:56,2016/10/20 19:13,379,MERGED,6,482,3,6,12,negative
95,"Patch Set 7:I've tested the latest patch-set, and the new feature org.eclipse.emf.compare.rcp.ui.feature.group gets installed as expecred. Still we get the wrong EGit/EMF Compare stuff due to the too old contents in the integration repos. But this is a known issue and let's wait for the integration repos to be updated.",7,859,2016/10/16 12:00,2016/10/20 12:41,96,MERGED,1,99,2,2,9,negative
107,Patch Set 2:ahh! I forgot to add niitialzer in extension point. Will done that ASAP.Ok for text changes.,2,881,2016/10/19 9:13,2016/10/19 9:16,0,MERGED,6,161,3,6,3,negative
114,Patch Set 1: Verified+1Not sure why the test failed. Hard to see how it's related and I need to get this fix in ASAP.,1,909,2016/10/14 15:28,2016/10/14 15:28,0,MERGED,1,10,3,10,1,negative
124,"Patch Set 10:Okay, so it appears that, in fact, the Product build is no longer archiving the RCP packages that it creates.  That's a problem for RCPTT!",10,940,2016/10/11 15:40,2016/10/11 15:40,0,MERGED,1,38,4,8,16,negative
134,"Patch Set 2:> How about some tests?That would be nice, but I don't have the time and energy for that.There's an inactive test suite org.eclipse.core.tests.net.SystemProxyTest, but all its tests are failing (at least on Linux). The code that prepends the ""http://"" is trivial, and if we need a test for that, then the project is doomed anyway.",2,948,2016/10/10 20:22,2016/10/12 21:43,49,MERGED,1,13,3,5,3,negative
135,"Patch Set 3: Code-Review+2 Verified+1> > How about some tests? >  > That would be nice, but I don't have the time and energy for that. >  > There's an inactive test suite org.eclipse.core.tests.net.SystemProxyTest, > but all its tests are failing (at least on Linux). The code that > prepends the ""http://"" is trivial, and if we need a test for that, > then the project is doomed anyway.Fair enough!",3,948,2016/10/10 20:22,2016/10/14 8:44,84,MERGED,1,13,3,4,3,negative
142,"Patch Set 1: Code-Review+2 Verified+1Thanks for the contribution, Fred!  Even paying attention to copyright statements.This change certainly cuts neatly through a bunch of unnecessary and wonky code.  I was going to complain that changing the APIs in the UI classes from working with URIs to working with IResources results in a loss of generality, so that it would be more difficult to support exporting diagrams to the host filesystem (which is desperately needed, IMO) or other destinations, and that IResource is not even as appropriate a type as IContainer, but then I observed that the entire export infrastructure beneath the UI is all pinned to the IResource contract, anyways.  That, combined with the fact that any clients trying to use these UI bits would have had to construct nonsense URIs, means that I don't mind that this technically is an API-breaking change because that API was already non-functional and it will have to break again some time anyways to support exporting to non-workspace destinations.  Besides that none of these UI classes should ever have been exposed as API to begin with.All of which is to say thanks for working through the contribution process and do come back for more.",1,970,2016/10/13 21:08,2016/10/13 21:08,0,MERGED,5,118,4,5,1,negative
175,"Patch Set 6:> It should be, what errors do you see?Sorry my bad, I forgot to add the generic editor plug-in to my runtime.Description says, the editor provides code completion and hover. I don't see that. Should the description be adjusted until we have more?",6,1079,2016/9/30 10:49,2016/10/6 10:09,143,MERGED,8,284,3,6,7,negative
177,"Patch Set 4:> Sopot, is this ready for final review?Mickael, since bug 500755 is not fixed yet I propose to push a first iteration of the template with just the presentation extension.The rest should be fine. I'm leaving the icon as is as the present general editor icon is too ugly.",4,1079,2016/9/30 10:49,2016/9/30 13:14,2,MERGED,8,288,4,11,7,negative
181,"Patch Set 1: Code-Review+1(2 comments)Thanks for tackling this Mickael and sorry for the delay in reviewing.  My only real comments:I think we should align the text used to match the Package Explorer: so 'Other Projects', rather than 'Other'.I think the different placement of Other, as compared to the Package Explorer, makes sense: the user has chosen to emphasize working sets, so projects that aren't in a working set are different.  But it's worth soliciting feedback from the users who strongly wanted this feature back.I think we should *always* show other projects in the Other category.  The menu item to enable this (""and show remaining projects in "") looks rather bizarre.  And I can't really think of a reason why you would to remove any other projects from view: the 'Other' is easy to ignore, and it helps to discover if there are projects that aren't included in other working sets (which happens to me periodically).",1,1107,2016/9/16 9:27,2016/9/16 9:27,0,MERGED,7,213,3,4,3,negative
183,"Patch Set 3:Sorry, I forgot the git add...",3,1137,2016/9/8 12:00,2016/9/26 8:57,428,MERGED,2,13,2,3,5,negative
185,"Patch Set 2:Sure. I dislike resolution:=optional in all cases where a hard error could occur (e.g., ClassDefNotFoundError) even though the bundle successfully resolves. IMHO, resolution:=optional should be reserved for cases where the importing code is aware of the fact that the dependency *may* be missing and has a fallback implemented.I'm thus think more of cases like the following  Class connectionClass;  try {    connectionClass = Class.forName(""org.example.fast.FastConnection"");  } catch (ClassNotFoundException e) {    connectionClass = PlainOldConnection.class;  }Here, an Import-Package: org.example.fast;resolution:=optional is perfectly safe.",2,1152,2016/9/23 7:29,2016/9/26 12:23,76,MERGED,9,317,3,6,3,negative
186,Patch Set 1: Code-Review-1I think I forgot that one in https://git.eclipse.org/r/#/c/77487/ (check for running launches before modifying the workspace). The question logic should be the same as in ResetMenu.EGit has just too many places implementing the same things in slightly different ways. :-(,1,1163,2016/9/27 7:54,2016/9/27 7:55,0,MERGED,1,5,3,8,2,negative
191,Patch Set 2: Code-Review-2 Verified-1(3 comments)Some concerns about the code. Also the filtering done does not match the description of the menu.,2,1182,2016/9/19 22:16,2016/9/20 14:56,16,MERGED,6,668,3,5,12,negative
192,"Patch Set 8: Code-Review-2Two things. 1 - We only have two menu entries, adding another one to reset the filter seems to be over zealous. It is only saving a click when the user has selected the two options and this is not something he would do anyway since it does not really mean anything (hide himans, and hide machine means show nothing), so in the end I don't think we help our users in adding this menu.2 - Worst is the fact that when both filters are enabled (nothing is shown), and I click the reset button, nothing happens and I end up in a broken state.I strongly suggest to rethink the need for this additional button.",8,1182,2016/9/22 15:22,2016/9/22 15:22,0,MERGED,10,715,3,6,12,negative
199,"Patch Set 30:> IMHO the new icon should not block the merge, we can handle that > via a follow-up bug.No. I played with it and it's very confusing if two editors are different but can't be distinguished.",30,1197,2016/9/6 14:04,2016/9/6 15:26,1,MERGED,42,2523,6,12,35,negative
200,"Patch Set 30:Ok, I'm working on decorating the usual text editor icon with a ""G"" or something else if an idea comes to my mind (very unlikely, I tried to figure out something as a background thought process since you reported it and I'm still not inspired).",30,1197,2016/9/6 14:04,2016/9/6 15:26,1,MERGED,42,2523,6,12,35,negative
201,"Patch Set 30:> Maybe just add a 'G' on top of the Text Editor icon for now? I > didn't really think about it too much, except that it needs to be > there.I came up with https://imgur.com/a/AL1Fo . I think it's very ugly, but not enough ugly to be a blocker as it will be improved. WDYT?",30,1197,2016/9/6 14:04,2016/9/6 15:26,1,MERGED,42,2523,6,12,35,negative
