ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016/11/15 20:49,2016/11/15 20:51,0,MERGED,2,16,4,7,1,negative
2,Patch Set 1:Thanks Stefan for the review and merge.,1,601,2016/11/15 20:49,2016/11/15 20:51,0,MERGED,2,16,4,7,1,positive
4,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016/11/2 6:06,2016/11/2 9:14,3,MERGED,5,1146,3,6,5,positive
8,Patch Set 4: Verified+1Expected output is good on Mac!,4,670,2016/11/14 23:42,2016/11/15 20:59,21,MERGED,5,573,4,8,4,positive
10,Patch Set 3: Verified+1I got the ok from Marc D for this change.,3,681,2016/11/15 14:20,2016/11/15 20:48,6,MERGED,1,8,3,6,3,positive
11,"Patch Set 1: Verified+1I do not know enough of annotations to really give a +1 code-review, but it did solve my problem with getIfPresent. Thanks!",1,683,2016/11/15 20:07,2016/11/15 20:09,0,MERGED,2,23,4,6,1,positive
12,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time",1,687,2016/11/15 19:50,2016/11/15 19:50,0,MERGED,4,8,4,8,1,negative
15,Patch Set 4:I think this is a serious concern.  I hadn't thought of it before.We should look at how the platform console does this.  You can clone the platform console view and each new console will be filled with all the text.  Our TracingConsole class (gdb traces) does this by extending IOConsole.  How do they do this efficiently.  I think they use some kinds of scheme using a document.,4,697,2016/10/4 2:01,2016/10/26 4:02,530,MERGED,2,367,3,7,11,negative
16,Patch Set 11: Code-Review+2 Verified+1This looks good to me!Thanks,11,697,2016/10/4 2:01,2016/11/15 15:34,1021,MERGED,2,429,3,4,11,positive
18,Patch Set 2: Code-Review+2I am so ashamed for this bug... Nice catch and fix.,2,707,2016/11/4 10:49,2016/11/4 15:48,4,MERGED,1,2,4,5,2,negative
19,Patch Set 4:sorry about the last two patches I tried something out of desperation but without my brain switched on...,4,725,2016/11/2 16:23,2016/11/2 19:46,3,MERGED,1,5,2,5,6,negative
21,"Patch Set 1: Code-Review-2> This patch was just created to share information, but one key item > missing from the patch is that it does not change the default value > of the preference IGdbDebugPreferenceConstants.PREF_TRACES_ENABLE > in GdbPreferenceInitializer.Woops, that is actually a over-site on my part.  In my testing, I turn on and off and forgot to set the initializer!  Thanks for noticing.",1,726,2016/10/17 15:10,2016/10/18 20:43,29,MERGED,4,113,3,5,7,negative
22,"Patch Set 1:(1 comment)Just one inline question,Thanks for looking into this !",1,732,2016/8/5 13:09,2016/8/5 13:18,0,MERGED,1,16,3,7,6,positive
32,"Patch Set 1: Code-Review+1This is very good, but can we also have the file creation? It can help us catch hung state systems.",1,745,2016/10/6 20:59,2016/10/24 19:50,430,MERGED,1,5,5,8,1,positive
33,"Patch Set 1: Verified+1@genevieve, I think this is good to go.",1,745,2016/10/6 20:59,2016/10/24 19:50,430,MERGED,1,5,5,8,1,positive
34,"Patch Set 3:Thanks, Aur├®lien !I just applied the same change on an extra class.",3,756,2016/10/25 17:38,2016/11/4 9:33,231,MERGED,4,14,3,6,3,positive
35,Patch Set 2: Code-Review+2 Verified+1Thanks Leo,2,761,2016/11/2 18:57,2016/11/4 7:03,36,MERGED,1,4,3,4,2,positive
36,"Patch Set 1:@ Lars, Once Bug 501742  is merged, when you have time, please feel free to review this guy.Thank you.",1,761,2016/11/2 18:57,2016/11/2 18:57,0,MERGED,1,4,3,6,2,positive
