PScore_6125,Weight_6125,MatchId,Id,锘縄D,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
0.079069614,1,3292,1,1,,3,171,2016/10/25 8:38,2016/11/14 9:25,480,2,1,39,1,2,3,1
0.223239532,1,3,2,2,,4,172,2016/11/11 20:29,2016/11/12 10:35,14,2,3,16,4,7,5,1
0.223239532,1,2,3,3,,4,172,2016/11/11 20:29,2016/11/12 10:35,14,2,3,16,4,7,5,0
0.116799303,1,12570,4,4,,2,222,2016/10/20 20:44,2016/10/27 5:15,152,2,4,58,2,4,8,0
0.224222582,0,,5,5,,6,223,2016/11/11 20:11,2016/11/12 7:00,10,2,1,9,4,5,6,0
0.162636676,1,2741,6,6,,5,223,2016/11/11 20:11,2016/11/11 20:26,0,2,1,6,3,5,6,0
0.162694641,1,2758,7,7,,4,223,2016/11/11 20:11,2016/11/11 20:11,0,2,1,4,3,6,6,0
0.115370172,0,,8,8,,3,237,2016/11/6 4:28,2016/11/6 10:16,5,2,2,21,2,3,6,0
0.158120217,1,13384,9,9,,1,241,2016/11/10 21:27,2016/11/10 21:27,0,2,4,88,3,4,1,0
0.218601023,1,12627,10,10,,1,263,2016/11/3 22:11,2016/11/10 21:25,167,2,5,160,4,6,1,0
0.300698688,1,13,11,11,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0
0.300698688,1,16,12,12,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0
0.300698688,1,11,13,13,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,1
0.300698688,1,18,14,14,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0
0.300698688,1,12572,15,15,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0
0.300698688,1,12,16,16,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,1
0.300698688,1,12573,17,17,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0
0.300698688,1,14,18,18,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,1
0.300698688,0,,19,19,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0
0.300698688,0,,20,20,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0
0.161791712,1,13599,21,21,,5,278,2016/4/15 16:13,2016/11/7 17:08,4944,2,12,568,3,4,5,0
0.165410263,0,,22,22,,4,284,2016/10/31 15:32,2016/11/4 2:12,82,2,9,334,3,4,9,0
