ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
1,"Patch Set 3:Sorry for the noise: I do not understand why, but the tests pass if I do make distclean && make",3,171,2016/10/25 8:38,2016/11/14 9:25,480,MERGED,1,39,1,2,3,negative
2,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,negative
3,"Patch Set 4:I meant '(and the ""old"" one just calls the ""new"" one with the text to render as a parameter)' of course :-)",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,positive
4,Patch Set 2:Thanks for your suggestions. I've updated as pointed out.,2,222,2016/10/20 20:44,2016/10/27 5:15,152,MERGED,4,58,2,4,8,positive
6,"Patch Set 5:(1 comment)You're right.Thanks for your patience!I'm just a Go programmer who learnt some little C in high school, but does not know C++ at all...",5,223,2016/11/11 20:11,2016/11/11 20:26,0,MERGED,1,6,3,5,6,positive
7,"Patch Set 4:(2 comments)Oops, thanks!",4,223,2016/11/11 20:11,2016/11/11 20:11,0,MERGED,1,4,3,6,6,positive
9,"Patch Set 1: Code-Review+1Looks good to me, thank you! :-)  Please do merge if you are happy with the changes.",1,241,2016/11/10 21:27,2016/11/10 21:27,0,MERGED,4,88,3,4,1,positive
10,Patch Set 1: Verified+1Sad to have to work around Intel bugs but ... =) necessary.Thanks !,1,263,2016/11/3 22:11,2016/11/10 21:25,167,MERGED,5,160,4,6,1,positive
11,"Patch Set 3:> a polite ping still working in this patch?Yes, I am waiting for some comments on the patch.The build reports two statuses - When I checked, it got built successfully on Windows, mac and Linux. I'm not sure why the first link says failure.http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILUREhttp://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESS",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
12,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
