PScore_3410,Weight_3410,MatchId,Id,锘縄D,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
0.204957393,1,2,1,1,,1,601,2016/11/15 20:49,2016/11/15 20:51,0,2,2,16,4,7,1,1
0.204957393,1,1,2,2,,1,601,2016/11/15 20:49,2016/11/15 20:51,0,2,2,16,4,7,1,0
0.342303595,1,2077,3,3,,5,609,2016/10/19 15:21,2016/11/9 22:13,510,2,9,111,3,6,6,0
0.336289074,1,4164,4,4,,2,619,2016/11/2 6:06,2016/11/2 6:06,0,2,5,1146,2,3,5,1
0.326655961,1,3395,5,5,,3,619,2016/11/2 6:06,2016/11/2 9:14,3,2,5,1146,3,6,5,0
0.368411816,1,2854,6,6,,1,620,2016/11/16 1:49,2016/11/16 1:50,0,2,1,4,3,9,1,1
0.316114862,1,6336,7,7,,1,621,2016/11/16 1:32,2016/11/16 1:32,0,2,220,524,3,9,1,1
0.907228489,1,1481,8,8,,2,624,2016/9/8 17:48,2016/11/15 16:43,1630,2,28,1052,3,27,2,0
0.291463342,1,4792,9,9,,1,627,2016/11/16 10:56,2016/11/16 11:15,0,2,2,25,2,3,2,1
0.314881978,1,3970,10,10,,2,627,2016/11/16 10:56,2016/11/16 11:25,0,2,2,36,3,7,2,1
0.436762398,1,2499,11,11,,2,637,2016/11/15 10:22,2016/11/16 10:00,23,2,15,781,1,3,4,0
0.277100795,0,,12,12,,4,637,2016/11/15 10:22,2016/11/16 13:35,27,2,15,793,3,5,4,0
0.388841523,1,7882,13,13,,1,637,2016/11/15 10:22,2016/11/15 10:22,0,2,15,781,2,5,4,1
0.388833426,0,,14,14,,3,637,2016/11/15 10:22,2016/11/16 10:39,24,2,15,793,2,5,4,0
0.180308287,0,,15,15,,1,657,2016/11/16 9:08,2016/11/16 9:08,0,2,6,32,4,6,1,0
0.391493643,0,,16,16,,2,670,2016/11/14 23:42,2016/11/15 8:18,8,2,5,573,2,5,4,0
0.270678797,1,19,17,17,,4,670,2016/11/14 23:42,2016/11/15 20:59,21,2,5,573,4,8,4,0
0.270678797,0,,18,18,,4,670,2016/11/14 23:42,2016/11/15 20:59,21,2,5,573,4,8,4,0
0.270678797,1,17,19,19,,4,670,2016/11/14 23:42,2016/11/15 20:59,21,2,5,573,4,8,4,1
0.505539417,1,3020,20,20,,1,670,2016/11/14 23:42,2016/11/15 1:54,2,2,5,573,2,8,4,1
0.29988743,1,7414,21,21,,1,677,2016/11/16 1:25,2016/11/16 1:25,0,2,1,4,3,7,1,1
0.349361292,1,7887,22,22,,1,679,2016/11/15 21:48,2016/11/15 21:48,0,2,1,4,3,8,2,1
0.395313439,1,3013,23,23,,1,680,2016/11/15 21:42,2016/11/15 21:43,0,2,2,4,2,6,2,1
0.297533717,1,1217,24,24,,3,681,2016/11/15 14:20,2016/11/15 20:48,6,2,1,8,3,6,3,0
0.203309934,1,4306,25,25,,1,681,2016/11/15 14:20,2016/11/15 14:20,0,2,1,6,4,6,3,1
0.180936963,0,,26,26,,1,683,2016/11/15 20:07,2016/11/15 20:09,0,2,2,23,4,6,1,0
0.230891677,1,2225,27,27,,1,687,2016/11/15 19:50,2016/11/15 19:50,0,2,4,8,4,8,1,1
0.693868117,1,1022,28,28,,5,689,2016/11/2 21:31,2016/11/9 2:06,148,2,8,365,2,9,13,1
0.550903685,1,3346,29,29,,2,689,2016/11/2 21:31,2016/11/3 14:22,16,2,5,194,2,5,13,1
0.550903685,1,508,30,30,,2,689,2016/11/2 21:31,2016/11/3 14:22,16,2,5,194,2,5,13,1
0.459645063,1,32,31,31,,8,689,2016/11/2 21:31,2016/11/14 15:18,281,2,16,973,3,6,13,1
0.459645063,1,31,32,32,,8,689,2016/11/2 21:31,2016/11/14 15:18,281,2,16,973,3,6,13,0
0.459645063,1,4525,33,33,,8,689,2016/11/2 21:31,2016/11/14 15:18,281,2,16,973,3,6,13,0
0.511830976,1,4536,34,34,,4,689,2016/11/2 21:31,2016/11/8 22:00,144,2,7,363,2,4,13,1
0.509320611,1,808,35,35,,9,689,2016/11/2 21:31,2016/11/14 21:02,287,2,15,927,2,4,13,1
0.509155437,1,7266,36,36,,10,689,2016/11/2 21:31,2016/11/15 4:35,295,2,16,788,2,4,13,1
0.384594374,1,4026,37,37,,11,689,2016/11/2 21:31,2016/11/15 13:51,304,2,16,805,3,4,13,1
0.466537991,1,886,38,38,,4,697,2016/10/4 2:01,2016/10/26 4:02,530,2,2,367,3,7,11,1
0.466492766,1,1132,39,39,,9,697,2016/10/4 2:01,2016/11/14 16:35,998,2,2,431,3,7,11,1
0.354933928,1,3845,40,40,,11,697,2016/10/4 2:01,2016/11/15 15:34,1021,2,2,429,3,4,11,0
0.477441825,1,2583,41,41,,1,697,2016/10/4 2:01,2016/10/6 20:38,66,2,2,268,2,4,11,1
