ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016/11/15 20:49,2016/11/15 20:51,0,MERGED,2,16,4,7,1,1
2,Patch Set 1:Thanks Stefan for the review and merge.,1,601,2016/11/15 20:49,2016/11/15 20:51,0,MERGED,2,16,4,7,1,0
3,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016/10/19 15:21,2016/11/9 22:13,510,MERGED,9,111,3,6,6,0
4,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/mylyn/job/gerrit-mylyn-docs/889/ : UNSTABLE,2,619,2016/11/2 6:06,2016/11/2 6:06,0,MERGED,5,1146,2,3,5,1
5,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016/11/2 6:06,2016/11/2 9:14,3,MERGED,5,1146,3,6,5,0
6,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6647/ : UNSTABLE,1,620,2016/11/16 1:49,2016/11/16 1:50,0,MERGED,1,4,3,9,1,1
7,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6648/ : UNSTABLE,1,621,2016/11/16 1:32,2016/11/16 1:32,0,MERGED,220,524,3,9,1,1
8,Patch Set 2: Code-Review+2This looks pretty reasonable. There are a few bugs that could be closed/improved due to this :https://bugs.eclipse.org/bugs/show_bug.cgi?id=491331 (Guava 17.0)https://bugs.eclipse.org/bugs/show_bug.cgi?id=500270 (HttpCore 4.4.4),2,624,2016/9/8 17:48,2016/11/15 16:43,1630,MERGED,28,1052,3,27,2,0
9,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11206/ : UNSTABLE,1,627,2016/11/16 10:56,2016/11/16 11:15,0,MERGED,2,25,2,3,2,1
10,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11207/ : UNSTABLE,2,627,2016/11/16 10:56,2016/11/16 11:25,0,MERGED,2,36,3,7,2,1
11,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/151/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/223/ : SUCCESS,2,637,2016/11/15 10:22,2016/11/16 10:00,23,MERGED,15,781,1,3,4,0
12,Patch Set 4: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/153/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/226/ : SUCCESS,4,637,2016/11/15 10:22,2016/11/16 13:35,27,MERGED,15,793,3,5,4,0
13,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/148/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/217/ : UNSTABLE,1,637,2016/11/15 10:22,2016/11/15 10:22,0,MERGED,15,781,2,5,4,1
14,Patch Set 3: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/152/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/225/ : SUCCESS,3,637,2016/11/15 10:22,2016/11/16 10:39,24,MERGED,15,793,2,5,4,0
15,Patch Set 1:Thanks for fixing that issue.,1,657,2016/11/16 9:08,2016/11/16 9:08,0,MERGED,6,32,4,6,1,0
16,Patch Set 2:Thanks Marc-Andre for having a look.,2,670,2016/11/14 23:42,2016/11/15 8:18,8,MERGED,5,573,2,5,4,0
17,Patch Set 4: Verified+1Expected output is good on Mac!,4,670,2016/11/14 23:42,2016/11/15 20:59,21,MERGED,5,573,4,8,4,0
18,Patch Set 4:Thanks Marc-Andre.Submitted.,4,670,2016/11/14 23:42,2016/11/15 20:59,21,MERGED,5,573,4,8,4,0
