ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
1,"Patch Set 3:Sorry for the noise: I do not understand why, but the tests pass if I do make distclean && make",3,171,2016/10/25 8:38,2016/11/14 9:25,480,MERGED,1,39,1,2,3,1
2,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,1
3,"Patch Set 4:I meant '(and the ""old"" one just calls the ""new"" one with the text to render as a parameter)' of course :-)",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,0
4,Patch Set 2:Thanks for your suggestions. I've updated as pointed out.,2,222,2016/10/20 20:44,2016/10/27 5:15,152,MERGED,4,58,2,4,8,0
5,Patch Set 6: Code-Review+2 Verified+1Calling ScDocumentImport::setAutoInput() seems right and doesn't have too much overhead for an empty string.Thanks!,6,223,2016/11/11 20:11,2016/11/12 7:00,10,MERGED,1,9,4,5,6,0
6,"Patch Set 5:(1 comment)You're right.Thanks for your patience!I'm just a Go programmer who learnt some little C in high school, but does not know C++ at all...",5,223,2016/11/11 20:11,2016/11/11 20:26,0,MERGED,1,6,3,5,6,0
7,"Patch Set 4:(2 comments)Oops, thanks!",4,223,2016/11/11 20:11,2016/11/11 20:11,0,MERGED,1,4,3,6,6,0
8,"Patch Set 3:It would be nice if one of the 4 patches would mention a bugreport (if there is any) and add a matching testcase, it's hard to review without that. :-)",3,237,2016/11/6 4:28,2016/11/6 10:16,5,MERGED,2,21,2,3,6,0
9,"Patch Set 1: Code-Review+1Looks good to me, thank you! :-)  Please do merge if you are happy with the changes.",1,241,2016/11/10 21:27,2016/11/10 21:27,0,MERGED,4,88,3,4,1,0
10,Patch Set 1: Verified+1Sad to have to work around Intel bugs but ... =) necessary.Thanks !,1,263,2016/11/3 22:11,2016/11/10 21:25,167,MERGED,5,160,4,6,1,0
11,"Patch Set 3:> a polite ping still working in this patch?Yes, I am waiting for some comments on the patch.The build reports two statuses - When I checked, it got built successfully on Windows, mac and Linux. I'm not sure why the first link says failure.http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILUREhttp://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESS",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,0
12,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,0
13,"Patch Set 3:Hey Dennis,sorry that I did not get back to you already and reviewed the patch. I' still quite busy but hope to have enough time for a proper review next week.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,1
