ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
3,"Patch Set 4:I meant '(and the ""old"" one just calls the ""new"" one with the text to render as a parameter)' of course :-)",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,positive
4,Patch Set 2:Thanks for your suggestions. I've updated as pointed out.,2,222,2016/10/20 20:44,2016/10/27 5:15,152,MERGED,4,58,2,4,8,positive
8,"Patch Set 3:It would be nice if one of the 4 patches would mention a bugreport (if there is any) and add a matching testcase, it's hard to review without that. :-)",3,237,2016/11/6 4:28,2016/11/6 10:16,5,MERGED,2,21,2,3,6,positive
11,"Patch Set 3:> a polite ping still working in this patch?Yes, I am waiting for some comments on the patch.The build reports two statuses - When I checked, it got built successfully on Windows, mac and Linux. I'm not sure why the first link says failure.http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILUREhttp://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESS",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
12,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
14,"Patch Set 3:> Hey Dennis, >  > sorry that I did not get back to you already and reviewed the > patch. I' still quite busy but hope to have enough time for a > proper review next week.no problem, really looking forward to your review ! Thanks.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
15,"Patch Set 3:> Hey Dennis, >  > sorry that I did not get back to you already and reviewed the > patch. I' still quite busy but hope to have enough time for a > proper review next week.Hi Markus, Would you have time for a review this week ? Thanks.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
17,"Patch Set 3:@Markus, @eike, could we have a better review/merge of this patch ? Dennis has other patches waiting on this.thanks in advance.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
28,"Patch Set 1: Code-Review+1Great stuff, thank you for that!  Will you please merge it, or should I?[It's awesome to see the creation of svobodneslovniky.cz!]",1,362,2016/11/6 14:16,2016/11/6 14:16,0,MERGED,6,165504,2,2,3,positive
33,Patch Set 5:Thanks for the review ! Regression test added. It requires https://gerrit.libreoffice.org/30030 as well to pass. I double checked that it passes with both patches and fails without. Also rebased.,5,426,2016/10/13 21:43,2016/10/21 17:41,187,MERGED,5,36,2,4,7,positive
40,Patch Set 1: Code-Review+2Makes sense for now I think =) Quikee - need to revert that as/when we fix the SVG icons issue (later).Thanks Jan-Marek !,1,473,2016/11/2 11:33,2016/11/3 16:02,28,MERGED,1,1,4,5,1,positive
44,Patch Set 9:Thanks. Your constructive comments help a lot. I'll do the release notes thing shortly.,9,577,2016/10/20 21:03,2016/10/29 15:32,210,MERGED,3,136,1,1,9,positive
53,Patch Set 1: Code-Review+1Sounds very sensible to me in concept; the AbstractDialog stuff was always a bit awful in this regard when migrating it - would be cleaner and more pleasant. Havn't read the code change though ... =),1,668,2016/9/21 12:48,2016/9/21 12:48,0,MERGED,47,1353,4,11,13,positive
54,"Patch Set 1:> cleaner and more pleasant. Havn't read the code change though ... > =)Thanks.Are you OK with the virtual base stuff? Read just the include/vcl part of the patch to see that.Personally, I don't think it'll make any performance difference, but maybe my intuition is off?",1,668,2016/9/21 12:48,2016/9/21 12:48,0,MERGED,47,1353,4,11,13,positive
58,"Patch Set 2:The 2 spaces was in another file :-) please always look at the existing lines, and continue that style",2,675,2016/10/27 12:19,2016/10/27 12:24,0,MERGED,1,20,4,6,2,positive
61,Patch Set 1: Code-Review+1(2 comments)Looks good. A couple of minor things and merge please.,1,702,2016/10/26 11:15,2016/10/26 12:18,1,MERGED,3,161,2,3,2,positive
66,"Patch Set 5:> knowing that such moves tend to cause regressions, I'd leave it alone :)Sounds reasonable, thanks.",5,706,2016/10/20 11:26,2016/10/26 9:20,141,MERGED,9,95,1,1,5,positive
73,"Patch Set 1: Code-Review+2Next time feel free to also backport the testcase, that helps especially if you have to resolve conflicts during backport. :-)",1,757,2016/10/24 12:46,2016/10/24 12:46,0,MERGED,1,7,4,6,2,positive
74,"Patch Set 2:I didn't bother backporting the test this time because it was put in the new ww8export2, and I didn't think mis-matching ww8export(1) was worth-while.  I generally plan to backport the tests also (since this isn't the first time you've slapped my wrist about this :-)Thanks for always reviewing my patches.",2,757,2016/10/24 12:46,2016/10/25 7:40,18,MERGED,1,7,1,1,2,positive
75,"Patch Set 4:> (1 comment)Well it is a pretty big width, if bigger than an int :-)But anyhow, I have reverted that file in 30259, and commented the file to prevent future changes.",4,758,2016/9/23 1:59,2016/10/25 7:14,773,MERGED,2,10,2,3,4,positive
76,Patch Set 4:(1 comment)Thank you for the feedback!,4,774,2016/10/14 13:37,2016/10/16 4:01,38,MERGED,4,60,3,6,8,positive
79,"Patch Set 2:Added backward compatibility for Calc. Hadn't thought about that, thanks for noticing.",2,784,2016/10/14 15:34,2016/10/15 15:43,24,MERGED,4,18,3,6,3,positive
80,"Patch Set 3:Seems to work, great :)I just find the placement of the new checkbox a bit unfortunate, it looks as if it was related/connected to the Language listbox. I think a better placement would be after ""Enable natural sort"".",3,785,2016/10/7 15:20,2016/10/13 5:24,134,MERGED,14,61,2,3,4,positive
81,"Patch Set 2: Code-Review+1Miklos: I tried to cleanup the .mk file a bit so that I didn't start off the new file with the stuff that seemed like ""junk"".  The old one is relatively full (just under 70 tests) after moving lots from ww8import, so it seems like a good time to start a new one.",2,789,2016/10/21 10:27,2016/10/21 13:28,3,MERGED,5,129,4,6,2,positive
82,"Patch Set 3:Thank you Noel.In fact, I had applied the same thing as https://cgit.freedesktop.org/libreoffice/core/commit/?id=3bdd176731c351638f541a37b94094124f3c9f52But it seems the context is different here.",3,791,2016/10/23 19:32,2016/10/24 6:11,10,MERGED,2,4,3,5,3,positive
