ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
1,"Patch Set 3:Sorry for the noise: I do not understand why, but the tests pass if I do make distclean && make",3,171,2016/10/25 8:38,2016/11/14 9:25,480,MERGED,1,39,1,2,3,negative
2,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,negative
13,"Patch Set 3:Hey Dennis,sorry that I did not get back to you already and reviewed the patch. I' still quite busy but hope to have enough time for a proper review next week.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,negative
16,"Patch Set 3:Sorry, I forgot about the patch as I was quite busy but will have a look during the weekend.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,negative
18,"Patch Set 3:> > (1 comment) > > > > So I did an initial review of the patch and I think the general > > concept is ok but I'm still not sure about some of the details. > > > > Mainly the use of -1 as special column index and having special > > cases for it everywhere. > > > > I'm not sure if we should not instead switch to a solution that > has > > a valid ScAttrArray for any ScColumn and if there is not yet a > > ScColumn inside of the ScTable we query the ScAttrArray stored in > > ScTable. I need to read more and talk to you, Eike and Kohei to > see > > what is the best solution. >  > Thanks for the review. >  > The ScAttrArray object (aNextColAttrArray) in the ScTable has its > nCol member set to -1 to indicate that it represents all > unallocated columns. The check nCol == -1 in ScAttrArray methods is > to prevent making calls to pDocument methods like InvalidateTextWidth() > from aNextColAttrArray as it requires a valid/existing Column. >  > The special cases in the ScAttrArray methods are in fact for the > case of default formatting where nCount == 0 and pData == nullptr.But do we actually call these methods for the default formatting? As far as I read the code the default formatting is stored in the ScTable instance. If these methods are supposed to be never called for the default formatting I think an assert is the better solution.Sorry that it currently takes me a bit longer to review patches. I'm quite busy with my thesis and can not afford to spend too much time on LibreOffice.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,negative
30,"Patch Set 1:So, this works but really I have no idea what is all going on under the hood here, so this is a discussion starter and my commit message might be totally wrong. Likely also needed for sftp - potentially for webdav?",1,381,2016/10/26 16:59,2016/10/26 16:59,0,MERGED,1,3,2,5,6,negative
32,Patch Set 7: Code-Review+2 Verified+1Sorry that your review took so long. I'm currently on vacation so most likely nobody felt responsible for chart patches.Do you have any other chart bugs that you'd like to fix? Do you need any help with chart2?,7,426,2016/10/13 21:43,2016/10/27 20:52,335,MERGED,5,36,4,6,7,negative
39,"Patch Set 4: Code-Review+1(Justin - don't argue with your superiors)  OK - take the response as an explanation for my thinking behind my actions. But yes, I don't trust git and certainly don't like the ""document in git commit comments"" theory.  Way too much noise in git blame/commits.  (Also an indication that I really have no clue how to properly use git log -p etc.)",4,472,2016/10/31 8:59,2016/11/2 18:59,58,MERGED,3,14,2,4,5,negative
41,Patch Set 6: Code-Review+1I don't know if I have abused any ID conventions with SID_ALLOW_PADDING_WITHOUT_BORDERS. That's a massive mess that could use some basic in-line documentation.,6,547,2016/10/29 14:26,2016/10/29 15:18,0,MERGED,4,26,2,5,9,negative
42,Patch Set 1:I don't know if I have abused any ID conventions.  That's a massive mess that could use some basic in-line documentation.,1,547,2016/9/1 17:56,2016/9/1 17:56,0,MERGED,4,19,2,6,9,negative
