ID,ID.1,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Text
1,1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016-11-15 20:49:18,2016-11-15 20:51:14,0,MERGED,2.0,16.0,4,7,1,negative,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)"
2,11,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes.",1,606,2016-07-20 14:16:26,2016-07-20 14:20:28,0,MERGED,3.0,12.0,3,7,3,negative,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes."
3,12,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/",2,606,2016-07-20 14:16:26,2016-11-15 00:17:44,2818,MERGED,3.0,12.0,4,8,3,negative,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/"
4,14,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow",2,606,2016-07-20 14:16:26,2016-11-15 00:17:44,2818,MERGED,3.0,12.0,4,8,3,negative,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow"
9,135,"Patch Set 1: Code-Review-2Needs new bugs created for remaining issues, including cross reference in call to org.eclipse.cdt.utils.CommandLineUtil.argumentsToStringBash(String[], boolean)",1,670,2016-11-14 23:42:55,2016-11-15 01:54:24,2,MERGED,5.0,573.0,2,8,4,negative,"Patch Set 1: Code-Review-2Needs new bugs created for remaining issues, including cross reference in call to org.eclipse.cdt.utils.CommandLineUtil.argumentsToStringBash(String[], boolean)"
11,138,"Patch Set 1:Note to self: new bugs needed are:- ""incorrect"" handling of escaping (backslashes) on Windows, including in run mode- Assumption that shell=bash on linuxNot a bug exactly, but a question. What is the purpose of ""Arguments"" box. Should it try to match behaviour of command line / gdb on respective platform, or be a self-sustained standard. At the moment it is somewhere it between, with some behaviour consistent on diff platforms and some matching.And finally: We need windows tests. If they had been in place, we probably wouldn't of had a regression in Neon.",1,670,2016-11-14 23:42:55,2016-11-15 01:54:24,2,MERGED,5.0,573.0,2,8,4,negative,"Patch Set 1:Note to self: new bugs needed are:- ""incorrect"" handling of escaping (backslashes) on Windows, including in run mode- Assumption that shell=bash on linuxNot a bug exactly, but a question. What is the purpose of ""Arguments"" box. Should it try to match behaviour of command line / gdb on respective platform, or be a self-sustained standard. At the moment it is somewhere it between, with some behaviour consistent on diff platforms and some matching.And finally: We need windows tests. If they had been in place, we probably wouldn't of had a regression in Neon."
13,177,"Patch Set 1:Not sure why this build failed, but failed on p2.tests.ui which does not have any direct relation to my changes. But I do see 2 issues in the log. First, a warning from ""comparator"": [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: baseline and build artifacts have same version but different contents[INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml    The main artifact has been replaced with the baseline version.    The following attached artifacts are not present in the baseline and have been removed: [sources]Worse, and perhaps the reason ""ui tests"" failed there was an error message about ** (java:2487): WARNING **: Could not open X displayUnable to init server: Could not connect: Connection refusedPerhaps it was ""too busy""? Or perhaps it is ""misconfigured""?",1,687,2016-11-15 19:50:19,2016-11-15 19:50:19,0,MERGED,4.0,8.0,4,8,1,negative,"Patch Set 1:Not sure why this build failed, but failed on p2.tests.ui which does not have any direct relation to my changes. But I do see 2 issues in the log. First, a warning from ""comparator"": [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: baseline and build artifacts have same version but different contents[INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml    The main artifact has been replaced with the baseline version.    The following attached artifacts are not present in the baseline and have been removed: [sources]Worse, and perhaps the reason ""ui tests"" failed there was an error message about ** (java:2487): WARNING **: Could not open X displayUnable to init server: Could not connect: Connection refusedPerhaps it was ""too busy""? Or perhaps it is ""misconfigured""?"
14,178,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time",1,687,2016-11-15 19:50:19,2016-11-15 19:50:19,0,MERGED,4.0,8.0,4,8,1,negative,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time"
15,182,Unspecified merge failure: REBASE_MERGE_CONFLICT,12,689,2016-11-02 21:31:44,2016-11-15 19:17:50,309,MERGED,16.0,805.0,3,6,13,negative,Unspecified merge failure: REBASE_MERGE_CONFLICT
16,183,Unspecified merge failure: REBASE_MERGE_CONFLICT,12,689,2016-11-02 21:31:44,2016-11-15 19:17:50,309,MERGED,16.0,805.0,3,6,13,negative,Unspecified merge failure: REBASE_MERGE_CONFLICT
