ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Text
1,"Patch Set 3:Chamal, Jan was kind here and accepted that change even if it changes nothing in what the code does at all, and the commit message does not really correspond to what the change actually does. But for your next time, try harder.",3,126,2016-10-14 02:29:17,2016-11-16 06:16:17,795,MERGED,1.0,3.0,1,1,3,positive,"Patch Set 3:Chamal, Jan was kind here and accepted that change even if it changes nothing in what the code does at all, and the commit message does not really correspond to what the change actually does. But for your next time, try harder."
7,"Patch Set 4:I meant '(and the ""old"" one just calls the ""new"" one with the text to render as a parameter)' of course :-)",4,172,2016-11-11 20:29:57,2016-11-12 10:35:08,14,MERGED,3.0,16.0,4,7,5,positive,"Patch Set 4:I meant '(and the ""old"" one just calls the ""new"" one with the text to render as a parameter)' of course :-)"
8,"Patch Set 6:(9 comments)Thanks, works in general. I'll upload an amended commit that addresses my nitpicks.",6,222,2016-10-20 20:44:07,2016-11-10 17:58:29,501,MERGED,5.0,87.0,3,4,8,positive,"Patch Set 6:(9 comments)Thanks, works in general. I'll upload an amended commit that addresses my nitpicks."
9,"Patch Set 3: Code-Review-1(5 comments)As Eike already mentioned you seem to be on a good way. However I have a few nit picks about the coding style. Please use the calc coding style that you can see around the sc code. This includes: 4 spaces (you seem to use 2), braces onto new lines, and the hungarian prefix that Eike already mentioned.",3,222,2016-10-20 20:44:07,2016-10-27 07:58:53,155,MERGED,4.0,58.0,3,4,8,positive,"Patch Set 3: Code-Review-1(5 comments)As Eike already mentioned you seem to be on a good way. However I have a few nit picks about the coding style. Please use the calc coding style that you can see around the sc code. This includes: 4 spaces (you seem to use 2), braces onto new lines, and the hungarian prefix that Eike already mentioned."
10,Patch Set 6: Code-Review+2 Verified+1Calling ScDocumentImport::setAutoInput() seems right and doesn't have too much overhead for an empty string.Thanks!,6,223,2016-11-11 20:11:01,2016-11-12 07:00:47,10,MERGED,1.0,9.0,4,5,6,positive,Patch Set 6: Code-Review+2 Verified+1Calling ScDocumentImport::setAutoInput() seems right and doesn't have too much overhead for an empty string.Thanks!
12,"Patch Set 5:(1 comment)You're right.Thanks for your patience!I'm just a Go programmer who learnt some little C in high school, but does not know C++ at all...",5,223,2016-11-11 20:11:01,2016-11-11 20:26:37,0,MERGED,1.0,6.0,3,5,6,positive,"Patch Set 5:(1 comment)You're right.Thanks for your patience!I'm just a Go programmer who learnt some little C in high school, but does not know C++ at all..."
13,"Patch Set 4:(2 comments)Oops, thanks!",4,223,2016-11-11 20:11:01,2016-11-11 20:11:01,0,MERGED,1.0,4.0,3,6,6,positive,"Patch Set 4:(2 comments)Oops, thanks!"
14,"Patch Set 3:It would be nice if one of the 4 patches would mention a bugreport (if there is any) and add a matching testcase, it's hard to review without that. :-)",3,237,2016-11-06 04:28:00,2016-11-06 10:16:43,5,MERGED,2.0,21.0,2,3,6,positive,"Patch Set 3:It would be nice if one of the 4 patches would mention a bugreport (if there is any) and add a matching testcase, it's hard to review without that. :-)"
15,"Patch Set 1: Code-Review+1Looks good to me, thank you! :-)  Please do merge if you are happy with the changes.",1,241,2016-11-10 21:27:26,2016-11-10 21:27:26,0,MERGED,4.0,88.0,3,4,1,positive,"Patch Set 1: Code-Review+1Looks good to me, thank you! :-)  Please do merge if you are happy with the changes."
16,Patch Set 1: Verified+1Sad to have to work around Intel bugs but ... =) necessary.Thanks !,1,263,2016-11-03 22:11:18,2016-11-10 21:25:59,167,MERGED,5.0,160.0,4,6,1,positive,Patch Set 1: Verified+1Sad to have to work around Intel bugs but ... =) necessary.Thanks !
