ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Text
2,"Patch Set 2: Code-Review-1 Verified-1(1 comment)I corrected the commit message, to our standard.But I cannot see you have ""added"" a reference class, all you have done it split 1 line into 2 lines, I do not think it solves the problem",2,126,2016-10-14 02:29:17,2016-10-16 12:07:45,57,MERGED,1.0,3.0,2,4,3,negative,"Patch Set 2: Code-Review-1 Verified-1(1 comment)I corrected the commit message, to our standard.But I cannot see you have ""added"" a reference class, all you have done it split 1 line into 2 lines, I do not think it solves the problem"
3,"Patch Set 3: Code-Review+1It would be good if someone else confirms that ::Autofit is OK as the default value of a textbox (once the REAL default of ""expand frame to fit text"" is turned off).",3,154,2016-11-09 16:53:49,2016-11-11 10:16:32,41,MERGED,2.0,12.0,4,5,3,negative,"Patch Set 3: Code-Review+1It would be good if someone else confirms that ::Autofit is OK as the default value of a textbox (once the REAL default of ""expand frame to fit text"" is turned off)."
4,Patch Set 1: Code-Review+2 Verified+1gerrit failure is unrelated,1,159,2016-11-14 06:38:25,2016-11-15 04:35:56,21,MERGED,4.0,31.0,3,5,1,negative,Patch Set 1: Code-Review+2 Verified+1gerrit failure is unrelated
5,"Patch Set 5:Actually, the call was not in use, so the risk is low, when we break binary compatibility.",5,172,2016-11-11 20:29:57,2016-11-14 13:06:47,64,MERGED,3.0,16.0,1,1,5,negative,"Patch Set 5:Actually, the call was not in use, so the risk is low, when we break binary compatibility."
6,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016-11-11 20:29:57,2016-11-12 10:35:08,14,MERGED,3.0,16.0,4,7,5,negative,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes."
11,"Patch Set 3: Code-Review-1While this fixes the bug, it also unnecessarily lets operate all the following code on an empty string. The special case of empty string should be handled immediately instead. Note that such empty strings can not only occur during TextToColumns but also in CSV import, in which case it can be even performance relevant.",3,223,2016-11-11 14:25:10,2016-11-11 14:45:49,0,MERGED,1.0,2.0,2,2,6,negative,"Patch Set 3: Code-Review-1While this fixes the bug, it also unnecessarily lets operate all the following code on an empty string. The special case of empty string should be handled immediately instead. Note that such empty strings can not only occur during TextToColumns but also in CSV import, in which case it can be even performance relevant."
18,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,negative,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch."
25,"Patch Set 3:> > (1 comment) > > > > So I did an initial review of the patch and I think the general > > concept is ok but I'm still not sure about some of the details. > > > > Mainly the use of -1 as special column index and having special > > cases for it everywhere. > > > > I'm not sure if we should not instead switch to a solution that > has > > a valid ScAttrArray for any ScColumn and if there is not yet a > > ScColumn inside of the ScTable we query the ScAttrArray stored in > > ScTable. I need to read more and talk to you, Eike and Kohei to > see > > what is the best solution. >  > Thanks for the review. >  > The ScAttrArray object (aNextColAttrArray) in the ScTable has its > nCol member set to -1 to indicate that it represents all > unallocated columns. The check nCol == -1 in ScAttrArray methods is > to prevent making calls to pDocument methods like InvalidateTextWidth() > from aNextColAttrArray as it requires a valid/existing Column. >  > The special cases in the ScAttrArray methods are in fact for the > case of default formatting where nCount == 0 and pData == nullptr.But do we actually call these methods for the default formatting? As far as I read the code the default formatting is stored in the ScTable instance. If these methods are supposed to be never called for the default formatting I think an assert is the better solution.Sorry that it currently takes me a bit longer to review patches. I'm quite busy with my thesis and can not afford to spend too much time on LibreOffice.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,negative,"Patch Set 3:> > (1 comment) > > > > So I did an initial review of the patch and I think the general > > concept is ok but I'm still not sure about some of the details. > > > > Mainly the use of -1 as special column index and having special > > cases for it everywhere. > > > > I'm not sure if we should not instead switch to a solution that > has > > a valid ScAttrArray for any ScColumn and if there is not yet a > > ScColumn inside of the ScTable we query the ScAttrArray stored in > > ScTable. I need to read more and talk to you, Eike and Kohei to > see > > what is the best solution. >  > Thanks for the review. >  > The ScAttrArray object (aNextColAttrArray) in the ScTable has its > nCol member set to -1 to indicate that it represents all > unallocated columns. The check nCol == -1 in ScAttrArray methods is > to prevent making calls to pDocument methods like InvalidateTextWidth() > from aNextColAttrArray as it requires a valid/existing Column. >  > The special cases in the ScAttrArray methods are in fact for the > case of default formatting where nCount == 0 and pData == nullptr.But do we actually call these methods for the default formatting? As far as I read the code the default formatting is stored in the ScTable instance. If these methods are supposed to be never called for the default formatting I think an assert is the better solution.Sorry that it currently takes me a bit longer to review patches. I'm quite busy with my thesis and can not afford to spend too much time on LibreOffice."
26,"Patch Set 3:> But do we actually call these methods for the default formatting? > As far as I read the code the default formatting is stored in the > ScTable instance. If these methods are supposed to be never called > for the default formatting I think an assert is the better > solution.As per the current patch the default formatting is not stored in any of the ScAttrArray objects (in ScTable and in ScColumn), it is used only when required, by callingpDocument->GetDefPattern(). When an ScAttrArray object is constructed, by default it is set empty that is,  pData <- nullptr and nCount <- 0which is indicative of the default format. If default formatting is stored inScTable instance, for a new document if user adds new content for say first N columnswithout any formatting, then the first N ScColumn instances of ScAttrArray will getcreated by copying the default formatting from the ScTable instance. This can be avoidedby making ScTable's ScAttrArray instance be empty by default indicating default formatting.But the penalty is we have to add special cases everywhere for ScAttrArray methods. But I am not sure if we want this. Should we revert to ScTable instance storing the def.formatting ? - it would make the code simpler.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,negative,"Patch Set 3:> But do we actually call these methods for the default formatting? > As far as I read the code the default formatting is stored in the > ScTable instance. If these methods are supposed to be never called > for the default formatting I think an assert is the better > solution.As per the current patch the default formatting is not stored in any of the ScAttrArray objects (in ScTable and in ScColumn), it is used only when required, by callingpDocument->GetDefPattern(). When an ScAttrArray object is constructed, by default it is set empty that is,  pData <- nullptr and nCount <- 0which is indicative of the default format. If default formatting is stored inScTable instance, for a new document if user adds new content for say first N columnswithout any formatting, then the first N ScColumn instances of ScAttrArray will getcreated by copying the default formatting from the ScTable instance. This can be avoidedby making ScTable's ScAttrArray instance be empty by default indicating default formatting.But the penalty is we have to add special cases everywhere for ScAttrArray methods. But I am not sure if we want this. Should we revert to ScTable instance storing the def.formatting ? - it would make the code simpler."
28,"Patch Set 3:> I think having the aNextColAttrArray for unallocated columns at > ScTable is a good approach. Same as Markus I'm not very fond of the > spurious nCol!=-1 checks sprinkled over, but I also don't have a > better solution. Calling any document content related functions for > the unallocated column clearly must not happen.Hi EikeThanks a lot for the review. Just to clarify regarding the nCol != -1 check, we need to let methods like Reset(), SetPatternArea(), ApplyStyleArea() to be called for the aNextColAttrArray but *without* changing any document content. An alternative to nCol != -1 checks is that we can have a default parameter or data member called bUnallocated with default value = false for all such methods and use that instead of (nCol != -1) when calling from aNextColAttrArray. Would that be better at least in terms of readability of the code ?In the meantime I will fix the other issues as per your comments. Thanks.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,negative,"Patch Set 3:> I think having the aNextColAttrArray for unallocated columns at > ScTable is a good approach. Same as Markus I'm not very fond of the > spurious nCol!=-1 checks sprinkled over, but I also don't have a > better solution. Calling any document content related functions for > the unallocated column clearly must not happen.Hi EikeThanks a lot for the review. Just to clarify regarding the nCol != -1 check, we need to let methods like Reset(), SetPatternArea(), ApplyStyleArea() to be called for the aNextColAttrArray but *without* changing any document content. An alternative to nCol != -1 checks is that we can have a default parameter or data member called bUnallocated with default value = false for all such methods and use that instead of (nCol != -1) when calling from aNextColAttrArray. Would that be better at least in terms of readability of the code ?In the meantime I will fix the other issues as per your comments. Thanks."
