PScore_9713,Weight_9713,MatchId,Id,锘縄D,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Text
0.17153112,1,2,1,1,,1,601,2016/11/15 20:49,2016/11/15 20:51,0,2,2,16,4,7,1,1,
0.17153112,1,1,2,2,,1,601,2016/11/15 20:49,2016/11/15 20:51,0,2,2,16,4,7,1,0,
0.155443748,0,,3,3,,1,602,2016/11/17 3:34,2016/11/17 3:34,0,2,22,47,3,5,1,0,
0.155255685,1,21782,4,4,,1,603,2016/11/17 1:35,2016/11/17 1:35,0,2,1,2,3,5,1,0,
0.155268784,0,,5,5,,1,604,2016/11/16 23:25,2016/11/16 23:25,0,2,1,93,3,5,1,0,
0.129219248,1,23109,6,6,,2,605,2016/11/16 23:28,2016/11/16 23:35,0,2,5,128,4,5,2,0,
0.256060617,1,26,7,7,,1,606,2016/7/20 14:16,2016/7/20 14:20,0,2,3,12,3,7,3,1,
0.238094565,1,38,8,8,,2,606,2016/7/20 14:16,2016/11/15 0:17,2818,2,3,12,4,8,3,1,
0.238094565,1,45,9,9,,2,606,2016/7/20 14:16,2016/11/15 0:17,2818,2,3,12,4,8,3,1,
0.20128953,0,,10,10,,3,606,2016/7/20 14:16,2016/11/16 23:26,2865,2,10,115,4,7,3,0,
0.155287497,0,,11,11,,1,607,2016/11/16 22:42,2016/11/16 22:42,0,2,1,223,3,5,1,0,
0.137908686,0,,12,12,,3,608,2016/11/10 10:09,2016/11/16 21:24,155,2,1,7,2,2,3,0,
0.271341205,1,22336,13,13,,5,609,2016/10/19 15:21,2016/11/9 22:13,510,2,9,111,3,6,6,0,
0.214146413,0,,14,14,,6,609,2016/10/19 15:21,2016/11/16 15:24,672,2,9,112,4,6,6,0,
0.118549608,1,23133,15,15,,1,610,2016/11/10 20:38,2016/11/10 20:38,0,2,1,8,4,5,1,0,
0.155256549,0,,16,16,,1,611,2016/11/16 21:09,2016/11/16 21:09,0,2,1,8,3,5,1,0,
0.155256549,0,,17,17,,1,612,2016/11/16 21:03,2016/11/16 21:03,0,2,1,8,3,5,1,0,
0.155273979,0,,18,18,,1,613,2016/11/16 15:38,2016/11/16 16:28,0,2,3,9,3,5,1,0,
0.155277571,0,,19,19,,1,614,2016/11/16 19:42,2016/11/16 19:46,0,2,2,94,3,5,1,0,
0.155265185,0,,20,20,,1,615,2016/11/16 19:04,2016/11/16 19:04,0,2,1,68,3,5,1,0,
0.155256261,1,22292,21,21,,1,616,2016/11/16 18:57,2016/11/16 18:57,0,2,1,6,3,5,1,0,
0.185706262,1,18463,22,22,,1,617,2016/11/16 17:40,2016/11/16 17:40,0,2,1,122,3,6,1,0,
0.118548919,0,,23,23,,1,618,2016/11/16 18:31,2016/11/16 18:31,0,2,1,2,4,5,1,0,
0.2347798,1,22865,24,24,,5,619,2016/11/16 5:01,2016/11/16 5:01,0,2,5,1157,4,7,5,0,
0.194715313,1,49,25,25,,2,619,2016/11/2 6:06,2016/11/2 6:06,0,2,5,1146,2,3,5,1,
0.252576367,1,7,26,26,,3,619,2016/11/2 6:06,2016/11/2 9:14,3,2,5,1146,3,6,5,0,
0.303378186,1,4157,27,27,,1,620,2016/11/16 1:49,2016/11/16 1:50,0,2,1,4,3,9,1,1,
0.303378186,1,10374,28,28,,1,620,2016/11/16 1:49,2016/11/16 1:50,0,2,1,4,3,9,1,0,
0.306558058,1,30,29,29,,1,621,2016/11/16 1:32,2016/11/16 1:32,0,2,220,524,3,9,1,1,
0.306558058,1,29,30,30,,1,621,2016/11/16 1:32,2016/11/16 1:32,0,2,220,524,3,9,1,0,
0.155255685,1,36,31,31,,1,622,2016/11/16 16:47,2016/11/16 16:47,0,2,1,2,3,5,1,0,
0.155264616,0,,32,32,,1,623,2016/11/16 16:12,2016/11/16 16:12,0,2,2,4,3,5,1,0,
0.958978051,0,,33,33,,2,624,2016/9/8 17:48,2016/11/15 16:43,1630,2,28,1052,3,27,2,0,
0.155317325,0,,34,34,,1,625,2016/11/16 15:37,2016/11/16 15:38,0,2,5,190,3,5,1,0,
0.129174283,0,,35,35,,2,626,2016/11/15 20:51,2016/11/15 20:52,0,2,1,4,4,5,2,0,
0.152519928,1,31,36,36,,1,627,2016/11/16 10:56,2016/11/16 11:15,0,2,2,25,2,3,2,1,
0.237842019,1,48,37,37,,2,627,2016/11/16 10:56,2016/11/16 11:25,0,2,2,36,3,7,2,1,
0.237842019,1,8,38,38,,2,627,2016/11/16 10:56,2016/11/16 11:25,0,2,2,36,3,7,2,0,
0.152337025,0,,39,39,,1,628,2016/11/16 16:01,2016/11/16 16:01,0,2,1,28,1,2,1,0,
0.155255685,0,,40,40,,1,629,2016/11/16 15:56,2016/11/16 15:56,0,2,1,2,3,5,1,0,
0.118548919,0,,41,41,,1,630,2016/11/16 15:42,2016/11/16 15:43,0,2,1,2,4,5,1,0,
0.165886771,1,21440,42,42,,4,631,2016/11/15 10:32,2016/11/16 15:09,28,2,9,145,3,4,4,0,
0.201004346,0,,43,43,,2,632,2016/11/8 17:15,2016/11/16 15:26,190,2,5,31,3,6,2,0,
0.140436126,0,,44,44,,2,633,2016/11/15 9:21,2016/11/15 9:49,0,2,1,2,3,4,2,0,
0.232291742,1,9,45,45,,6,634,2016/9/21 6:30,2016/11/16 8:46,1346,2,68,3937,3,5,6,0,
0.140273528,0,,46,46,,1,635,2016/11/16 14:40,2016/11/16 14:40,0,2,1,7,2,3,1,0,
0.155300342,0,,47,47,,1,636,2016/11/16 13:53,2016/11/16 13:53,0,2,6,12,3,5,1,0,
0.230573096,1,37,48,48,,2,637,2016/11/15 10:22,2016/11/16 10:00,23,2,15,781,1,3,4,0,
0.198088686,1,25,49,49,,4,637,2016/11/15 10:22,2016/11/16 13:35,27,2,15,793,3,5,4,0,
0.198088686,0,,50,50,,4,637,2016/11/15 10:22,2016/11/16 13:35,27,2,15,793,3,5,4,0,
0.198088686,0,,51,51,,4,637,2016/11/15 10:22,2016/11/16 13:35,27,2,15,793,3,5,4,0,
0.252369762,1,53,52,52,,1,637,2016/11/15 10:22,2016/11/15 10:22,0,2,15,781,2,5,4,1,
0.252372247,1,52,53,53,,3,637,2016/11/15 10:22,2016/11/16 10:39,24,2,15,793,2,5,4,0,
0.152564501,0,,54,54,,2,638,2016/11/16 14:02,2016/11/16 14:08,0,2,6,99,2,3,2,0,
0.1185845,0,,55,55,,1,639,2016/11/16 13:13,2016/11/16 13:13,0,2,6,12,4,5,1,0,
0.155264616,0,,56,56,,1,640,2016/11/16 13:38,2016/11/16 13:38,0,2,2,4,3,5,1,0,
0.140605513,0,,57,57,,3,641,2016/11/15 17:35,2016/11/15 20:37,3,2,1,47,4,5,3,0,
0.155300342,0,,58,58,,1,642,2016/11/16 13:32,2016/11/16 13:32,0,2,6,12,3,5,1,0,
0.155356065,0,,59,59,,1,643,2016/11/16 12:39,2016/11/16 13:30,0,2,6,399,3,5,1,0,
0.155275261,1,22742,60,60,,1,644,2016/11/16 10:19,2016/11/16 10:19,0,2,1,138,3,5,1,0,
0.324549893,1,22343,61,61,,2,645,2016/11/16 9:51,2016/11/16 9:52,0,2,6,32,3,9,2,0,
0.156813252,1,22743,62,62,,1,646,2016/11/16 11:37,2016/11/16 11:37,0,2,166,872,3,5,1,0,
0.155267344,1,22744,63,63,,1,647,2016/11/16 12:23,2016/11/16 12:23,0,2,1,83,3,5,1,0,
0.131575614,0,,64,64,,1,648,2016/10/12 13:48,2016/11/16 6:45,832,2,2,15,5,7,1,0,
0.194808466,1,22337,65,65,,6,650,2016/11/9 11:14,2016/11/16 11:56,168,2,11,94,3,4,6,0,
0.140274984,0,,66,66,,1,651,2016/11/16 11:39,2016/11/16 11:39,0,2,1,18,2,3,1,0,
0.155266055,0,,67,67,,1,652,2016/11/16 10:02,2016/11/16 10:02,0,2,2,14,3,5,1,0,
0.106728797,1,22338,68,68,,1,653,2016/11/15 18:04,2016/11/15 18:04,0,2,10,108,3,3,1,0,
0.155255685,0,,69,69,,1,654,2016/11/16 10:58,2016/11/16 10:58,0,2,1,2,3,5,1,0,
0.185686514,1,21784,70,70,,1,655,2016/11/8 13:44,2016/11/8 13:44,0,2,1,3,3,6,1,0,
0.130479986,1,22339,71,71,,2,656,2016/11/8 13:38,2016/11/15 16:23,170,2,166,628,4,5,2,0,
0.143047296,1,21785,72,72,,1,657,2016/11/16 9:08,2016/11/16 9:08,0,2,6,32,4,6,1,0,
0.220586953,1,10379,73,73,,1,658,2016/11/16 8:46,2016/11/16 9:06,0,2,6,33,3,7,1,0,
0.118713545,0,,74,74,,1,659,2016/11/16 9:43,2016/11/16 9:43,0,2,16,536,4,5,1,0,
0.152858823,0,,75,75,,4,660,2016/11/15 13:17,2016/11/15 15:07,1,2,1,6,4,5,4,0,
0.155255973,0,,76,76,,1,661,2016/11/16 10:23,2016/11/16 10:23,0,2,1,4,3,5,1,0,
0.185761222,0,,77,77,,1,662,2016/11/16 9:35,2016/11/16 9:35,0,2,4,273,3,6,1,0,
0.140617195,0,,78,78,,3,663,2016/11/10 13:26,2016/11/16 8:52,139,2,3,15,4,5,3,0,
0.155440002,0,,79,79,,2,664,2016/11/10 16:16,2016/11/16 8:39,136,2,1,49,4,6,2,0,
0.155255973,0,,80,80,,1,665,2016/11/16 9:04,2016/11/16 9:04,0,2,1,4,3,5,1,0,
0.129897227,0,,81,81,,2,666,2016/11/8 13:23,2016/11/15 16:23,170,2,94,262,4,5,2,0,
0.168542716,1,12617,82,82,,2,667,2016/11/10 14:02,2016/11/15 15:12,121,2,1,9,3,5,2,0,
0.155442458,0,,83,83,,2,668,2016/11/10 12:50,2016/11/10 13:40,0,2,2,6,4,6,2,0,
0.217454168,0,,84,84,,4,669,2016/11/9 16:15,2016/11/10 13:45,21,2,4,227,4,7,4,0,
0.256460968,1,87,85,85,,4,670,2016/11/14 23:42,2016/11/15 20:59,21,2,5,573,4,8,4,0,
0.256460968,1,88,86,86,,4,670,2016/11/14 23:42,2016/11/15 20:59,21,2,5,573,4,8,4,0,
0.256460968,1,85,87,87,,4,670,2016/11/14 23:42,2016/11/15 20:59,21,2,5,573,4,8,4,1,
0.256460968,1,86,88,88,,4,670,2016/11/14 23:42,2016/11/15 20:59,21,2,5,573,4,8,4,1,
0.391769926,1,90,89,89,,1,670,2016/11/14 23:42,2016/11/15 1:54,2,2,5,573,2,8,4,1,
0.391769926,1,89,90,90,,1,670,2016/11/14 23:42,2016/11/15 1:54,2,2,5,573,2,8,4,0,
0.391769926,1,363,91,91,,1,670,2016/11/14 23:42,2016/11/15 1:54,2,2,5,573,2,8,4,1,
0.391769926,1,426,92,92,,1,670,2016/11/14 23:42,2016/11/15 1:54,2,2,5,573,2,8,4,1,
0.171529404,1,22951,93,93,,1,671,2016/11/10 10:59,2016/11/10 10:59,0,2,2,5,4,7,1,0,
0.31193137,0,,94,94,,9,672,2016/9/28 14:59,2016/11/9 13:01,1006,2,2,26,4,7,9,0,
0.171599177,1,23050,95,95,,1,673,2016/11/9 9:55,2016/11/9 10:05,0,2,9,32,4,7,1,0,
0.171519572,1,8698,96,96,,1,674,2016/11/9 13:22,2016/11/9 13:34,0,2,1,2,4,7,1,0,
0.198058885,1,21786,97,97,,4,675,2016/11/7 7:01,2016/11/15 11:36,196,2,16,562,3,5,4,0,
0.182718943,0,,98,98,,3,676,2016/11/16 2:04,2016/11/16 3:50,1,2,1,4,3,5,3,0,
0.220524839,1,11471,99,99,,1,677,2016/11/16 1:25,2016/11/16 1:25,0,2,1,4,3,7,1,1,
0.220524839,1,23082,100,100,,1,677,2016/11/16 1:25,2016/11/16 1:25,0,2,1,4,3,7,1,0,
0.165418187,1,23051,101,101,,1,678,2016/11/16 2:13,2016/11/16 2:13,0,2,1,2,1,2,2,0,
0.140436391,1,17325,102,102,,2,679,2016/11/15 21:48,2016/11/16 1:05,3,2,1,4,3,4,2,0,
0.279091162,1,13579,103,103,,1,679,2016/11/15 21:48,2016/11/15 21:48,0,2,1,4,3,8,2,1,
0.255788727,1,13589,104,104,,1,680,2016/11/15 21:42,2016/11/15 21:43,0,2,2,4,2,6,2,1,
0.168551182,0,,105,105,,2,680,2016/11/15 21:42,2016/11/16 1:05,3,2,2,4,3,5,2,0,
0.217149527,1,23054,106,106,,3,681,2016/11/15 14:20,2016/11/15 20:48,6,2,1,8,3,6,3,0,
0.16873196,1,1756,107,107,,1,681,2016/11/15 14:20,2016/11/15 14:20,0,2,1,6,4,6,3,1,
0.155255973,0,,108,108,,1,682,2016/11/15 23:13,2016/11/15 23:14,0,2,1,4,3,5,1,0,
0.143013777,1,22952,109,109,,1,683,2016/11/15 20:07,2016/11/15 20:09,0,2,2,23,4,6,1,0,
0.143013777,0,,110,110,,1,683,2016/11/15 20:07,2016/11/15 20:09,0,2,2,23,4,6,1,0,
0.140415762,0,,111,111,,1,684,2016/11/15 22:19,2016/11/15 22:23,0,2,6,781,2,3,1,0,
0.165799267,1,11561,112,112,,4,685,2016/11/4 10:14,2016/11/15 17:40,271,2,1,49,3,4,4,0,
0.14066272,0,,113,113,,3,686,2016/11/15 15:45,2016/11/15 18:44,2,2,8,58,4,5,3,0,
0.20440002,1,2450,114,114,,1,687,2016/11/15 19:50,2016/11/15 19:50,0,2,4,8,4,8,1,1,
0.20440002,1,116,115,115,,1,687,2016/11/15 19:50,2016/11/15 19:50,0,2,4,8,4,8,1,1,
0.20440002,1,115,116,116,,1,687,2016/11/15 19:50,2016/11/15 19:50,0,2,4,8,4,8,1,0,
