ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Text
2,Change has been successfully merged into the git repository by Stefan Xenos,1,601,2016-11-15 20:49:18,2016-11-15 20:51:14,0,MERGED,2.0,16.0,4,7,1,positive,Change has been successfully merged into the git repository by Stefan Xenos
4,Change has been successfully merged into the git repository by David Williams,1,603,2016-11-17 01:35:10,2016-11-17 01:35:10,0,MERGED,1.0,2.0,3,5,1,positive,Change has been successfully merged into the git repository by David Williams
6,Change has been successfully merged into the git repository by Jonathan Nieder,2,605,2016-11-16 23:28:05,2016-11-16 23:35:56,0,MERGED,5.0,128.0,4,5,2,positive,Change has been successfully merged into the git repository by Jonathan Nieder
13,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016-10-19 15:21:34,2016-11-09 22:13:06,510,MERGED,9.0,111.0,3,6,6,positive,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang."
15,Change has been successfully cherry-picked as 2189785cb5e54774dc58e064c86478f4e5525dda by Patrick Tasse,1,610,2016-11-10 20:38:52,2016-11-10 20:38:52,0,MERGED,1.0,8.0,4,5,1,positive,Change has been successfully cherry-picked as 2189785cb5e54774dc58e064c86478f4e5525dda by Patrick Tasse
21,Change has been successfully merged into the git repository by Carsten Reckord,1,616,2016-11-16 18:57:31,2016-11-16 18:57:31,0,MERGED,1.0,6.0,3,5,1,positive,Change has been successfully merged into the git repository by Carsten Reckord
22,Change has been successfully merged into the git repository by Young-Soo Roh,1,617,2016-11-16 17:40:37,2016-11-16 17:40:37,0,MERGED,1.0,122.0,3,6,1,positive,Change has been successfully merged into the git repository by Young-Soo Roh
24,Change has been successfully merged into the git repository by David Green,5,619,2016-11-16 05:01:57,2016-11-16 05:01:57,0,MERGED,5.0,1157.0,4,7,5,positive,Change has been successfully merged into the git repository by David Green
26,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016-11-02 06:06:20,2016-11-02 09:14:43,3,MERGED,5.0,1146.0,3,6,5,positive,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.
28,Change has been successfully merged into the git repository by Marc Khouzam,1,620,2016-11-16 01:49:02,2016-11-16 01:50:11,0,MERGED,1.0,4.0,3,9,1,positive,Change has been successfully merged into the git repository by Marc Khouzam
