ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Text
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016-11-15 20:49:18,2016-11-15 20:51:14,0,MERGED,2.0,16.0,4,7,1,negative,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)"
7,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes.",1,606,2016-07-20 14:16:26,2016-07-20 14:20:28,0,MERGED,3.0,12.0,3,7,3,negative,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes."
8,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/",2,606,2016-07-20 14:16:26,2016-11-15 00:17:44,2818,MERGED,3.0,12.0,4,8,3,negative,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/"
9,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow",2,606,2016-07-20 14:16:26,2016-11-15 00:17:44,2818,MERGED,3.0,12.0,4,8,3,negative,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow"
25,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/mylyn/job/gerrit-mylyn-docs/889/ : UNSTABLE,2,619,2016-11-02 06:06:20,2016-11-02 06:06:20,0,MERGED,5.0,1146.0,2,3,5,negative,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/mylyn/job/gerrit-mylyn-docs/889/ : UNSTABLE
27,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6647/ : UNSTABLE,1,620,2016-11-16 01:49:02,2016-11-16 01:50:11,0,MERGED,1.0,4.0,3,9,1,negative,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6647/ : UNSTABLE
29,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6648/ : UNSTABLE,1,621,2016-11-16 01:32:51,2016-11-16 01:32:51,0,MERGED,220.0,524.0,3,9,1,negative,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6648/ : UNSTABLE
36,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11206/ : UNSTABLE,1,627,2016-11-16 10:56:40,2016-11-16 11:15:51,0,MERGED,2.0,25.0,2,3,2,negative,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11206/ : UNSTABLE
37,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11207/ : UNSTABLE,2,627,2016-11-16 10:56:40,2016-11-16 11:25:38,0,MERGED,2.0,36.0,3,7,2,negative,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11207/ : UNSTABLE
52,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/148/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/217/ : UNSTABLE,1,637,2016-11-15 10:22:52,2016-11-15 10:22:52,0,MERGED,15.0,781.0,2,5,4,negative,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/148/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/217/ : UNSTABLE
87,Patch Set 4:Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6635/ : UNSTABLE,4,670,2016-11-14 23:42:55,2016-11-15 20:59:57,21,MERGED,5.0,573.0,4,8,4,negative,Patch Set 4:Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6635/ : UNSTABLE
88,Patch Set 4:> Build Unstable >  > https://hudson.eclipse.org/cdt/job/cdt-verify/6635/ : UNSTABLEThis unstable build was caused by intermittent failure. This change has been merged into master and the tests passed successfully there.,4,670,2016-11-14 23:42:55,2016-11-15 20:59:57,21,MERGED,5.0,573.0,4,8,4,negative,Patch Set 4:> Build Unstable >  > https://hudson.eclipse.org/cdt/job/cdt-verify/6635/ : UNSTABLEThis unstable build was caused by intermittent failure. This change has been merged into master and the tests passed successfully there.
89,"Patch Set 1: Code-Review-2Needs new bugs created for remaining issues, including cross reference in call to org.eclipse.cdt.utils.CommandLineUtil.argumentsToStringBash(String[], boolean)",1,670,2016-11-14 23:42:55,2016-11-15 01:54:24,2,MERGED,5.0,573.0,2,8,4,negative,"Patch Set 1: Code-Review-2Needs new bugs created for remaining issues, including cross reference in call to org.eclipse.cdt.utils.CommandLineUtil.argumentsToStringBash(String[], boolean)"
91,"Patch Set 1:Note to self: new bugs needed are:- ""incorrect"" handling of escaping (backslashes) on Windows, including in run mode- Assumption that shell=bash on linuxNot a bug exactly, but a question. What is the purpose of ""Arguments"" box. Should it try to match behaviour of command line / gdb on respective platform, or be a self-sustained standard. At the moment it is somewhere it between, with some behaviour consistent on diff platforms and some matching.And finally: We need windows tests. If they had been in place, we probably wouldn't of had a regression in Neon.",1,670,2016-11-14 23:42:55,2016-11-15 01:54:24,2,MERGED,5.0,573.0,2,8,4,negative,"Patch Set 1:Note to self: new bugs needed are:- ""incorrect"" handling of escaping (backslashes) on Windows, including in run mode- Assumption that shell=bash on linuxNot a bug exactly, but a question. What is the purpose of ""Arguments"" box. Should it try to match behaviour of command line / gdb on respective platform, or be a self-sustained standard. At the moment it is somewhere it between, with some behaviour consistent on diff platforms and some matching.And finally: We need windows tests. If they had been in place, we probably wouldn't of had a regression in Neon."
92,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6611/ : UNSTABLE,1,670,2016-11-14 23:42:55,2016-11-15 01:54:24,2,MERGED,5.0,573.0,2,8,4,negative,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6611/ : UNSTABLE
99,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6643/ : UNSTABLE,1,677,2016-11-16 01:25:12,2016-11-16 01:25:25,0,MERGED,1.0,4.0,3,7,1,negative,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6643/ : UNSTABLE
