ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Text
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016-11-15 20:49:18,2016-11-15 20:51:14,0,MERGED,2.0,16.0,4,7,1,negative,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)"
2,Change has been successfully merged into the git repository by Stefan Xenos,1,601,2016-11-15 20:49:18,2016-11-15 20:51:14,0,MERGED,2.0,16.0,4,7,1,positive,Change has been successfully merged into the git repository by Stefan Xenos
4,Change has been successfully merged into the git repository by David Williams,1,603,2016-11-17 01:35:10,2016-11-17 01:35:10,0,MERGED,1.0,2.0,3,5,1,positive,Change has been successfully merged into the git repository by David Williams
6,Change has been successfully merged into the git repository by Jonathan Nieder,2,605,2016-11-16 23:28:05,2016-11-16 23:35:56,0,MERGED,5.0,128.0,4,5,2,positive,Change has been successfully merged into the git repository by Jonathan Nieder
7,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes.",1,606,2016-07-20 14:16:26,2016-07-20 14:20:28,0,MERGED,3.0,12.0,3,7,3,negative,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes."
8,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/",2,606,2016-07-20 14:16:26,2016-11-15 00:17:44,2818,MERGED,3.0,12.0,4,8,3,negative,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/"
9,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow",2,606,2016-07-20 14:16:26,2016-11-15 00:17:44,2818,MERGED,3.0,12.0,4,8,3,negative,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow"
13,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016-10-19 15:21:34,2016-11-09 22:13:06,510,MERGED,9.0,111.0,3,6,6,positive,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang."
15,Change has been successfully cherry-picked as 2189785cb5e54774dc58e064c86478f4e5525dda by Patrick Tasse,1,610,2016-11-10 20:38:52,2016-11-10 20:38:52,0,MERGED,1.0,8.0,4,5,1,positive,Change has been successfully cherry-picked as 2189785cb5e54774dc58e064c86478f4e5525dda by Patrick Tasse
21,Change has been successfully merged into the git repository by Carsten Reckord,1,616,2016-11-16 18:57:31,2016-11-16 18:57:31,0,MERGED,1.0,6.0,3,5,1,positive,Change has been successfully merged into the git repository by Carsten Reckord
