ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
17,"Patch Set 2: Code-Review-1 Verified-1(1 comment)I corrected the commit message, to our standard.But I cannot see you have ""added"" a reference class, all you have done it split 1 line into 2 lines, I do not think it solves the problem",2,126,2016/10/14 2:29,2016/10/16 12:07,57,MERGED,1,3,2,4,3,negative
46,"Patch Set 3: Code-Review+1It would be good if someone else confirms that ::Autofit is OK as the default value of a textbox (once the REAL default of ""expand frame to fit text"" is turned off).",3,154,2016/11/9 16:53,2016/11/11 10:16,41,MERGED,2,12,4,5,3,negative
52,Patch Set 1: Code-Review+2 Verified+1gerrit failure is unrelated,1,159,2016/11/14 6:38,2016/11/15 4:35,21,MERGED,4,31,3,5,1,negative
66,"Patch Set 5:Actually, the call was not in use, so the risk is low, when we break binary compatibility.",5,172,2016/11/11 20:29,2016/11/14 13:06,64,MERGED,3,16,1,1,5,negative
67,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,negative
124,"Patch Set 3: Code-Review-1While this fixes the bug, it also unnecessarily lets operate all the following code on an empty string. The special case of empty string should be handled immediately instead. Note that such empty strings can not only occur during TextToColumns but also in CSV import, in which case it can be even performance relevant.",3,223,2016/11/11 14:25,2016/11/11 14:45,0,MERGED,1,2,2,2,6,negative
185,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,negative
192,"Patch Set 3:> > (1 comment) > > > > So I did an initial review of the patch and I think the general > > concept is ok but I'm still not sure about some of the details. > > > > Mainly the use of -1 as special column index and having special > > cases for it everywhere. > > > > I'm not sure if we should not instead switch to a solution that > has > > a valid ScAttrArray for any ScColumn and if there is not yet a > > ScColumn inside of the ScTable we query the ScAttrArray stored in > > ScTable. I need to read more and talk to you, Eike and Kohei to > see > > what is the best solution. >  > Thanks for the review. >  > The ScAttrArray object (aNextColAttrArray) in the ScTable has its > nCol member set to -1 to indicate that it represents all > unallocated columns. The check nCol == -1 in ScAttrArray methods is > to prevent making calls to pDocument methods like InvalidateTextWidth() > from aNextColAttrArray as it requires a valid/existing Column. >  > The special cases in the ScAttrArray methods are in fact for the > case of default formatting where nCount == 0 and pData == nullptr.But do we actually call these methods for the default formatting? As far as I read the code the default formatting is stored in the ScTable instance. If these methods are supposed to be never called for the default formatting I think an assert is the better solution.Sorry that it currently takes me a bit longer to review patches. I'm quite busy with my thesis and can not afford to spend too much time on LibreOffice.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,negative
193,"Patch Set 3:> But do we actually call these methods for the default formatting? > As far as I read the code the default formatting is stored in the > ScTable instance. If these methods are supposed to be never called > for the default formatting I think an assert is the better > solution.As per the current patch the default formatting is not stored in any of the ScAttrArray objects (in ScTable and in ScColumn), it is used only when required, by callingpDocument->GetDefPattern(). When an ScAttrArray object is constructed, by default it is set empty that is,  pData <- nullptr and nCount <- 0which is indicative of the default format. If default formatting is stored inScTable instance, for a new document if user adds new content for say first N columnswithout any formatting, then the first N ScColumn instances of ScAttrArray will getcreated by copying the default formatting from the ScTable instance. This can be avoidedby making ScTable's ScAttrArray instance be empty by default indicating default formatting.But the penalty is we have to add special cases everywhere for ScAttrArray methods. But I am not sure if we want this. Should we revert to ScTable instance storing the def.formatting ? - it would make the code simpler.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,negative
195,"Patch Set 3:> I think having the aNextColAttrArray for unallocated columns at > ScTable is a good approach. Same as Markus I'm not very fond of the > spurious nCol!=-1 checks sprinkled over, but I also don't have a > better solution. Calling any document content related functions for > the unallocated column clearly must not happen.Hi EikeThanks a lot for the review. Just to clarify regarding the nCol != -1 check, we need to let methods like Reset(), SetPatternArea(), ApplyStyleArea() to be called for the aNextColAttrArray but *without* changing any document content. An alternative to nCol != -1 checks is that we can have a default parameter or data member called bUnallocated with default value = false for all such methods and use that instead of (nCol != -1) when calling from aNextColAttrArray. Would that be better at least in terms of readability of the code ?In the meantime I will fix the other issues as per your comments. Thanks.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,negative
196,"Patch Set 4:I have made changes as per Markus'/Eike's comments.Copypasting my previous comment so reviewers don't miss them : -Regarding the nCol != -1 check, we need to let methods like Reset(), SetPatternArea(), ApplyStyleArea() to be called for the aNextColAttrArray but *without* changing any document content. An alternative to nCol != -1 checks is that we can have a default parameter or data member called bUnallocated with default value = false for all such methods and use that instead of (nCol != -1) when calling from aNextColAttrArray. Would that be better at least in terms of readability of the code ?",4,278,2016/4/15 16:13,2016/10/31 4:00,4763,MERGED,12,568,3,6,5,negative
197,"Patch Set 4:> An > alternative to nCol != -1 checks is that we can have a default > parameter or data member called bUnallocated with default value = > false for all such methods and use that instead of (nCol != -1) > when calling from aNextColAttrArray. Would that be better at least > in terms of readability of the code ?I don't think so. To the contrary, it would mean to have to keep yet one more variable in sync.",4,278,2016/4/15 16:13,2016/10/31 4:00,4763,MERGED,12,568,3,6,5,negative
201,"Patch Set 1: Code-Review+1 Verified+1Windows jenkins failure is unrelated.It looks like a clear-cut case of leftover, discard code to me.",1,280,2016/11/8 8:33,2016/11/8 8:47,0,MERGED,1,17,2,4,4,negative
205,Patch Set 1:Windows failure is unrelated.,1,282,2016/11/10 7:38,2016/11/10 7:39,0,MERGED,2,51,2,5,2,negative
273,"Patch Set 1:stoc/source/javavm/javavm.cxx:askForRetry() calls xContext->getValueByName(""java-vm.interaction-handler"").svtools/source/java/javacontext.cxx:JavaContext::getValueByName() in this case unconditionally creates new JavaInteractionHandler.",1,345,2016/11/3 12:53,2016/11/3 12:53,0,MERGED,2,21,3,11,5,negative
274,"Patch Set 1:> Those vars are read without a mutex locked, > so dialogs can still be displayed multiple times.That's possible, but highly improbable (requires two UI (!) code paths to cross this in ~exactly same time), and I suppose that reading bool without lock is safe to prefer faster implementation to the one that has mutex overhead. > no, not unconditionally; each instance of JavaContext creates at > most one instance of JavaInteractionHandlerSorry, missed that. Will look further.",1,345,2016/11/3 12:53,2016/11/3 12:53,0,MERGED,2,21,3,11,5,negative
315,"Patch Set 1:So, this works but really I have no idea what is all going on under the hood here, so this is a discussion starter and my commit message might be totally wrong. Likely also needed for sftp - potentially for webdav?",1,381,2016/10/26 16:59,2016/10/26 16:59,0,MERGED,1,3,2,5,6,negative
363,Patch Set 5:Thanks for the review ! Regression test added. It requires https://gerrit.libreoffice.org/30030 as well to pass. I double checked that it passes with both patches and fails without. Also rebased.,5,426,2016/10/13 21:43,2016/10/21 17:41,187,MERGED,5,36,2,4,7,negative
364,"Patch Set 4:Looks good to me, thx!One important piece is missing though - could you please provide a unit test for the bugfix that:- fails without your fix- passes afterwards?You can find an example that's reasonably close to your case here:http://opengrok.libreoffice.org/xref/core/chart2/qa/extras/chart2import.cxx#312",4,426,2016/10/13 21:43,2016/10/18 21:40,119,MERGED,3,12,3,5,7,negative
417,"Patch Set 3:vmiklos: I was planning to re-enable that code once the flip switches for the default to be true, and not false.  That's why I left in that line of code. I thought it would be better to leave all of this compat code in than to rip it all out just to find out that compat is needed for some reason.  There is a TON of code that could be removed if one really wants to strip all of this ""require a border"" code.  But that sounds like a LO5.6 task.The first patch in 5.4 will be one with this comment:tdf41542 globally allow padding without borders: UIThis is the primary fix for tdf#41542 - enabling the UI to adjust thepadding without requiring an enabled border line.  This effectively changesALLOW_PADDING_WITHOUT_BORDERS into a preventative compatibility settinginstead of an enabling one.If an AllowPaddingWithoutBorders=false case is ever found, additional codewill be needed to send the SID_ALLOW_PADDING_WITHOUT_BORDERS setting foreach type of border (page, paragraph, image etc). It currently is only setupfor frames. see commit f013d4a1f4073cda735befd6e446bee35f3db65cThat patch will remove out the comment and add back in the commented out code.",3,472,2016/10/31 8:59,2016/10/31 17:05,8,MERGED,3,16,3,5,5,negative
418,"Patch Set 1: Code-Review-1Not just, the import-export-import fails ODF validation, but so does the original document.  tdf41542_borderlessPadding2.odt/styles.xml[2,12457]: Error: unexpected attribute ""draw:fill"" from http://odf-validator.rhcloud.com/.  Looking into whether this is caused by my code, or whether it comes from something else.",1,472,2016/10/31 8:59,2016/10/31 9:27,0,MERGED,3,16,2,5,5,negative
450,Patch Set 3:clang failure is unrelated.,3,503,2016/11/3 10:43,2016/11/3 10:43,0,MERGED,3,49,2,5,4,negative
527,"Patch Set 3: Code-Review-1(2 comments)Seems to work in general, good.However, having searched for a string, clicking on a function name in the result list does not visually select it anymore, or double clicking sometimes selects it and sometimes it doesn't even if the corresponding arguments for the function are displayed. Sometimes, if a function was selected, it stays selected even if a different function then was double clicked to use it in an argument.This needs some further work.",3,577,2016/10/20 21:03,2016/10/22 18:07,45,MERGED,3,123,3,5,9,negative
529,Patch Set 5:(4 comments)I'll update this change with another patch that addresses the problems.,5,577,2016/10/20 21:03,2016/10/27 12:38,159,MERGED,3,114,3,4,9,negative
543,Patch Set 1: Code-Review+2 Verified+1Windows Jenkin build Python error is unrelated.,1,592,2016/10/31 5:16,2016/10/31 7:42,2,MERGED,1,15,3,5,1,negative
571,Patch Set 1: Verified+1windows failure unrelatedsome problem with LD_LIBRARY_PATH,1,618,2016/10/26 15:33,2016/10/26 15:33,0,MERGED,3,263,3,7,3,negative
