ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
1,Change has been successfully cherry-picked as 234325b9fc0d54e594de8e5d2e7c717684db1745 by Kohei Yoshida,1,111,2016/11/17 2:07,2016/11/17 2:09,0,MERGED,1,15,3,5,1,positive
5,Change has been successfully cherry-picked as 567580bddfa7b3d437b072698de77968c6513513 by Caol├ín McNamara,1,115,2016/11/16 21:12,2016/11/16 21:13,0,MERGED,1,4,3,5,1,positive
11,Change has been successfully cherry-picked as 6e3ff896e7422b4a438cbe5c1c9d97027c468c5c by Samuel Mehrbrodt,1,121,2016/11/16 12:51,2016/11/16 12:51,0,MERGED,1,2,3,5,1,positive
14,Change has been successfully cherry-picked as 722ea624fdb1ae3c5009b9dadc5699dc3724c649 by Mike Kaganski,1,124,2016/11/16 10:24,2016/11/16 10:24,0,MERGED,1,5,3,5,1,positive
16,"Patch Set 3:Chamal, Jan was kind here and accepted that change even if it changes nothing in what the code does at all, and the commit message does not really correspond to what the change actually does. But for your next time, try harder.",3,126,2016/10/14 2:29,2016/11/16 6:16,795,MERGED,1,3,1,1,3,positive
17,"Patch Set 2: Code-Review-1 Verified-1(1 comment)I corrected the commit message, to our standard.But I cannot see you have ""added"" a reference class, all you have done it split 1 line into 2 lines, I do not think it solves the problem",2,126,2016/10/14 2:29,2016/10/16 12:07,57,MERGED,1,3,2,4,3,negative
18,Change has been successfully cherry-picked as 121a202076f0ada98e5e3697e4e15a48b477523e by jan iversen,2,126,2016/10/14 2:29,2016/10/16 12:07,57,MERGED,1,3,2,4,3,positive
19,Change has been successfully cherry-picked as 2a83720fd1184868e84dbe2aedb65dbf0e27a6de by Katarina Behrens,1,127,2016/11/15 20:06,2016/11/15 20:09,0,MERGED,1,4,3,5,1,positive
23,Change has been successfully pushed.,2,131,2016/11/16 2:56,2016/11/16 3:04,0,MERGED,2,14,2,4,2,positive
27,Change has been successfully cherry-picked as 0662e35a6de8e2d3efa69ceda2ab25a1396b9098 by Ashod Nakashian,1,135,2016/11/16 3:01,2016/11/16 3:17,0,MERGED,1,3,2,3,1,positive
28,Change has been successfully cherry-picked as 33b7a899477926cf73ef125e4e45efeeadac4f6b by Ashod Nakashian,1,136,2016/11/15 13:01,2016/11/16 3:17,14,MERGED,1,1,2,3,1,positive
29,Change has been successfully cherry-picked as b47550e5669180323b35586a767bd8fb2260462c by Ashod Nakashian,1,137,2016/11/15 13:00,2016/11/16 3:17,14,MERGED,1,5,2,3,1,positive
30,Change has been successfully cherry-picked as 0f9bd80ca27db7aec057dbd494df60e3dc003a11 by Ashod Nakashian,1,138,2016/11/16 2:57,2016/11/16 3:17,0,MERGED,1,6,2,3,1,positive
32,Change has been successfully cherry-picked as 78be068a7ff7701cca3be25b0019fb3192f79b30 by Ashod Nakashian,1,140,2016/11/15 21:22,2016/11/16 3:15,5,MERGED,1,21,2,3,1,positive
33,Change has been successfully cherry-picked as 0cc57c643daf0f5a62454ff37d703c17607148c4 by Ashod Nakashian,1,141,2016/11/15 0:52,2016/11/16 3:15,26,MERGED,1,4,2,3,1,positive
36,Change has been successfully cherry-picked as 81f6384a50bfde0439ae0af00fed29d231e8196a by Katarina Behrens,1,144,2016/11/15 10:57,2016/11/15 12:16,1,MERGED,1,19,3,5,1,positive
40,Change has been successfully cherry-picked as 5d1a788468ef94cd1de4400d3c1e38d768f7bf8d by Thorsten Behrens,2,148,2016/11/15 3:11,2016/11/15 9:19,6,MERGED,1,3,3,4,3,positive
46,"Patch Set 3: Code-Review+1It would be good if someone else confirms that ::Autofit is OK as the default value of a textbox (once the REAL default of ""expand frame to fit text"" is turned off).",3,154,2016/11/9 16:53,2016/11/11 10:16,41,MERGED,2,12,4,5,3,negative
47,Change has been successfully cherry-picked as 098f7a4ac2b6f309a45d29f1b68bea18418b9ee7 by Thorsten Behrens,3,154,2016/11/9 16:53,2016/11/11 10:16,41,MERGED,2,12,4,5,3,positive
48,Change has been successfully cherry-picked as 10efab2b9a3cf7fc49655c90ba29db4512680c38 by Miklos Vajna,1,155,2016/11/15 8:19,2016/11/15 8:19,0,MERGED,3,21,3,5,1,positive
49,Change has been successfully cherry-picked as 4eb2863e95fb823d205f1ce0da21f7187339e3ff by jan iversen,2,156,2016/10/14 0:54,2016/11/15 6:44,773,MERGED,1,7,3,5,2,positive
52,Patch Set 1: Code-Review+2 Verified+1gerrit failure is unrelated,1,159,2016/11/14 6:38,2016/11/15 4:35,21,MERGED,4,31,3,5,1,negative
53,Change has been successfully cherry-picked as 9259fcd40b1749cd421c433bcc436cb335cbbe43 by Justin Luth,1,159,2016/11/14 6:38,2016/11/15 4:35,21,MERGED,4,31,3,5,1,positive
56,Change has been successfully cherry-picked as 074f0ab1d76f16fe92493868e2f2de75e67792ef by Takeshi Abe,5,162,2016/11/13 12:06,2016/11/14 8:41,20,MERGED,12,356,3,4,5,positive
58,Change has been successfully cherry-picked as b5dd13c57f748cc07611ba1e4d859fcf376c88a7 by Ashod Nakashian,1,164,2016/11/14 13:05,2016/11/14 13:58,0,MERGED,1,7,2,3,1,positive
60,Change has been successfully cherry-picked as fc3a059e751c3dbc1fbfee6cb7210cb8adc0aae2 by pranavk,1,166,2016/11/14 10:49,2016/11/14 10:49,0,MERGED,1,4,3,3,1,positive
61,Change has been successfully cherry-picked as 2fdbe655bb63dd40fda9b684c5715f21fd5ab639 by Caol├ín McNamara,1,167,2016/11/14 16:23,2016/11/14 16:23,0,MERGED,4,30,3,6,1,positive
62,Change has been successfully cherry-picked as 9a86bf76fe1d8457c12026b9f96c0ce971b29b53 by Caol├ín McNamara,1,168,2016/11/13 23:15,2016/11/14 8:03,8,MERGED,1,1,4,5,1,positive
63,Change has been successfully cherry-picked as ada8a2123ea655142be74a11c23e042a0109d5f8 by Katarina Behrens,1,169,2016/11/14 11:27,2016/11/14 11:27,0,MERGED,1,2,3,5,1,positive
64,Change has been successfully cherry-picked as 01a6274d7cc55859868176eb6d1135d2804c14ec by Ashod Nakashian,1,170,2016/11/14 12:36,2016/11/14 13:58,1,MERGED,3,17,2,3,1,positive
66,"Patch Set 5:Actually, the call was not in use, so the risk is low, when we break binary compatibility.",5,172,2016/11/11 20:29,2016/11/14 13:06,64,MERGED,3,16,1,1,5,negative
67,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,negative
68,"Patch Set 4:I meant '(and the ""old"" one just calls the ""new"" one with the text to render as a parameter)' of course :-)",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,positive
69,Change has been successfully cherry-picked as 32d0378284a42f0eba1df92555767a43be079117 by Andras Timar,4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,positive
70,Change has been successfully cherry-picked as 97eaf7bbb6ac66a2d71fe9a8cf962a673ee25b10 by Caol├ín McNamara,2,173,2016/11/14 7:45,2016/11/14 8:58,1,MERGED,1,2,3,4,2,positive
72,Change has been successfully cherry-picked as 52040395e3046ac42b8c3dd385c7b1cb26b929f3 by jan iversen,1,175,2016/10/13 19:22,2016/10/13 19:22,0,MERGED,1,2,4,8,2,positive
73,Change has been successfully cherry-picked as 37c3e57c788fb5ad931126ea233093d87ac3dbc3 by jan iversen,1,176,2016/11/11 12:46,2016/11/11 12:46,0,MERGED,1,3,4,5,1,positive
75,Change has been successfully cherry-picked as 2cee32bd4f90cc70a44755f9a8e4a6e9c6c6f2d9 by Caol├ín McNamara,5,178,2016/11/10 6:47,2016/11/11 22:23,39,MERGED,1,71,3,4,5,positive
79,Change has been successfully cherry-picked as 303d173ae10348433f9b0b845267a317cb69eff6 by Ashod Nakashian,1,182,2016/11/14 5:09,2016/11/14 5:09,0,MERGED,1,17,2,4,1,positive
80,Change has been successfully cherry-picked as d36306e347ae6b3ed82971a52dca9f6b639c4a42 by Ashod Nakashian,1,183,2016/11/14 5:08,2016/11/14 5:08,0,MERGED,1,3,2,3,1,positive
84,Change has been successfully cherry-picked as 03a0347c1409bbc0e40003cbbd0f52abd2a351af by Ashod Nakashian,1,187,2016/11/14 2:59,2016/11/14 2:59,0,MERGED,1,5,2,3,1,positive
92,Change has been successfully cherry-picked as 41e0902cdf0fd2ae54616dc1d451aa7ebba78dbb by Ashod Nakashian,1,195,2016/11/12 21:43,2016/11/12 21:43,0,MERGED,1,6,2,3,1,positive
94,Change has been successfully cherry-picked as 2906442f035252b436b5bd09c7e8d5bd4501bdb7 by Ashod Nakashian,1,197,2016/11/12 18:41,2016/11/12 18:41,0,MERGED,1,44,2,3,1,positive
97,Change has been successfully cherry-picked as 0506cbb5c4bc3eaa708b92ea88ee1a02f1e4502e by Ashod Nakashian,1,200,2016/11/12 18:12,2016/11/12 18:21,0,MERGED,4,56,2,3,1,positive
98,Change has been successfully cherry-picked as 5d69d0abd608a447df0355152643608d8034b7a2 by Ashod Nakashian,1,201,2016/11/12 15:40,2016/11/12 15:40,0,MERGED,2,12,2,3,1,positive
103,Change has been successfully cherry-picked as bf5eef2415fb84a1c885c8f74a22e575de6971fe by Caol├ín McNamara,1,206,2016/11/12 21:13,2016/11/12 21:24,0,MERGED,1,4,3,5,1,positive
