ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
2,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016-10-19 15:21:34,2016-11-09 22:13:06,510,MERGED,9.0,111.0,3,6,6,positive
3,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016-11-02 06:06:20,2016-11-02 09:14:43,3,MERGED,5.0,1146.0,3,6,5,positive
8,Patch Set 4: Code-Review+2 Verified+1Test issues on core should be fixed with latest patch (working fine with tooling...),4,637,2016-11-15 10:22:52,2016-11-16 13:35:49,27,MERGED,15.0,793.0,3,5,4,positive
10,"Patch Set 1:This also needs announcement on mailing list as there is a user visible change here, along with the future plans of resolving remaining quoting issues and SHELL != bash issues.",1,670,2016-11-14 23:42:55,2016-11-15 01:54:24,2,MERGED,5.0,573.0,2,8,4,positive
14,Patch Set 8:(11 comments)Nice job!Only minor cleanup that I will fix in a follow-up patch.,8,689,2016-11-02 21:31:44,2016-11-14 15:18:21,281,MERGED,16.0,973.0,3,6,13,positive
16,Patch Set 2: Code-Review+2 Verified+1Thanks Martin.,2,690,2016-11-12 13:33:52,2016-11-15 20:59:35,79,MERGED,1.0,22.0,3,4,2,positive
17,Patch Set 4:The concern mentioned in patch set 4 is now minimized by limiting the size of the history buffer.   A more robust implementation shall be investigated as a separate story.  In the mean time the user experience would be improved by providing a reasonable size of console history,4,697,2016-10-04 02:01:24,2016-10-26 04:02:39,530,MERGED,2.0,367.0,3,7,11,positive
19,"Patch Set 6:The scenario brought by Marc K, on patch 6 and related to the  resizing of the console when there is some input in the buffer but not yet consumed by GDB.    It is indeed a valid problem, however this issue is being uncovered by this implementation and with the combination of actions above.    I suggest we track this scenario as a separate issue.Please comment, Thanks !",6,697,2016-10-04 02:01:24,2016-10-31 18:48:11,664,MERGED,2.0,394.0,3,6,11,positive
20,"Patch Set 6:(4 comments)> The scenario brought by Marc K, on patch 6 and related to the  > resizing of the console when there is some input in the buffer but > not yet consumed by GDB. > It is indeed a valid problem, however this issue is being uncovered > by this implementation and with the combination of actions above. > I suggest we track this scenario as a separate issue. >  > Please comment, > Thanks !Ok with me.There are a couple on comments in line that I wrote although I haven't gone deeply in the review",6,697,2016-10-04 02:01:24,2016-10-31 18:48:11,664,MERGED,2.0,394.0,3,6,11,positive
31,Patch Set 5: Code-Review+1 Verified+1This one is ready for review.,5,726,2016-10-17 15:10:26,2016-10-26 15:45:01,216,MERGED,5.0,130.0,3,6,7,positive
38,Patch Set 10:Thanks for the contribution Simon!  I've merged your changes.,10,733,2016-07-08 08:40:29,2016-11-03 00:17:05,2823,MERGED,11.0,672.0,4,7,10,positive
46,"Patch Set 1: Code-Review+1This is very good, but can we also have the file creation? It can help us catch hung state systems.",1,745,2016-10-06 20:59:21,2016-10-24 19:50:09,430,MERGED,1.0,5.0,5,8,1,positive
49,Patch Set 2: Code-Review+2 Verified+1Thanks Leo,2,761,2016-11-02 18:57:07,2016-11-04 07:03:04,36,MERGED,1.0,4.0,3,4,2,positive
50,Patch Set 1: Code-Review+2 Verified+1Looks good. Waiting for the JDT merge.,1,761,2016-11-02 18:57:07,2016-11-02 18:57:07,0,MERGED,1.0,4.0,3,6,2,positive
58,Patch Set 2: Code-Review+2If that allows working-around https://bugs.lttng.org/issues/1070 then great!,2,775,2016-10-22 05:08:13,2016-10-24 19:59:32,62,MERGED,1.0,12.0,5,9,2,positive
62,"Patch Set 2: Code-Review+1 Verified+1I would like to see tests for equality and hashCodes for the CalledFunction, there are none now. That could be in a separate patch though",2,777,2016-10-01 05:25:15,2016-11-01 21:12:14,759,MERGED,1.0,23.0,2,3,3,positive
68,Patch Set 1:Yes please! Thanks!,1,796,2016-10-27 15:29:25,2016-10-27 15:29:25,0,MERGED,1.0,1.0,3,5,1,positive
69,Patch Set 1:Yes please! Thanks!,1,797,2016-10-27 15:07:21,2016-10-27 15:07:21,0,MERGED,2.0,69.0,3,5,1,positive
72,"Patch Set 5: Code-Review+2 Verified+1Previously approved, thanks for the review!",5,811,2016-09-01 00:34:07,2016-10-25 01:46:00,1297,MERGED,7.0,70.0,4,5,5,positive
