ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016-11-15 20:49:18,2016-11-15 20:51:14,0,MERGED,2.0,16.0,4,7,1,negative
2,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016-10-19 15:21:34,2016-11-09 22:13:06,510,MERGED,9.0,111.0,3,6,6,positive
3,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016-11-02 06:06:20,2016-11-02 09:14:43,3,MERGED,5.0,1146.0,3,6,5,positive
4,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,620,2016-11-16 01:49:02,2016-11-16 01:50:11,0,MERGED,1.0,4.0,3,9,1,negative
5,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,621,2016-11-16 01:32:51,2016-11-16 01:32:51,0,MERGED,220.0,524.0,3,9,1,negative
7,"Patch Set 2:(2 comments)I have a few minor suggestions related to this change. I consider neither one blocking, but we should at least think about them.Be careful if the change needs to be updated, as the commit comment does not contain any Change-Id line...",2,631,2016-11-15 10:32:28,2016-11-15 17:41:19,7,MERGED,9.0,145.0,3,4,4,negative
8,Patch Set 4: Code-Review+2 Verified+1Test issues on core should be fixed with latest patch (working fine with tooling...),4,637,2016-11-15 10:22:52,2016-11-16 13:35:49,27,MERGED,15.0,793.0,3,5,4,positive
10,"Patch Set 1:This also needs announcement on mailing list as there is a user visible change here, along with the future plans of resolving remaining quoting issues and SHELL != bash issues.",1,670,2016-11-14 23:42:55,2016-11-15 01:54:24,2,MERGED,5.0,573.0,2,8,4,positive
12,"Patch Set 1:Not sure why this build failed, but failed on p2.tests.ui which does not have any direct relation to my changes. But I do see 2 issues in the log. First, a warning from ""comparator"": [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: baseline and build artifacts have same version but different contents[INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml    The main artifact has been replaced with the baseline version.    The following attached artifacts are not present in the baseline and have been removed: [sources]Worse, and perhaps the reason ""ui tests"" failed there was an error message about ** (java:2487): WARNING **: Could not open X displayUnable to init server: Could not connect: Connection refusedPerhaps it was ""too busy""? Or perhaps it is ""misconfigured""?",1,687,2016-11-15 19:50:19,2016-11-15 19:50:19,0,MERGED,4.0,8.0,4,8,1,negative
13,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time",1,687,2016-11-15 19:50:19,2016-11-15 19:50:19,0,MERGED,4.0,8.0,4,8,1,negative
14,Patch Set 8:(11 comments)Nice job!Only minor cleanup that I will fix in a follow-up patch.,8,689,2016-11-02 21:31:44,2016-11-14 15:18:21,281,MERGED,16.0,973.0,3,6,13,positive
15,Patch Set 11: Code-Review+2 Verified+1Let's go ahead with this one.Getting the full console in all-stop is more important than the slight annoyances we are noticing with async.  We will continue to fix those annoyances.,11,689,2016-11-02 21:31:44,2016-11-15 13:51:14,304,MERGED,16.0,805.0,3,4,13,negative
16,Patch Set 2: Code-Review+2 Verified+1Thanks Martin.,2,690,2016-11-12 13:33:52,2016-11-15 20:59:35,79,MERGED,1.0,22.0,3,4,2,positive
17,Patch Set 4:The concern mentioned in patch set 4 is now minimized by limiting the size of the history buffer.   A more robust implementation shall be investigated as a separate story.  In the mean time the user experience would be improved by providing a reasonable size of console history,4,697,2016-10-04 02:01:24,2016-10-26 04:02:39,530,MERGED,2.0,367.0,3,7,11,positive
18,Patch Set 6:While testing this I found something obscure but weird that I thought I'd mention.1- Start a debug session with the full console.2- type a very long line in the new console so that the text wraps (don't press enter)3- close the debugger console4- make the space where the console was significantly bigger5- open the debugger console view=> the text is messed up with the cursor higher up than other texts.  This may be a bug with the widget itself.  I just wanted to document it in case it may be related to a bug in this patch.,6,697,2016-10-04 02:01:24,2016-10-31 18:48:11,664,MERGED,2.0,394.0,3,6,11,negative
19,"Patch Set 6:The scenario brought by Marc K, on patch 6 and related to the  resizing of the console when there is some input in the buffer but not yet consumed by GDB.    It is indeed a valid problem, however this issue is being uncovered by this implementation and with the combination of actions above.    I suggest we track this scenario as a separate issue.Please comment, Thanks !",6,697,2016-10-04 02:01:24,2016-10-31 18:48:11,664,MERGED,2.0,394.0,3,6,11,positive
20,"Patch Set 6:(4 comments)> The scenario brought by Marc K, on patch 6 and related to the  > resizing of the console when there is some input in the buffer but > not yet consumed by GDB. > It is indeed a valid problem, however this issue is being uncovered > by this implementation and with the combination of actions above. > I suggest we track this scenario as a separate issue. >  > Please comment, > Thanks !Ok with me.There are a couple on comments in line that I wrote although I haven't gone deeply in the review",6,697,2016-10-04 02:01:24,2016-10-31 18:48:11,664,MERGED,2.0,394.0,3,6,11,positive
24,"Patch Set 1:> There may still be a race condition here. Consider the sequence: > StreamCopyThread.write(lots_of_data); StreamCopyThread.flush(). If > flush() calls interrupt() while run() is in the src.read() call, > but src still has more data to read, can the current run() loop > break out of the src.read(), perform a partial flush, then loop > again to copy the rest of the data, and fail to do a final flush?Yes, I think that could happen. czhen and I talked a little about how we want to rewrite this code. I still think this change is an improvement since it avoids the ""Short read of block"" errors. I'll clarify the commit message.",1,701,2016-11-04 18:48:38,2016-11-04 18:50:40,0,MERGED,1.0,47.0,4,9,2,negative
25,"Patch Set 1:> > There may still be a race condition here. Consider the sequence: > > StreamCopyThread.write(lots_of_data); StreamCopyThread.flush(). If > > flush() calls interrupt() while run() is in the src.read() call, > > but src still has more data to read, can the current run() loop > > break out of the src.read(), perform a partial flush, then loop > > again to copy the rest of the data, and fail to do a final flush? >  > Yes, I think that could happen. czhen and I talked a little about > how we want to rewrite this code. I still think this change is an > improvement since it avoids the ""Short read of block"" errors. I'll > clarify the commit message.On second thought: PipedInputStream.read is not interruptible unless its buffer is empty. If the buffer contains some data, it returns that data without waiting for more.We don't flush until readInterrupted is true. That means we don't flush until the pipe is drained.",1,701,2016-11-04 18:48:38,2016-11-04 18:50:40,0,MERGED,1.0,47.0,4,9,2,negative
26,Patch Set 2: Code-Review+2I am so ashamed for this bug... Nice catch and fix.,2,707,2016-11-04 10:49:49,2016-11-04 15:48:15,4,MERGED,1.0,2.0,4,5,2,negative
