ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
1,"Patch Set 3:Chamal, Jan was kind here and accepted that change even if it changes nothing in what the code does at all, and the commit message does not really correspond to what the change actually does. But for your next time, try harder.",3,126,2016-10-14 02:29:17,2016-11-16 06:16:17,795,MERGED,1.0,3.0,1,1,3,0
2,Patch Set 3: Code-Review+1 Verified+1cloph@ are you confortable with this being merged ?,3,150,2016-10-22 15:52:54,2016-10-22 15:52:54,0,MERGED,1.0,7.0,2,4,5,0
3,"Patch Set 3: Code-Review+1It would be good if someone else confirms that ::Autofit is OK as the default value of a textbox (once the REAL default of ""expand frame to fit text"" is turned off).",3,154,2016-11-09 16:53:49,2016-11-11 10:16:32,41,MERGED,2.0,12.0,4,5,3,0
4,Patch Set 1: Code-Review+2 Verified+1gerrit failure is unrelated,1,159,2016-11-14 06:38:25,2016-11-15 04:35:56,21,MERGED,4.0,31.0,3,5,1,1
5,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016-11-11 20:29:57,2016-11-12 10:35:08,14,MERGED,3.0,16.0,4,7,5,1
6,Patch Set 2:Thanks for your suggestions. I've updated as pointed out.,2,222,2016-10-20 20:44:07,2016-10-27 05:15:16,152,MERGED,4.0,58.0,2,4,8,0
7,"Patch Set 6:(9 comments)Thanks, works in general. I'll upload an amended commit that addresses my nitpicks.",6,222,2016-10-20 20:44:07,2016-11-10 17:58:29,501,MERGED,5.0,87.0,3,4,8,0
8,"Patch Set 3: Code-Review-1(5 comments)As Eike already mentioned you seem to be on a good way. However I have a few nit picks about the coding style. Please use the calc coding style that you can see around the sc code. This includes: 4 spaces (you seem to use 2), braces onto new lines, and the hungarian prefix that Eike already mentioned.",3,222,2016-10-20 20:44:07,2016-10-27 07:58:53,155,MERGED,4.0,58.0,3,4,8,0
9,"Patch Set 4:(2 comments)Oops, thanks!",4,223,2016-11-11 20:11:01,2016-11-11 20:11:01,0,MERGED,1.0,4.0,3,6,6,0
10,"Patch Set 1:Overall, looks reasonable. I'll push it as soon as you fix the subject, and Jenkins is happy. Thanks!",1,223,2016-11-11 14:25:10,2016-11-11 14:25:10,0,MERGED,1.0,2.0,3,5,6,0
11,"Patch Set 1: Code-Review+2 Verified+1It seems the failing TB isn't due to the patch.Moreover, Robert confirms it works with this patch.see https://bugs.documentfoundation.org/show_bug.cgi?id=71251#c23",1,239,2016-11-11 19:53:49,2016-11-11 19:53:49,0,MERGED,1.0,4.0,3,5,1,1
12,"Patch Set 1: Code-Review+1Looks good to me, thank you! :-)  Please do merge if you are happy with the changes.",1,241,2016-11-10 21:27:26,2016-11-10 21:27:26,0,MERGED,4.0,88.0,3,4,1,0
13,Patch Set 1: Verified+1Sad to have to work around Intel bugs but ... =) necessary.Thanks !,1,263,2016-11-03 22:11:18,2016-11-10 21:25:59,167,MERGED,5.0,160.0,4,6,1,0
14,"Patch Set 3:> a polite ping still working in this patch?Yes, I am waiting for some comments on the patch.The build reports two statuses - When I checked, it got built successfully on Windows, mac and Linux. I'm not sure why the first link says failure.http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILUREhttp://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESS",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,0
15,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,1
