ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
2,Patch Set 3: Code-Review+1 Verified+1cloph@ are you confortable with this being merged ?,3,150,2016-10-22 15:52:54,2016-10-22 15:52:54,0,MERGED,1.0,7.0,2,4,5,positive
3,"Patch Set 3: Code-Review+1It would be good if someone else confirms that ::Autofit is OK as the default value of a textbox (once the REAL default of ""expand frame to fit text"" is turned off).",3,154,2016-11-09 16:53:49,2016-11-11 10:16:32,41,MERGED,2.0,12.0,4,5,3,positive
6,Patch Set 2:Thanks for your suggestions. I've updated as pointed out.,2,222,2016-10-20 20:44:07,2016-10-27 05:15:16,152,MERGED,4.0,58.0,2,4,8,positive
8,"Patch Set 3: Code-Review-1(5 comments)As Eike already mentioned you seem to be on a good way. However I have a few nit picks about the coding style. Please use the calc coding style that you can see around the sc code. This includes: 4 spaces (you seem to use 2), braces onto new lines, and the hungarian prefix that Eike already mentioned.",3,222,2016-10-20 20:44:07,2016-10-27 07:58:53,155,MERGED,4.0,58.0,3,4,8,positive
9,"Patch Set 4:(2 comments)Oops, thanks!",4,223,2016-11-11 20:11:01,2016-11-11 20:11:01,0,MERGED,1.0,4.0,3,6,6,positive
12,"Patch Set 1: Code-Review+1Looks good to me, thank you! :-)  Please do merge if you are happy with the changes.",1,241,2016-11-10 21:27:26,2016-11-10 21:27:26,0,MERGED,4.0,88.0,3,4,1,positive
13,Patch Set 1: Verified+1Sad to have to work around Intel bugs but ... =) necessary.Thanks !,1,263,2016-11-03 22:11:18,2016-11-10 21:25:59,167,MERGED,5.0,160.0,4,6,1,positive
14,"Patch Set 3:> a polite ping still working in this patch?Yes, I am waiting for some comments on the patch.The build reports two statuses - When I checked, it got built successfully on Windows, mac and Linux. I'm not sure why the first link says failure.http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILUREhttp://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESS",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,positive
16,"Patch Set 3:Hey Dennis,sorry that I did not get back to you already and reviewed the patch. I' still quite busy but hope to have enough time for a proper review next week.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,positive
17,"Patch Set 3:> Hey Dennis, >  > sorry that I did not get back to you already and reviewed the > patch. I' still quite busy but hope to have enough time for a > proper review next week.no problem, really looking forward to your review ! Thanks.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,positive
22,"Patch Set 5: Code-Review+2 Verified+1Ok, let's get this in and continue from there. Thanks Dennis!",5,278,2016-04-15 16:13:42,2016-11-07 17:08:31,4944,MERGED,12.0,568.0,3,4,5,positive
23,"Patch Set 1: Code-Review+1 Verified+1Windows jenkins failure is unrelated.It looks like a clear-cut case of leftover, discard code to me.",1,280,2016-11-08 08:33:02,2016-11-08 08:47:31,0,MERGED,1.0,17.0,2,4,4,positive
24,Patch Set 4:(5 comments)Starts to look good. Confirm you have tested it and it works well now?,4,284,2016-10-31 15:32:54,2016-11-04 02:12:37,82,MERGED,9.0,334.0,3,4,9,positive
25,Patch Set 1: Code-Review+2 Verified+1Nice cleanup; thanks!,1,290,2016-11-09 21:53:55,2016-11-09 21:53:55,0,MERGED,1.0,2.0,3,3,1,positive
31,Patch Set 4: Verified+1Actually Patch Set 4 succeeded: see windows_msc_dbgutil_32 log http://ci.libreoffice.org/job/lo_gerrit/2372/Config=windows_msc_dbgutil_32/console,4,345,2016-11-03 12:53:09,2016-11-05 07:22:22,42,MERGED,1.0,37.0,3,4,5,positive
39,Patch Set 1: Code-Review+2 Verified+1Thanks!,1,418,2016-11-06 19:10:56,2016-11-06 19:17:57,0,MERGED,86.0,1717.0,4,5,1,positive
41,Patch Set 7:I suppose this patch not being reviewed until now means that I need to take care of it.,7,426,2016-10-13 21:43:41,2016-10-27 20:52:01,335,MERGED,5.0,36.0,4,6,7,positive
42,Patch Set 5:Thanks for the review ! Regression test added. It requires https://gerrit.libreoffice.org/30030 as well to pass. I double checked that it passes with both patches and fails without. Also rebased.,5,426,2016-10-13 21:43:41,2016-10-21 17:41:41,187,MERGED,5.0,36.0,2,4,7,positive
44,"Patch Set 4:Looks good to me, thx!One important piece is missing though - could you please provide a unit test for the bugfix that:- fails without your fix- passes afterwards?You can find an example that's reasonably close to your case here:http://opengrok.libreoffice.org/xref/core/chart2/qa/extras/chart2import.cxx#312",4,426,2016-10-13 21:43:41,2016-10-18 21:40:54,119,MERGED,3.0,12.0,3,5,7,positive
50,Patch Set 2: Code-Review+2 Verified+1Ah - the joys of code review =) quite right; thanks for that Noel !,2,459,2016-11-04 09:46:29,2016-11-04 13:25:47,3,MERGED,1.0,6.0,3,5,2,positive
51,Patch Set 5: Code-Review+1 Verified+1patch looks good to me.,5,464,2016-08-30 20:31:08,2016-09-02 14:10:07,65,MERGED,2.0,32.0,5,8,5,positive
53,Patch Set 1: Code-Review+1 Verified+1seems to work on osx,1,469,2016-10-14 13:37:48,2016-11-04 07:19:45,497,MERGED,1.0,5.0,5,6,1,positive
56,"Patch Set 3: Code-Review+1Although a big change, I think it is safe. Only documents created outside of LibreOffice should currently be able to create document like this.  Plus, the ODF spec says it should be honoured anyway, if it is defined.The downside is that now the document will display properly, but if someone tries to edit those settings (and perhaps only GO to any format dialog, and then hit OK instead of cancel), the layout will reset to zero padding. Basically, we get read-only compatibility in 5.3, where before we had no compatibility at all.",3,472,2016-10-31 08:59:09,2016-10-31 17:05:52,8,MERGED,3.0,16.0,3,5,5,positive
57,"Patch Set 4: Code-Review+1(Justin - don't argue with your superiors)  OK - take the response as an explanation for my thinking behind my actions. But yes, I don't trust git and certainly don't like the ""document in git commit comments"" theory.  Way too much noise in git blame/commits.  (Also an indication that I really have no clue how to properly use git log -p etc.)",4,472,2016-10-31 08:59:09,2016-11-02 18:59:32,58,MERGED,3.0,14.0,2,4,5,positive
58,Patch Set 1: Code-Review+2Makes sense for now I think =) Quikee - need to revert that as/when we fix the SVG icons issue (later).Thanks Jan-Marek !,1,473,2016-11-02 11:33:51,2016-11-03 16:02:47,28,MERGED,1.0,1.0,4,5,1,positive
59,Patch Set 1: Code-Review+1with both commits 30526 and this one building LO 5.2 succeeds.,1,495,2016-11-03 12:14:42,2016-11-03 12:26:40,0,MERGED,1.0,4.0,5,6,1,positive
66,Patch Set 2: Code-Review+2 Verified+1Looks like you got it now.,2,557,2016-11-01 17:58:17,2016-11-01 18:03:46,0,MERGED,1.0,22.0,4,5,2,positive
68,Patch Set 9:Thanks. Your constructive comments help a lot. I'll do the release notes thing shortly.,9,577,2016-10-20 21:03:18,2016-10-29 15:32:51,210,MERGED,3.0,136.0,1,1,9,positive
70,"Patch Set 1:I guess I'm lacking context here:* the "":)"" in the commit msg puzzles me* any reason you picked me specifically for review?  (there might well be one, but I can't remember ever been involved with that code)",1,580,2016-10-30 07:05:55,2016-10-30 07:05:55,0,MERGED,1.0,26.0,4,8,1,positive
73,Patch Set 1: Verified+1Nice cleanup as well - love it =),1,596,2016-10-27 20:58:37,2016-10-28 14:05:42,17,MERGED,1.0,110.0,4,6,1,positive
83,"Patch Set 1:> cleaner and more pleasant. Havn't read the code change though ... > =)Thanks.Are you OK with the virtual base stuff? Read just the include/vcl part of the patch to see that.Personally, I don't think it'll make any performance difference, but maybe my intuition is off?",1,668,2016-09-21 12:48:15,2016-09-21 12:48:46,0,MERGED,47.0,1353.0,4,11,13,positive
