ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
2,Patch Set 3: Code-Review+1 Verified+1cloph@ are you confortable with this being merged ?,3,150,2016/10/22 15:52,2016/10/22 15:52,0,MERGED,1,7,2,4,5,positive
3,"Patch Set 3: Code-Review+1It would be good if someone else confirms that ::Autofit is OK as the default value of a textbox (once the REAL default of ""expand frame to fit text"" is turned off).",3,154,2016/11/9 16:53,2016/11/11 10:16,41,MERGED,2,12,4,5,3,positive
4,Patch Set 1: Code-Review+2 Verified+1gerrit failure is unrelated,1,159,2016/11/14 6:38,2016/11/15 4:35,21,MERGED,4,31,3,5,1,negative
5,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016/11/11 20:29,2016/11/12 10:35,14,MERGED,3,16,4,7,5,negative
6,Patch Set 2:Thanks for your suggestions. I've updated as pointed out.,2,222,2016/10/20 20:44,2016/10/27 5:15,152,MERGED,4,58,2,4,8,positive
8,"Patch Set 3: Code-Review-1(5 comments)As Eike already mentioned you seem to be on a good way. However I have a few nit picks about the coding style. Please use the calc coding style that you can see around the sc code. This includes: 4 spaces (you seem to use 2), braces onto new lines, and the hungarian prefix that Eike already mentioned.",3,222,2016/10/20 20:44,2016/10/27 7:58,155,MERGED,4,58,3,4,8,positive
9,"Patch Set 4:(2 comments)Oops, thanks!",4,223,2016/11/11 20:11,2016/11/11 20:11,0,MERGED,1,4,3,6,6,positive
11,"Patch Set 1: Code-Review+2 Verified+1It seems the failing TB isn't due to the patch.Moreover, Robert confirms it works with this patch.see https://bugs.documentfoundation.org/show_bug.cgi?id=71251#c23",1,239,2016/11/11 19:53,2016/11/11 19:53,0,MERGED,1,4,3,5,1,negative
12,"Patch Set 1: Code-Review+1Looks good to me, thank you! :-)  Please do merge if you are happy with the changes.",1,241,2016/11/10 21:27,2016/11/10 21:27,0,MERGED,4,88,3,4,1,positive
13,Patch Set 1: Verified+1Sad to have to work around Intel bugs but ... =) necessary.Thanks !,1,263,2016/11/3 22:11,2016/11/10 21:25,167,MERGED,5,160,4,6,1,positive
14,"Patch Set 3:> a polite ping still working in this patch?Yes, I am waiting for some comments on the patch.The build reports two statuses - When I checked, it got built successfully on Windows, mac and Linux. I'm not sure why the first link says failure.http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILUREhttp://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESS",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
15,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,negative
16,"Patch Set 3:Hey Dennis,sorry that I did not get back to you already and reviewed the patch. I' still quite busy but hope to have enough time for a proper review next week.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
17,"Patch Set 3:> Hey Dennis, >  > sorry that I did not get back to you already and reviewed the > patch. I' still quite busy but hope to have enough time for a > proper review next week.no problem, really looking forward to your review ! Thanks.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,positive
19,"Patch Set 3:> > (1 comment) > > > > So I did an initial review of the patch and I think the general > > concept is ok but I'm still not sure about some of the details. > > > > Mainly the use of -1 as special column index and having special > > cases for it everywhere. > > > > I'm not sure if we should not instead switch to a solution that > has > > a valid ScAttrArray for any ScColumn and if there is not yet a > > ScColumn inside of the ScTable we query the ScAttrArray stored in > > ScTable. I need to read more and talk to you, Eike and Kohei to > see > > what is the best solution. >  > Thanks for the review. >  > The ScAttrArray object (aNextColAttrArray) in the ScTable has its > nCol member set to -1 to indicate that it represents all > unallocated columns. The check nCol == -1 in ScAttrArray methods is > to prevent making calls to pDocument methods like InvalidateTextWidth() > from aNextColAttrArray as it requires a valid/existing Column. >  > The special cases in the ScAttrArray methods are in fact for the > case of default formatting where nCount == 0 and pData == nullptr.But do we actually call these methods for the default formatting? As far as I read the code the default formatting is stored in the ScTable instance. If these methods are supposed to be never called for the default formatting I think an assert is the better solution.Sorry that it currently takes me a bit longer to review patches. I'm quite busy with my thesis and can not afford to spend too much time on LibreOffice.",3,278,2016/4/15 16:13,2016/8/5 7:31,2679,MERGED,12,578,5,18,5,negative
22,"Patch Set 5: Code-Review+2 Verified+1Ok, let's get this in and continue from there. Thanks Dennis!",5,278,2016/4/15 16:13,2016/11/7 17:08,4944,MERGED,12,568,3,4,5,positive
23,"Patch Set 1: Code-Review+1 Verified+1Windows jenkins failure is unrelated.It looks like a clear-cut case of leftover, discard code to me.",1,280,2016/11/8 8:33,2016/11/8 8:47,0,MERGED,1,17,2,4,4,positive
24,Patch Set 4:(5 comments)Starts to look good. Confirm you have tested it and it works well now?,4,284,2016/10/31 15:32,2016/11/4 2:12,82,MERGED,9,334,3,4,9,positive
25,Patch Set 1: Code-Review+2 Verified+1Nice cleanup; thanks!,1,290,2016/11/9 21:53,2016/11/9 21:53,0,MERGED,1,2,3,3,1,positive
29,Patch Set 1: Code-Review+2 Verified+1The Jenkins failure is not relevant to this...,1,344,2016/11/7 17:06,2016/11/7 17:11,0,MERGED,1,21,4,5,1,negative
30,"Patch Set 1:> Those vars are read without a mutex locked, > so dialogs can still be displayed multiple times.That's possible, but highly improbable (requires two UI (!) code paths to cross this in ~exactly same time), and I suppose that reading bool without lock is safe to prefer faster implementation to the one that has mutex overhead. > no, not unconditionally; each instance of JavaContext creates at > most one instance of JavaInteractionHandlerSorry, missed that. Will look further.",1,345,2016/11/3 12:53,2016/11/3 12:53,0,MERGED,2,21,3,11,5,negative
31,Patch Set 4: Verified+1Actually Patch Set 4 succeeded: see windows_msc_dbgutil_32 log http://ci.libreoffice.org/job/lo_gerrit/2372/Config=windows_msc_dbgutil_32/console,4,345,2016/11/3 12:53,2016/11/5 7:22,42,MERGED,1,37,3,4,5,positive
35,Patch Set 1: Code-Review+2 Verified+1build failure looks unrelated,1,366,2016/11/7 9:28,2016/11/7 9:28,0,MERGED,2,4,4,5,1,negative
36,Patch Set 1: Verified+1build failure looks unrelated,1,367,2016/11/7 11:18,2016/11/7 11:20,0,MERGED,7,18,4,6,1,negative
37,Patch Set 4: Code-Review+2 Verified+1CI on windows has gone a tad crazy it seems =),4,370,2016/11/4 20:19,2016/11/7 12:25,64,MERGED,3,91,3,4,5,negative
