ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016-11-15 20:49:18,2016-11-15 20:51:14,0,MERGED,2.0,16.0,4,7,1,1
2,Change has been successfully merged into the git repository by David Williams,1,602,2016-11-17 03:34:49,2016-11-17 03:34:49,0,MERGED,22.0,47.0,3,5,1,0
3,Change has been successfully merged into the git repository by David Williams,1,603,2016-11-17 01:35:10,2016-11-17 01:35:10,0,MERGED,1.0,2.0,3,5,1,0
4,Change has been successfully merged into the git repository by David Williams,1,604,2016-11-16 23:25:39,2016-11-16 23:25:39,0,MERGED,1.0,93.0,3,5,1,0
5,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016-10-19 15:21:34,2016-11-09 22:13:06,510,MERGED,9.0,111.0,3,6,6,0
6,Change has been successfully cherry-picked as 55be2778829c92a601e02b8b62afe4600cdc56d7 by Patrick Tasse,6,609,2016-10-19 15:21:34,2016-11-16 15:24:27,672,MERGED,9.0,112.0,4,6,6,0
7,Change has been successfully cherry-picked as 2189785cb5e54774dc58e064c86478f4e5525dda by Patrick Tasse,1,610,2016-11-10 20:38:52,2016-11-10 20:38:52,0,MERGED,1.0,8.0,4,5,1,0
8,Change has been successfully merged into the git repository by vincent lorenzo,1,614,2016-11-16 19:42:38,2016-11-16 19:46:03,0,MERGED,2.0,94.0,3,5,1,0
9,Change has been successfully merged into the git repository by Jeff Johnston,1,615,2016-11-16 19:04:00,2016-11-16 19:04:00,0,MERGED,1.0,68.0,3,5,1,0
10,Change has been successfully merged into the git repository by David Green,5,619,2016-11-16 05:01:57,2016-11-16 05:01:57,0,MERGED,5.0,1157.0,4,7,5,0
11,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016-11-02 06:06:20,2016-11-02 09:14:43,3,MERGED,5.0,1146.0,3,6,5,0
12,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,620,2016-11-16 01:49:02,2016-11-16 01:50:11,0,MERGED,1.0,4.0,3,9,1,1
13,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,621,2016-11-16 01:32:51,2016-11-16 01:32:51,0,MERGED,220.0,524.0,3,9,1,1
14,Change has been successfully merged into the git repository by Doug Schaefer,1,622,2016-11-16 16:47:10,2016-11-16 16:47:10,0,MERGED,1.0,2.0,3,5,1,0
15,Change has been successfully merged into the git repository by Doug Schaefer,1,623,2016-11-16 16:12:58,2016-11-16 16:12:58,0,MERGED,2.0,4.0,3,5,1,0
16,"Patch Set 1: Code-Review-2Holding off on this for one last look through, then I'll push.We've been asked for Guava 17.0, and httpcomponents-core 4.4.4 so this would satisfy that.",1,624,2016-09-08 17:48:07,2016-11-09 19:56:51,1490,MERGED,28.0,1051.0,2,4,2,0
17,Change has been successfully merged into the git repository by Christian W. Damus,1,625,2016-11-16 15:37:19,2016-11-16 15:38:35,0,MERGED,5.0,190.0,3,5,1,0
18,Change has been successfully cherry-picked as 048cc0d846d640ef8fd0d6561bca9d2bfe5874e1 by Matthew Khouzam,2,626,2016-11-15 20:51:09,2016-11-15 20:52:03,0,MERGED,1.0,4.0,4,5,2,0
19,Change has been successfully pushed.,1,628,2016-11-16 16:01:26,2016-11-16 16:01:26,0,MERGED,1.0,28.0,1,2,1,0
20,Change has been successfully merged into the git repository by vincent lorenzo,1,630,2016-11-16 15:42:36,2016-11-16 15:43:31,0,MERGED,1.0,2.0,4,5,1,0
21,"Patch Set 2:(2 comments)I have a few minor suggestions related to this change. I consider neither one blocking, but we should at least think about them.Be careful if the change needs to be updated, as the commit comment does not contain any Change-Id line...",2,631,2016-11-15 10:32:28,2016-11-15 17:41:19,7,MERGED,9.0,145.0,3,4,4,1
22,Change has been successfully merged into the git repository by Marvin Mueller,6,634,2016-09-21 06:30:54,2016-11-16 08:46:25,1346,MERGED,68.0,3937.0,3,5,6,0
23,Change has been successfully merged into the git repository by Andrew Johnson,1,635,2016-11-16 14:40:40,2016-11-16 14:40:40,0,MERGED,1.0,7.0,2,3,1,0
24,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/151/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/223/ : SUCCESS,2,637,2016-11-15 10:22:52,2016-11-16 10:00:08,23,MERGED,15.0,781.0,1,3,4,0
25,Patch Set 4: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/153/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/226/ : SUCCESS,4,637,2016-11-15 10:22:52,2016-11-16 13:35:49,27,MERGED,15.0,793.0,3,5,4,0
26,Patch Set 4: Code-Review+2 Verified+1Test issues on core should be fixed with latest patch (working fine with tooling...),4,637,2016-11-15 10:22:52,2016-11-16 13:35:49,27,MERGED,15.0,793.0,3,5,4,0
27,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/148/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/217/ : UNSTABLE,1,637,2016-11-15 10:22:52,2016-11-15 10:22:52,0,MERGED,15.0,781.0,2,5,4,1
28,Patch Set 3: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/152/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/225/ : SUCCESS,3,637,2016-11-15 10:22:52,2016-11-16 10:39:39,24,MERGED,15.0,793.0,2,5,4,0
29,Change has been successfully merged into the git repository by vincent lorenzo,1,639,2016-11-16 13:13:41,2016-11-16 13:13:41,0,MERGED,6.0,12.0,4,5,1,0
30,Change has been successfully merged into the git repository by Benoit Maggi,1,647,2016-11-16 12:23:52,2016-11-16 12:23:52,0,MERGED,1.0,83.0,3,5,1,0
31,Change has been successfully merged into the git repository by vincent lorenzo,1,659,2016-11-16 09:43:01,2016-11-16 09:43:01,0,MERGED,16.0,536.0,4,5,1,0
32,Change has been successfully cherry-picked as 26b9290461576e6c1bc9af887ee9a9e7fc5dae01 by Andi Bur,4,660,2016-11-15 13:17:11,2016-11-15 15:07:45,1,MERGED,1.0,6.0,4,5,4,0
33,Change has been successfully rebased as f02d492e5a9bbad5e36a9b6097f6092d32ea62af by Remi Schnekenburger,1,662,2016-11-16 09:35:11,2016-11-16 09:35:11,0,MERGED,4.0,273.0,3,6,1,0
34,Patch Set 4: Verified+1Expected output is good on Mac!,4,670,2016-11-14 23:42:55,2016-11-15 20:59:57,21,MERGED,5.0,573.0,4,8,4,0
35,Change has been successfully merged into the git repository by Jonah Graham,4,670,2016-11-14 23:42:55,2016-11-15 20:59:57,21,MERGED,5.0,573.0,4,8,4,0
36,Patch Set 4:> Build Unstable >  > https://hudson.eclipse.org/cdt/job/cdt-verify/6635/ : UNSTABLEThis unstable build was caused by intermittent failure. This change has been merged into master and the tests passed successfully there.,4,670,2016-11-14 23:42:55,2016-11-15 20:59:57,21,MERGED,5.0,573.0,4,8,4,1
37,"Patch Set 1:This also needs announcement on mailing list as there is a user visible change here, along with the future plans of resolving remaining quoting issues and SHELL != bash issues.",1,670,2016-11-14 23:42:55,2016-11-15 01:54:24,2,MERGED,5.0,573.0,2,8,4,0
38,Change has been successfully pushed.,1,678,2016-11-16 02:13:03,2016-11-16 02:13:03,0,MERGED,1.0,2.0,1,2,2,0
39,Change has been successfully cherry-picked as f24c9fa52ec1b412e5abc92b71027b62ff6b062d by Jeff Johnston,1,682,2016-11-15 23:13:52,2016-11-15 23:14:39,0,MERGED,1.0,4.0,3,5,1,0
40,"Patch Set 1: Verified+1I do not know enough of annotations to really give a +1 code-review, but it did solve my problem with getIfPresent. Thanks!",1,683,2016-11-15 20:07:18,2016-11-15 20:09:02,0,MERGED,2.0,23.0,4,6,1,0
41,Change has been successfully cherry-picked as 9c8ea59abb311ce0cfd9829330c12aeb954532f4 by Alexandre Montplaisir,1,683,2016-11-15 20:07:18,2016-11-15 20:09:02,0,MERGED,2.0,23.0,4,6,1,0
42,Change has been successfully merged into the git repository by vincent lorenzo,3,686,2016-11-15 15:45:41,2016-11-15 18:44:41,2,MERGED,8.0,58.0,4,5,3,0
43,"Patch Set 1:Not sure why this build failed, but failed on p2.tests.ui which does not have any direct relation to my changes. But I do see 2 issues in the log. First, a warning from ""comparator"": [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: baseline and build artifacts have same version but different contents[INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml    The main artifact has been replaced with the baseline version.    The following attached artifacts are not present in the baseline and have been removed: [sources]Worse, and perhaps the reason ""ui tests"" failed there was an error message about ** (java:2487): WARNING **: Could not open X displayUnable to init server: Could not connect: Connection refusedPerhaps it was ""too busy""? Or perhaps it is ""misconfigured""?",1,687,2016-11-15 19:50:19,2016-11-15 19:50:19,0,MERGED,4.0,8.0,4,8,1,1
