ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
5,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016-10-19 15:21:34,2016-11-09 22:13:06,510,MERGED,9.0,111.0,3,6,6,positive
6,Change has been successfully cherry-picked as 55be2778829c92a601e02b8b62afe4600cdc56d7 by Patrick Tasse,6,609,2016-10-19 15:21:34,2016-11-16 15:24:27,672,MERGED,9.0,112.0,4,6,6,positive
11,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016-11-02 06:06:20,2016-11-02 09:14:43,3,MERGED,5.0,1146.0,3,6,5,positive
19,Change has been successfully pushed.,1,628,2016-11-16 16:01:26,2016-11-16 16:01:26,0,MERGED,1.0,28.0,1,2,1,positive
20,Change has been successfully merged into the git repository by vincent lorenzo,1,630,2016-11-16 15:42:36,2016-11-16 15:43:31,0,MERGED,1.0,2.0,4,5,1,positive
34,Patch Set 4: Verified+1Expected output is good on Mac!,4,670,2016-11-14 23:42:55,2016-11-15 20:59:57,21,MERGED,5.0,573.0,4,8,4,positive
46,Patch Set 8:(11 comments)Nice job!Only minor cleanup that I will fix in a follow-up patch.,8,689,2016-11-02 21:31:44,2016-11-14 15:18:21,281,MERGED,16.0,973.0,3,6,13,positive
51,Patch Set 4:The concern mentioned in patch set 4 is now minimized by limiting the size of the history buffer.   A more robust implementation shall be investigated as a separate story.  In the mean time the user experience would be improved by providing a reasonable size of console history,4,697,2016-10-04 02:01:24,2016-10-26 04:02:39,530,MERGED,2.0,367.0,3,7,11,positive
53,"Patch Set 6:The scenario brought by Marc K, on patch 6 and related to the  resizing of the console when there is some input in the buffer but not yet consumed by GDB.    It is indeed a valid problem, however this issue is being uncovered by this implementation and with the combination of actions above.    I suggest we track this scenario as a separate issue.Please comment, Thanks !",6,697,2016-10-04 02:01:24,2016-10-31 18:48:11,664,MERGED,2.0,394.0,3,6,11,positive
54,"Patch Set 6:(4 comments)> The scenario brought by Marc K, on patch 6 and related to the  > resizing of the console when there is some input in the buffer but > not yet consumed by GDB. > It is indeed a valid problem, however this issue is being uncovered > by this implementation and with the combination of actions above. > I suggest we track this scenario as a separate issue. >  > Please comment, > Thanks !Ok with me.There are a couple on comments in line that I wrote although I haven't gone deeply in the review",6,697,2016-10-04 02:01:24,2016-10-31 18:48:11,664,MERGED,2.0,394.0,3,6,11,positive
55,Patch Set 11: Code-Review+2 Verified+1This looks good to me!Thanks,11,697,2016-10-04 02:01:24,2016-11-15 15:34:55,1021,MERGED,2.0,429.0,3,4,11,positive
56,"Patch Set 8:(6 comments)The comments are now addressed in patch set 9, Thanks Marc K!",8,697,2016-10-04 02:01:24,2016-11-14 03:25:35,985,MERGED,2.0,427.0,3,6,11,positive
57,Change has been successfully cherry-picked as a2f54bf2de5d3ddf238eb6a4d59687df7feaee5a by Matthew Khouzam,3,698,2016-11-07 04:10:39,2016-11-08 00:35:16,20,MERGED,1.0,45.0,4,7,3,positive
58,"Patch Set 2:> If IO is laggy, PipedInputStream could be blocked waiting for data > which was recently written. The question is whether a the window > between write()/flush() to this class could wake up that blocked > read via the flush/interrupt rather than the data that shows up via > the write(). If it is impossible, great. There is the chance to > miss flushes.Oof, I'm missing the forest for the trees. The interrupt() can happen after a successful read and before the corresponding write. The code if (isInterrupted()) {   continue; }is broken. Luckily it's straightforward to fix: https://git.eclipse.org/r/84513",2,701,2016-11-04 18:48:38,2016-11-04 20:00:08,1,MERGED,1.0,46.0,4,7,2,positive
61,Change has been successfully cherry-picked as 3bc2beb411b22390d663c3930cb6789c40807781 by Jeff Johnston,2,702,2016-11-03 18:33:13,2016-11-04 20:19:18,25,MERGED,2.0,57.0,3,5,2,positive
62,Change has been successfully merged into the git repository by vincent lorenzo,1,703,2016-11-04 17:09:57,2016-11-04 17:09:57,0,MERGED,13.0,478.0,4,5,1,positive
63,Change has been successfully merged into the git repository by Lars Vogel,1,704,2016-11-03 15:06:14,2016-11-04 20:08:41,29,MERGED,3.0,7.0,4,5,1,positive
82,"Patch Set 1:(1 comment)Just one inline question,Thanks for looking into this !",1,732,2016-08-05 13:09:41,2016-08-05 13:18:14,0,MERGED,1.0,16.0,3,7,6,positive
93,Change has been successfully rebased as c28f7d15e007e12209f3404e4190734a39f41bd6 by Benoit Maggi,1,734,2016-11-04 13:16:50,2016-11-04 13:16:50,0,MERGED,1.0,2094.0,3,6,2,positive
113,Patch Set 2: Code-Review+2 Verified+1Thanks Leo,2,761,2016-11-02 18:57:07,2016-11-04 07:03:04,36,MERGED,1.0,4.0,3,4,2,positive
114,Change has been successfully merged into the git repository by Lars Vogel,2,761,2016-11-02 18:57:07,2016-11-04 07:03:04,36,MERGED,1.0,4.0,3,4,2,positive
118,Change has been successfully merged into the git repository by Lars Vogel,1,764,2016-11-03 15:06:14,2016-11-03 15:06:14,0,MERGED,3.0,7.0,4,5,1,positive
129,Change has been successfully cherry-picked as bca351b92e5ac04b8f98d1f0009b1820c089f0ff by Marc-Andr├® Laperle,2,773,2016-10-24 17:47:26,2016-10-24 19:59:41,2,MERGED,1.0,1.0,4,6,2,positive
