ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016-11-15 20:49:18,2016-11-15 20:51:14,0,MERGED,2.0,16.0,4,7,1,negative
12,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,620,2016-11-16 01:49:02,2016-11-16 01:50:11,0,MERGED,1.0,4.0,3,9,1,negative
13,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,621,2016-11-16 01:32:51,2016-11-16 01:32:51,0,MERGED,220.0,524.0,3,9,1,negative
21,"Patch Set 2:(2 comments)I have a few minor suggestions related to this change. I consider neither one blocking, but we should at least think about them.Be careful if the change needs to be updated, as the commit comment does not contain any Change-Id line...",2,631,2016-11-15 10:32:28,2016-11-15 17:41:19,7,MERGED,9.0,145.0,3,4,4,negative
27,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/148/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/217/ : UNSTABLE,1,637,2016-11-15 10:22:52,2016-11-15 10:22:52,0,MERGED,15.0,781.0,2,5,4,negative
36,Patch Set 4:> Build Unstable >  > https://hudson.eclipse.org/cdt/job/cdt-verify/6635/ : UNSTABLEThis unstable build was caused by intermittent failure. This change has been merged into master and the tests passed successfully there.,4,670,2016-11-14 23:42:55,2016-11-15 20:59:57,21,MERGED,5.0,573.0,4,8,4,negative
43,"Patch Set 1:Not sure why this build failed, but failed on p2.tests.ui which does not have any direct relation to my changes. But I do see 2 issues in the log. First, a warning from ""comparator"": [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: baseline and build artifacts have same version but different contents[INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml    The main artifact has been replaced with the baseline version.    The following attached artifacts are not present in the baseline and have been removed: [sources]Worse, and perhaps the reason ""ui tests"" failed there was an error message about ** (java:2487): WARNING **: Could not open X displayUnable to init server: Could not connect: Connection refusedPerhaps it was ""too busy""? Or perhaps it is ""misconfigured""?",1,687,2016-11-15 19:50:19,2016-11-15 19:50:19,0,MERGED,4.0,8.0,4,8,1,negative
44,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time",1,687,2016-11-15 19:50:19,2016-11-15 19:50:19,0,MERGED,4.0,8.0,4,8,1,negative
47,Patch Set 11: Code-Review+2 Verified+1Let's go ahead with this one.Getting the full console in all-stop is more important than the slight annoyances we are noticing with async.  We will continue to fix those annoyances.,11,689,2016-11-02 21:31:44,2016-11-15 13:51:14,304,MERGED,16.0,805.0,3,4,13,negative
52,Patch Set 6:While testing this I found something obscure but weird that I thought I'd mention.1- Start a debug session with the full console.2- type a very long line in the new console so that the text wraps (don't press enter)3- close the debugger console4- make the space where the console was significantly bigger5- open the debugger console view=> the text is messed up with the cursor higher up than other texts.  This may be a bug with the widget itself.  I just wanted to document it in case it may be related to a bug in this patch.,6,697,2016-10-04 02:01:24,2016-10-31 18:48:11,664,MERGED,2.0,394.0,3,6,11,negative
