ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016-11-15 20:49:18,2016-11-15 20:51:14,0,MERGED,2.0,16.0,4,7,1,negative
5,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016-10-19 15:21:34,2016-11-09 22:13:06,510,MERGED,9.0,111.0,3,6,6,positive
6,Change has been successfully cherry-picked as 55be2778829c92a601e02b8b62afe4600cdc56d7 by Patrick Tasse,6,609,2016-10-19 15:21:34,2016-11-16 15:24:27,672,MERGED,9.0,112.0,4,6,6,positive
11,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016-11-02 06:06:20,2016-11-02 09:14:43,3,MERGED,5.0,1146.0,3,6,5,positive
12,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,620,2016-11-16 01:49:02,2016-11-16 01:50:11,0,MERGED,1.0,4.0,3,9,1,negative
13,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,621,2016-11-16 01:32:51,2016-11-16 01:32:51,0,MERGED,220.0,524.0,3,9,1,negative
19,Change has been successfully pushed.,1,628,2016-11-16 16:01:26,2016-11-16 16:01:26,0,MERGED,1.0,28.0,1,2,1,positive
20,Change has been successfully merged into the git repository by vincent lorenzo,1,630,2016-11-16 15:42:36,2016-11-16 15:43:31,0,MERGED,1.0,2.0,4,5,1,positive
21,"Patch Set 2:(2 comments)I have a few minor suggestions related to this change. I consider neither one blocking, but we should at least think about them.Be careful if the change needs to be updated, as the commit comment does not contain any Change-Id line...",2,631,2016-11-15 10:32:28,2016-11-15 17:41:19,7,MERGED,9.0,145.0,3,4,4,negative
27,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/148/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/217/ : UNSTABLE,1,637,2016-11-15 10:22:52,2016-11-15 10:22:52,0,MERGED,15.0,781.0,2,5,4,negative
34,Patch Set 4: Verified+1Expected output is good on Mac!,4,670,2016-11-14 23:42:55,2016-11-15 20:59:57,21,MERGED,5.0,573.0,4,8,4,positive
36,Patch Set 4:> Build Unstable >  > https://hudson.eclipse.org/cdt/job/cdt-verify/6635/ : UNSTABLEThis unstable build was caused by intermittent failure. This change has been merged into master and the tests passed successfully there.,4,670,2016-11-14 23:42:55,2016-11-15 20:59:57,21,MERGED,5.0,573.0,4,8,4,negative
