ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
11,Change has been successfully cherry-picked as 6e3ff896e7422b4a438cbe5c1c9d97027c468c5c by Samuel Mehrbrodt,1,121,2016-11-16 12:51:35,2016-11-16 12:51:35,0,MERGED,1.0,2.0,3,5,1,positive
12,Change has been successfully cherry-picked as 5c49c13b7b963b8e05d68f6a050c8f8184b825fd by Takeshi Abe,3,122,2016-11-16 08:16:48,2016-11-16 12:52:01,4,MERGED,1.0,10.0,2,3,3,positive
34,Change has been successfully cherry-picked as 88f31af74816dbb7a85df73602f2c24dbd6fedae by Samuel Mehrbrodt,3,143,2016-11-14 11:02:58,2016-11-15 13:02:11,25,MERGED,3.0,142.0,4,5,3,positive
39,Change has been successfully cherry-picked as 5d1a788468ef94cd1de4400d3c1e38d768f7bf8d by Thorsten Behrens,2,148,2016-11-15 03:11:08,2016-11-15 09:19:46,6,MERGED,1.0,3.0,3,4,3,positive
53,Change has been successfully cherry-picked as 9259fcd40b1749cd421c433bcc436cb335cbbe43 by Justin Luth,1,159,2016-11-14 06:38:25,2016-11-15 04:35:56,21,MERGED,4.0,31.0,3,5,1,positive
63,Change has been successfully cherry-picked as ada8a2123ea655142be74a11c23e042a0109d5f8 by Katarina Behrens,1,169,2016-11-14 11:27:49,2016-11-14 11:27:49,0,MERGED,1.0,2.0,3,5,1,positive
65,Change has been successfully cherry-picked as 015061495373d7c09362b175dc1f6be3f2a37a1a by David Tardon,2,171,2016-10-25 08:38:36,2016-11-07 21:03:35,324,MERGED,1.0,39.0,3,4,3,positive
67,Change has been successfully cherry-picked as 32d0378284a42f0eba1df92555767a43be079117 by Andras Timar,4,172,2016-11-11 20:29:57,2016-11-12 10:35:08,14,MERGED,3.0,16.0,4,7,5,positive
68,Change has been successfully cherry-picked as 97eaf7bbb6ac66a2d71fe9a8cf962a673ee25b10 by Caol├ín McNamara,2,173,2016-11-14 07:45:23,2016-11-14 08:58:37,1,MERGED,1.0,2.0,3,4,2,positive
75,Change has been successfully cherry-picked as aa3f954222a270d3e2fa531badd2fa7febd30338 by Caol├ín McNamara,6,180,2016-11-12 17:07:22,2016-11-13 20:54:50,27,MERGED,27.0,251.0,3,4,6,positive
81,Change has been successfully cherry-picked as 853135decd123e1bbd521e7369378056caaabd56 by Ashod Nakashian,1,186,2016-11-14 03:23:04,2016-11-14 03:23:04,0,MERGED,6.0,41.0,2,3,1,positive
96,Change has been successfully cherry-picked as 5d69d0abd608a447df0355152643608d8034b7a2 by Ashod Nakashian,1,201,2016-11-12 15:40:37,2016-11-12 15:40:37,0,MERGED,2.0,12.0,2,3,1,positive
101,Change has been successfully cherry-picked as bf5eef2415fb84a1c885c8f74a22e575de6971fe by Caol├ín McNamara,1,206,2016-11-12 21:13:40,2016-11-12 21:24:32,0,MERGED,1.0,4.0,3,5,1,positive
102,Change has been successfully cherry-picked as ae922863c4932be38ef53ae5e985a668724e8f15 by Caol├ín McNamara,1,207,2016-11-12 21:12:27,2016-11-12 21:24:32,0,MERGED,1.0,2.0,3,5,1,positive
103,Change has been successfully cherry-picked as c3c08a16f8317266bcb86041d812d8a9821c237f by Maxim Monastirsky,3,208,2016-11-10 14:32:11,2016-11-11 06:52:52,16,MERGED,2.0,32.0,4,5,3,positive
115,Change has been successfully pushed.,1,220,2016-11-12 22:10:56,2016-11-12 22:21:53,0,MERGED,1.0,8.0,2,4,1,positive
117,Patch Set 2:Thanks for your suggestions. I've updated as pointed out.,2,222,2016-10-20 20:44:07,2016-10-27 05:15:16,152,MERGED,4.0,58.0,2,4,8,positive
118,Change has been successfully cherry-picked as 453de3473cf6f383c71466a1ed15e28b844ed7e5 by Eike Rathke,7,222,2016-10-20 20:44:07,2016-11-11 19:30:22,526,MERGED,5.0,90.0,3,5,8,positive
119,"Patch Set 6:(9 comments)Thanks, works in general. I'll upload an amended commit that addresses my nitpicks.",6,222,2016-10-20 20:44:07,2016-11-10 17:58:29,501,MERGED,5.0,87.0,3,4,8,positive
153,Change has been successfully cherry-picked as 5ea35685395e2dfede904fcf5fffbcdcecd30723 by Caol├ín McNamara,1,252,2016-11-09 14:12:39,2016-11-09 14:19:34,0,MERGED,1.0,6.0,4,5,1,positive
176,Change has been successfully cherry-picked as 5e416099f088a2f8a8980e08e3d5b731da0a6d9c by jan iversen,2,274,2016-11-10 13:34:00,2016-11-10 14:38:39,1,MERGED,1.0,3.0,3,5,2,positive
180,"Patch Set 3:> a polite ping still working in this patch?Yes, I am waiting for some comments on the patch.The build reports two statuses - When I checked, it got built successfully on Windows, mac and Linux. I'm not sure why the first link says failure.http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILUREhttp://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESS",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,positive
182,"Patch Set 3:Hey Dennis,sorry that I did not get back to you already and reviewed the patch. I' still quite busy but hope to have enough time for a proper review next week.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,positive
188,"Patch Set 5: Code-Review+2 Verified+1Ok, let's get this in and continue from there. Thanks Dennis!",5,278,2016-04-15 16:13:42,2016-11-07 17:08:31,4944,MERGED,12.0,568.0,3,4,5,positive
264,Patch Set 4: Verified+1Actually Patch Set 4 succeeded: see windows_msc_dbgutil_32 log http://ci.libreoffice.org/job/lo_gerrit/2372/Config=windows_msc_dbgutil_32/console,4,345,2016-11-03 12:53:09,2016-11-05 07:22:22,42,MERGED,1.0,37.0,3,4,5,positive
276,Change has been successfully cherry-picked as 64a708cba9b954afe3331f63c58218eb53b3d0ce by Caol├ín McNamara,10,356,2016-11-05 20:28:27,2016-11-07 17:22:23,44,MERGED,142.0,4215.0,3,4,10,positive
291,Change has been successfully cherry-picked as b9b03c7383035beaa6d5d89cd895436288403691 by Michael Stahl,1,367,2016-11-07 11:18:56,2016-11-07 11:20:27,0,MERGED,7.0,18.0,4,6,1,positive
295,Change has been successfully cherry-picked as ba68e6dd7ad99ef2a2720f327813d13550b98966 by Michael Meeks,4,370,2016-11-04 20:19:12,2016-11-07 12:25:51,64,MERGED,3.0,91.0,3,4,5,positive
306,Change has been successfully cherry-picked as d9c7b0a01162254240a1328fa594991eccf6bc65 by Stephan Bergmann,5,381,2016-10-26 16:59:32,2016-11-07 05:00:17,276,MERGED,1.0,3.0,3,4,6,positive
333,Change has been successfully cherry-picked as 8b9372d51728b373512c9c05b8b77481581c4d47 by Ashod Nakashian,1,407,2016-11-05 21:48:15,2016-11-07 06:23:34,32,MERGED,1.0,10.0,2,3,1,positive
340,Change has been successfully cherry-picked as fd8b426860ce218d61d978363880090da4ef1708 by Ashod Nakashian,1,414,2016-11-07 03:10:32,2016-11-07 06:23:34,3,MERGED,1.0,2.0,2,3,1,positive
344,Patch Set 1: Code-Review+2 Verified+1Thanks!,1,418,2016-11-06 19:10:56,2016-11-06 19:17:57,0,MERGED,86.0,1717.0,4,5,1,positive
346,Change has been successfully cherry-picked as 63fa2d5d4e0b4136516bd8204109271bf85c91ae by Adolfo Jayme Barrientos,1,419,2016-11-06 19:33:21,2016-11-06 19:33:21,0,MERGED,7.0,45.0,3,3,1,positive
358,Change has been successfully cherry-picked as 4ea62fe8a1194bca3bee5048832456c3559dcb8e by Julien Nabet,1,427,2016-11-05 20:07:10,2016-11-05 20:07:10,0,MERGED,1.0,5.0,3,5,1,positive
360,Change has been successfully cherry-picked as 3dc91d3fae79053031cdc9426e1dc13f840a91ba by Julien Nabet,1,428,2016-11-05 20:44:06,2016-11-05 20:44:06,0,MERGED,1.0,13.0,3,5,1,positive
368,Change has been successfully cherry-picked as ee2144aafc5b4be14630f723be9a2bb674671412 by Markus Mohrhard,1,435,2016-11-01 14:35:43,2016-11-01 14:35:43,0,MERGED,1.0,1235.0,4,5,1,positive
370,Change has been successfully cherry-picked as 7557eef0b58eadd5930f556ce4cb4bcc1d3b693d by Markus Mohrhard,1,436,2016-11-01 15:20:56,2016-11-01 15:20:56,0,MERGED,2.0,2266.0,4,5,1,positive
