ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
11,Change has been successfully cherry-picked as 6e3ff896e7422b4a438cbe5c1c9d97027c468c5c by Samuel Mehrbrodt,1,121,2016-11-16 12:51:35,2016-11-16 12:51:35,0,MERGED,1.0,2.0,3,5,1,positive
12,Change has been successfully cherry-picked as 5c49c13b7b963b8e05d68f6a050c8f8184b825fd by Takeshi Abe,3,122,2016-11-16 08:16:48,2016-11-16 12:52:01,4,MERGED,1.0,10.0,2,3,3,positive
34,Change has been successfully cherry-picked as 88f31af74816dbb7a85df73602f2c24dbd6fedae by Samuel Mehrbrodt,3,143,2016-11-14 11:02:58,2016-11-15 13:02:11,25,MERGED,3.0,142.0,4,5,3,positive
39,Change has been successfully cherry-picked as 5d1a788468ef94cd1de4400d3c1e38d768f7bf8d by Thorsten Behrens,2,148,2016-11-15 03:11:08,2016-11-15 09:19:46,6,MERGED,1.0,3.0,3,4,3,positive
52,Patch Set 1: Code-Review+2 Verified+1gerrit failure is unrelated,1,159,2016-11-14 06:38:25,2016-11-15 04:35:56,21,MERGED,4.0,31.0,3,5,1,negative
53,Change has been successfully cherry-picked as 9259fcd40b1749cd421c433bcc436cb335cbbe43 by Justin Luth,1,159,2016-11-14 06:38:25,2016-11-15 04:35:56,21,MERGED,4.0,31.0,3,5,1,positive
63,Change has been successfully cherry-picked as ada8a2123ea655142be74a11c23e042a0109d5f8 by Katarina Behrens,1,169,2016-11-14 11:27:49,2016-11-14 11:27:49,0,MERGED,1.0,2.0,3,5,1,positive
65,Change has been successfully cherry-picked as 015061495373d7c09362b175dc1f6be3f2a37a1a by David Tardon,2,171,2016-10-25 08:38:36,2016-11-07 21:03:35,324,MERGED,1.0,39.0,3,4,3,positive
66,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016-11-11 20:29:57,2016-11-12 10:35:08,14,MERGED,3.0,16.0,4,7,5,negative
67,Change has been successfully cherry-picked as 32d0378284a42f0eba1df92555767a43be079117 by Andras Timar,4,172,2016-11-11 20:29:57,2016-11-12 10:35:08,14,MERGED,3.0,16.0,4,7,5,positive
68,Change has been successfully cherry-picked as 97eaf7bbb6ac66a2d71fe9a8cf962a673ee25b10 by Caol├ín McNamara,2,173,2016-11-14 07:45:23,2016-11-14 08:58:37,1,MERGED,1.0,2.0,3,4,2,positive
75,Change has been successfully cherry-picked as aa3f954222a270d3e2fa531badd2fa7febd30338 by Caol├ín McNamara,6,180,2016-11-12 17:07:22,2016-11-13 20:54:50,27,MERGED,27.0,251.0,3,4,6,positive
81,Change has been successfully cherry-picked as 853135decd123e1bbd521e7369378056caaabd56 by Ashod Nakashian,1,186,2016-11-14 03:23:04,2016-11-14 03:23:04,0,MERGED,6.0,41.0,2,3,1,positive
96,Change has been successfully cherry-picked as 5d69d0abd608a447df0355152643608d8034b7a2 by Ashod Nakashian,1,201,2016-11-12 15:40:37,2016-11-12 15:40:37,0,MERGED,2.0,12.0,2,3,1,positive
101,Change has been successfully cherry-picked as bf5eef2415fb84a1c885c8f74a22e575de6971fe by Caol├ín McNamara,1,206,2016-11-12 21:13:40,2016-11-12 21:24:32,0,MERGED,1.0,4.0,3,5,1,positive
102,Change has been successfully cherry-picked as ae922863c4932be38ef53ae5e985a668724e8f15 by Caol├ín McNamara,1,207,2016-11-12 21:12:27,2016-11-12 21:24:32,0,MERGED,1.0,2.0,3,5,1,positive
103,Change has been successfully cherry-picked as c3c08a16f8317266bcb86041d812d8a9821c237f by Maxim Monastirsky,3,208,2016-11-10 14:32:11,2016-11-11 06:52:52,16,MERGED,2.0,32.0,4,5,3,positive
115,Change has been successfully pushed.,1,220,2016-11-12 22:10:56,2016-11-12 22:21:53,0,MERGED,1.0,8.0,2,4,1,positive
117,Patch Set 2:Thanks for your suggestions. I've updated as pointed out.,2,222,2016-10-20 20:44:07,2016-10-27 05:15:16,152,MERGED,4.0,58.0,2,4,8,positive
118,Change has been successfully cherry-picked as 453de3473cf6f383c71466a1ed15e28b844ed7e5 by Eike Rathke,7,222,2016-10-20 20:44:07,2016-11-11 19:30:22,526,MERGED,5.0,90.0,3,5,8,positive
119,"Patch Set 6:(9 comments)Thanks, works in general. I'll upload an amended commit that addresses my nitpicks.",6,222,2016-10-20 20:44:07,2016-11-10 17:58:29,501,MERGED,5.0,87.0,3,4,8,positive
138,"Patch Set 1: Code-Review+2 Verified+1It seems the failing TB isn't due to the patch.Moreover, Robert confirms it works with this patch.see https://bugs.documentfoundation.org/show_bug.cgi?id=71251#c23",1,239,2016-11-11 19:53:49,2016-11-11 19:53:49,0,MERGED,1.0,4.0,3,5,1,negative
153,Change has been successfully cherry-picked as 5ea35685395e2dfede904fcf5fffbcdcecd30723 by Caol├ín McNamara,1,252,2016-11-09 14:12:39,2016-11-09 14:19:34,0,MERGED,1.0,6.0,4,5,1,positive
176,Change has been successfully cherry-picked as 5e416099f088a2f8a8980e08e3d5b731da0a6d9c by jan iversen,2,274,2016-11-10 13:34:00,2016-11-10 14:38:39,1,MERGED,1.0,3.0,3,5,2,positive
180,"Patch Set 3:> a polite ping still working in this patch?Yes, I am waiting for some comments on the patch.The build reports two statuses - When I checked, it got built successfully on Windows, mac and Linux. I'm not sure why the first link says failure.http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILUREhttp://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESS",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,positive
181,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,negative
182,"Patch Set 3:Hey Dennis,sorry that I did not get back to you already and reviewed the patch. I' still quite busy but hope to have enough time for a proper review next week.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,positive
185,"Patch Set 3:> > (1 comment) > > > > So I did an initial review of the patch and I think the general > > concept is ok but I'm still not sure about some of the details. > > > > Mainly the use of -1 as special column index and having special > > cases for it everywhere. > > > > I'm not sure if we should not instead switch to a solution that > has > > a valid ScAttrArray for any ScColumn and if there is not yet a > > ScColumn inside of the ScTable we query the ScAttrArray stored in > > ScTable. I need to read more and talk to you, Eike and Kohei to > see > > what is the best solution. >  > Thanks for the review. >  > The ScAttrArray object (aNextColAttrArray) in the ScTable has its > nCol member set to -1 to indicate that it represents all > unallocated columns. The check nCol == -1 in ScAttrArray methods is > to prevent making calls to pDocument methods like InvalidateTextWidth() > from aNextColAttrArray as it requires a valid/existing Column. >  > The special cases in the ScAttrArray methods are in fact for the > case of default formatting where nCount == 0 and pData == nullptr.But do we actually call these methods for the default formatting? As far as I read the code the default formatting is stored in the ScTable instance. If these methods are supposed to be never called for the default formatting I think an assert is the better solution.Sorry that it currently takes me a bit longer to review patches. I'm quite busy with my thesis and can not afford to spend too much time on LibreOffice.",3,278,2016-04-15 16:13:42,2016-08-05 07:31:05,2679,MERGED,12.0,578.0,5,18,5,negative
188,"Patch Set 5: Code-Review+2 Verified+1Ok, let's get this in and continue from there. Thanks Dennis!",5,278,2016-04-15 16:13:42,2016-11-07 17:08:31,4944,MERGED,12.0,568.0,3,4,5,positive
