ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Positive,Negative
4,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016/11/16 2:20,2016/10/19 15:21,2016/11/9 22:13,510,MERGED,9,111,3,6,6,positive,2,-1
5,Patch Set 4: Code-Review+2 Verified+1Test issues on core should be fixed with latest patch (working fine with tooling...),4,637,2016/11/16 14:16,2016/11/15 10:22,2016/11/16 13:35,27,MERGED,15,793,3,5,4,positive,3,-1
7,"Patch Set 1: Verified+1I do not know enough of annotations to really give a +1 code-review, but it did solve my problem with getIfPresent. Thanks!",1,683,2016/11/15 20:25,2016/11/15 20:07,2016/11/15 20:09,0,MERGED,2,23,4,6,1,positive,3,-2
9,Patch Set 8:(3 comments)Only one comment added to the non api method (taken from the former interface method)enableReverseModeAtBpLocationThanks for the thorough review and fixes !,8,689,2016/11/15 13:54,2016/11/2 21:31,2016/11/14 15:18,281,MERGED,16,973,3,6,13,positive,2,-1
12,"Patch Set 2:Why trying the new buffering scheme, the last line is not buffered.  This means that the gdb prompt (gdb) does not re-appear when closing and re-opening the Debugger console.  Also, if I start typing something but don't press <enter>, then close the view, then re-open it, what I typed is not shown, but when I press <enter>, what I type is used.That second use-case is not that important, but it would be nice to show the (gdb) prompt if possible.",2,697,2016/10/20 12:52,2016/10/4 2:01,2016/10/7 13:12,83,MERGED,2,268,2,3,11,positive,2,-1
13,Patch Set 6:(4 comments)Hi Marc !I have answered the inline comments and the updates are reflected in patch set 7,6,697,2016/11/3 22:06,2016/10/4 2:01,2016/10/31 18:48,664,MERGED,2,394,3,6,11,positive,2,-1
14,"Patch Set 8:(6 comments)The comments are now addressed in patch set 9, Thanks Marc K!",8,697,2016/11/14 16:37,2016/10/4 2:01,2016/11/14 3:25,985,MERGED,2,427,3,6,11,positive,2,-1
15,"Patch Set 2:> If IO is laggy, PipedInputStream could be blocked waiting for data > which was recently written. The question is whether a the window > between write()/flush() to this class could wake up that blocked > read via the flush/interrupt rather than the data that shows up via > the write(). If it is impossible, great. There is the chance to > miss flushes.Oof, I'm missing the forest for the trees. The interrupt() can happen after a successful read and before the corresponding write. The code if (isInterrupted()) {   continue; }is broken. Luckily it's straightforward to fix: https://git.eclipse.org/r/84513",2,701,2016/11/4 23:04,2016/11/4 18:48,2016/11/4 20:00,1,MERGED,1,46,4,7,2,positive,3,-2
20,"Patch Set 5:Jonah, since you have already had a quick look, would you have the time to review this?  I'm hoping to have it for 9.2 if possible.",5,726,2016/10/31 18:22,2016/10/17 15:10,2016/10/26 15:45,216,MERGED,5,130,3,6,7,positive,2,-1
21,"Patch Set 1: Code-Review-2> This patch was just created to share information, but one key item > missing from the patch is that it does not change the default value > of the preference IGdbDebugPreferenceConstants.PREF_TRACES_ENABLE > in GdbPreferenceInitializer.Woops, that is actually a over-site on my part.  In my testing, I turn on and off and forgot to set the initializer!  Thanks for noticing.",1,726,2016/10/19 13:55,2016/10/17 15:10,2016/10/18 20:43,29,MERGED,4,113,3,5,7,positive,2,-1
