ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Positive,Negative
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016/11/16 20:09,2016/11/15 20:49,2016/11/15 20:51,0,MERGED,2,16,4,7,1,negative,2,-5
2,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes.",1,606,2016/8/29 20:52,2016/7/20 14:16,2016/7/20 14:20,0,MERGED,3,12,3,7,3,negative,1,-2
3,"Patch Set 2:> > CQ 11658 and CQ 11878 were both approved, so you can now proceed > > and add JavaEWAH 1.1.6 to Orbit recipes. > > > > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it > from > > the change adding it to Orbit recipes. >  > This seems to have been done in https://git.eclipse.org/r/#/c/81339/I can update target platforms tomorrow",2,606,2016/11/15 0:30,2016/7/20 14:16,2016/11/15 0:17,2818,MERGED,3,12,4,8,3,negative,1,-2
4,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016/11/16 2:20,2016/10/19 15:21,2016/11/9 22:13,510,MERGED,9,111,3,6,6,positive,2,-1
5,Patch Set 4: Code-Review+2 Verified+1Test issues on core should be fixed with latest patch (working fine with tooling...),4,637,2016/11/16 14:16,2016/11/15 10:22,2016/11/16 13:35,27,MERGED,15,793,3,5,4,positive,3,-1
6,"Patch Set 1:Note to self: new bugs needed are:- ""incorrect"" handling of escaping (backslashes) on Windows, including in run mode- Assumption that shell=bash on linuxNot a bug exactly, but a question. What is the purpose of ""Arguments"" box. Should it try to match behaviour of command line / gdb on respective platform, or be a self-sustained standard. At the moment it is somewhere it between, with some behaviour consistent on diff platforms and some matching.And finally: We need windows tests. If they had been in place, we probably wouldn't of had a regression in Neon.",1,670,2016/11/15 2:07,2016/11/14 23:42,2016/11/15 1:54,2,MERGED,5,573,2,8,4,negative,1,-2
7,"Patch Set 1: Verified+1I do not know enough of annotations to really give a +1 code-review, but it did solve my problem with getIfPresent. Thanks!",1,683,2016/11/15 20:25,2016/11/15 20:07,2016/11/15 20:09,0,MERGED,2,23,4,6,1,positive,3,-2
8,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time",1,687,2016/11/15 21:56,2016/11/15 19:50,2016/11/15 19:50,0,MERGED,4,8,4,8,1,negative,1,-3
9,Patch Set 8:(3 comments)Only one comment added to the non api method (taken from the former interface method)enableReverseModeAtBpLocationThanks for the thorough review and fixes !,8,689,2016/11/15 13:54,2016/11/2 21:31,2016/11/14 15:18,281,MERGED,16,973,3,6,13,positive,2,-1
10,"Patch Set 10: Code-Review+1I think we are close enough to go ahead with this.We'll need to fix some of the issues with running async with gdbserver, but we can address this after RC1.  Besides, I think getting the full console is important enough to take this risk.",10,689,2016/11/15 4:40,2016/11/2 21:31,2016/11/15 4:35,295,MERGED,16,788,2,4,13,negative,1,-2
11,Patch Set 4:I think this is a serious concern.  I hadn't thought of it before.We should look at how the platform console does this.  You can clone the platform console view and each new console will be filled with all the text.  Our TracingConsole class (gdb traces) does this by extending IOConsole.  How do they do this efficiently.  I think they use some kinds of scheme using a document.,4,697,2016/10/26 17:05,2016/10/4 2:01,2016/10/26 4:02,530,MERGED,2,367,3,7,11,negative,1,-2
12,"Patch Set 2:Why trying the new buffering scheme, the last line is not buffered.  This means that the gdb prompt (gdb) does not re-appear when closing and re-opening the Debugger console.  Also, if I start typing something but don't press <enter>, then close the view, then re-open it, what I typed is not shown, but when I press <enter>, what I type is used.That second use-case is not that important, but it would be nice to show the (gdb) prompt if possible.",2,697,2016/10/20 12:52,2016/10/4 2:01,2016/10/7 13:12,83,MERGED,2,268,2,3,11,positive,2,-1
13,Patch Set 6:(4 comments)Hi Marc !I have answered the inline comments and the updates are reflected in patch set 7,6,697,2016/11/3 22:06,2016/10/4 2:01,2016/10/31 18:48,664,MERGED,2,394,3,6,11,positive,2,-1
14,"Patch Set 8:(6 comments)The comments are now addressed in patch set 9, Thanks Marc K!",8,697,2016/11/14 16:37,2016/10/4 2:01,2016/11/14 3:25,985,MERGED,2,427,3,6,11,positive,2,-1
15,"Patch Set 2:> If IO is laggy, PipedInputStream could be blocked waiting for data > which was recently written. The question is whether a the window > between write()/flush() to this class could wake up that blocked > read via the flush/interrupt rather than the data that shows up via > the write(). If it is impossible, great. There is the chance to > miss flushes.Oof, I'm missing the forest for the trees. The interrupt() can happen after a successful read and before the corresponding write. The code if (isInterrupted()) {   continue; }is broken. Luckily it's straightforward to fix: https://git.eclipse.org/r/84513",2,701,2016/11/4 23:04,2016/11/4 18:48,2016/11/4 20:00,1,MERGED,1,46,4,7,2,positive,3,-2
16,"Patch Set 1:> > There may still be a race condition here. Consider the sequence: > > StreamCopyThread.write(lots_of_data); StreamCopyThread.flush(). If > > flush() calls interrupt() while run() is in the src.read() call, > > but src still has more data to read, can the current run() loop > > break out of the src.read(), perform a partial flush, then loop > > again to copy the rest of the data, and fail to do a final flush? >  > Yes, I think that could happen. czhen and I talked a little about > how we want to rewrite this code. I still think this change is an > improvement since it avoids the ""Short read of block"" errors. I'll > clarify the commit message.On second thought: PipedInputStream.read is not interruptible unless its buffer is empty. If the buffer contains some data, it returns that data without waiting for more.We don't flush until readInterrupted is true. That means we don't flush until the pipe is drained.",1,701,2016/11/4 20:06,2016/11/4 18:48,2016/11/4 18:50,0,MERGED,1,47,4,9,2,negative,2,-2
17,Patch Set 3:(4 comments)We still need a bug report and the current commit header pointing to this bug report.,3,709,2016/11/2 21:22,2016/11/1 16:52,2016/11/2 21:14,28,MERGED,4,274,2,4,8,negative,1,-2
18,"Patch Set 4:> > I'm wondering if the Ng* files can also be actually removed, we > > don't seem to be building them at all... >  > Look at make_cocoa.mak line 74. They are actually compiled.I did notice those targets in make_cocoa.mak but what I meant was that we can probably get rid of those too as those targets don't seem to be really invoked. See line 32 of the same makefile where the targets are commented out and I've never seen them being built myself.",4,712,2016/10/25 14:59,2016/10/4 9:52,2016/10/21 11:37,409,MERGED,28,1909,3,4,8,negative,1,-2
