ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Positive,Negative
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016/11/16 20:09,2016/11/15 20:49,2016/11/15 20:51,0,MERGED,2,16,4,7,1,negative,2,-5
2,"Patch Set 1:CQ 11658 and CQ 11878 were both approved, so you can now proceed and add JavaEWAH 1.1.6 to Orbit recipes.I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from the change adding it to Orbit recipes.",1,606,2016/8/29 20:52,2016/7/20 14:16,2016/7/20 14:20,0,MERGED,3,12,3,7,3,negative,1,-2
3,"Patch Set 2:> CQ 11658 and CQ 11878 were both approved, so you can now proceed > and add JavaEWAH 1.1.6 to Orbit recipes. >  > I filed bug 500455 for adding JavaEWAH 1.1.6 to Orbit, link it from > the change adding it to Orbit recipes.This seems to have been done in https://git.eclipse.org/r/#/c/81339/",2,606,2016/11/15 0:20,2016/7/20 14:16,2016/11/15 0:17,2818,MERGED,3,12,4,8,3,negative,1,-2
6,"Patch Set 1: Code-Review-2Needs new bugs created for remaining issues, including cross reference in call to org.eclipse.cdt.utils.CommandLineUtil.argumentsToStringBash(String[], boolean)",1,670,2016/11/15 1:55,2016/11/14 23:42,2016/11/15 1:54,2,MERGED,5,573,2,8,4,negative,1,-2
8,"Patch Set 1:Not sure why this build failed, but failed on p2.tests.ui which does not have any direct relation to my changes. But I do see 2 issues in the log. First, a warning from ""comparator"": [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: baseline and build artifacts have same version but different contents[INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml    The main artifact has been replaced with the baseline version.    The following attached artifacts are not present in the baseline and have been removed: [sources]Worse, and perhaps the reason ""ui tests"" failed there was an error message about ** (java:2487): WARNING **: Could not open X displayUnable to init server: Could not connect: Connection refusedPerhaps it was ""too busy""? Or perhaps it is ""misconfigured""?",1,687,2016/11/15 21:33,2016/11/15 19:50,2016/11/15 19:50,0,MERGED,4,8,4,8,1,negative,1,-3
10,"Patch Set 10: Code-Review+1I think we are close enough to go ahead with this.We'll need to fix some of the issues with running async with gdbserver, but we can address this after RC1.  Besides, I think getting the full console is important enough to take this risk.",10,689,2016/11/15 4:40,2016/11/2 21:31,2016/11/15 4:35,295,MERGED,16,788,2,4,13,negative,1,-2
11,Patch Set 4:I think this is a serious concern.  I hadn't thought of it before.We should look at how the platform console does this.  You can clone the platform console view and each new console will be filled with all the text.  Our TracingConsole class (gdb traces) does this by extending IOConsole.  How do they do this efficiently.  I think they use some kinds of scheme using a document.,4,697,2016/10/26 17:05,2016/10/4 2:01,2016/10/26 4:02,530,MERGED,2,367,3,7,11,negative,1,-2
13,Patch Set 6:While testing this I found something obscure but weird that I thought I'd mention.1- Start a debug session with the full console.2- type a very long line in the new console so that the text wraps (don't press enter)3- close the debugger console4- make the space where the console was significantly bigger5- open the debugger console view=> the text is messed up with the cursor higher up than other texts.  This may be a bug with the widget itself.  I just wanted to document it in case it may be related to a bug in this patch.,6,697,2016/10/31 20:42,2016/10/4 2:01,2016/10/31 18:48,664,MERGED,2,394,3,6,11,negative,1,-2
16,"Patch Set 1:> There may still be a race condition here. Consider the sequence: > StreamCopyThread.write(lots_of_data); StreamCopyThread.flush(). If > flush() calls interrupt() while run() is in the src.read() call, > but src still has more data to read, can the current run() loop > break out of the src.read(), perform a partial flush, then loop > again to copy the rest of the data, and fail to do a final flush?Yes, I think that could happen. czhen and I talked a little about how we want to rewrite this code. I still think this change is an improvement since it avoids the ""Short read of block"" errors. I'll clarify the commit message.",1,701,2016/11/4 19:59,2016/11/4 18:48,2016/11/4 18:50,0,MERGED,1,47,4,9,2,negative,2,-2
17,Patch Set 3:(4 comments)We still need a bug report and the current commit header pointing to this bug report.,3,709,2016/11/2 21:22,2016/11/1 16:52,2016/11/2 21:14,28,MERGED,4,274,2,4,8,negative,1,-2
18,"Patch Set 4:> > I'm wondering if the Ng* files can also be actually removed, we > > don't seem to be building them at all... >  > Look at make_cocoa.mak line 74. They are actually compiled.I did notice those targets in make_cocoa.mak but what I meant was that we can probably get rid of those too as those targets don't seem to be really invoked. See line 32 of the same makefile where the targets are commented out and I've never seen them being built myself.",4,712,2016/10/25 14:59,2016/10/4 9:52,2016/10/21 11:37,409,MERGED,28,1909,3,4,8,negative,1,-2
19,Patch Set 4:sorry about the last two patches I tried something out of desperation but without my brain switched on...,4,725,2016/11/2 19:47,2016/11/2 16:23,2016/11/2 19:46,3,MERGED,1,5,2,5,6,negative,1,-3
24,"Patch Set 6:In the latest patch set I removed the api filters and just implemented the ITextViewer interface, which leads to a pretty long static inner class in the test, but allows us to omit the api filter file.What do you prefer?",6,733,2016/10/18 23:22,2016/7/8 8:40,2016/10/18 23:19,2462,MERGED,10,932,3,5,10,negative,1,-2
27,Patch Set 1:There seems to be something wrong with the recipes.ecore code generation at my machine - let's see whether it works on the build server.,1,739,2016/10/21 16:42,2016/10/21 16:41,2016/10/21 16:41,0,MERGED,14,902,3,6,4,negative,1,-2
29,"Patch Set 1:I would deprecate the nvl methods all utilities except ObjectUtility, because they are redundant.",1,749,2016/11/3 12:24,2016/11/2 7:09,2016/11/3 12:05,28,MERGED,6,181,2,2,4,negative,1,-2
32,"Patch Set 4:Something is wrong with this review. Not sure what the status ""Not Current"" tells me. I can't do anything with it, so I cherry-picked it locally and will push it directly.",4,762,2016/11/4 6:05,2016/10/26 13:38,2016/11/2 10:36,164,MERGED,6,137,3,7,6,negative,1,-2
33,"Patch Set 5:> So to recap: rename the method, add a component to the commit > message, than I +1/+1. It passed stress test btw. It did before too > though. :SIt's pretty difficult to reproduce. I've seen it with machines under load, etc. But I see other failures too. Still, an improvement is better than nothing.",5,766,2016/11/3 20:21,2016/10/26 15:01,2016/11/3 20:19,197,MERGED,4,62,4,7,5,negative,2,-4
34,"Patch Set 4:So to recap: rename the method, add a component to the commit message, than I +1/+1. It passed stress test btw. It did before too though. :S",4,766,2016/11/3 20:15,2016/10/26 15:01,2016/11/3 4:29,181,MERGED,4,57,3,12,5,negative,1,-2
35,Patch Set 1:I am tempted to +2 this due to hudson's instability. question though: is there a way to make sure none of the plug-ins were forgotten?,1,767,2016/10/24 14:12,2016/10/21 15:03,2016/10/21 15:03,0,MERGED,51,106,3,8,5,negative,1,-2
36,"Patch Set 2:Build #11126 took 24 mb, every build takes 24mb. Did it build the wrong patch?",2,773,2016/11/3 19:11,2016/10/24 17:47,2016/10/24 19:59,2,MERGED,1,1,4,6,2,negative,1,-2
38,"Patch Set 2: Code-Review+1It doesn't break anything. The bug is _hard_ to reproduce, but I think I understood by code inspection.",2,779,2016/11/3 15:30,2016/8/30 21:43,2016/11/1 21:18,1511,MERGED,2,246,4,6,3,negative,1,-2
