ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
2,Patch Set 1:Thanks Stefan for the review and merge.,1,601,2016/11/17 4:54,2016/11/15 20:49,2016/11/15 20:51,32,MERGED,2,16,4,7,1,positive
3,"Patch Set 5: Code-Review+1 Verified+1(2 comments)Last comment, if we get this in, I will have a LOT of fun with apache lang.",5,609,2016/11/16 2:20,2016/10/19 15:21,2016/11/9 22:13,148,MERGED,9,111,3,6,6,positive
5,Patch Set 3: Code-Review+1(2 comments)Looks good Jeremie.,3,619,2016/11/14 17:52,2016/11/2 6:06,2016/11/2 9:14,296,MERGED,5,1146,3,6,5,positive
8,Patch Set 2: Code-Review+2This looks pretty reasonable. There are a few bugs that could be closed/improved due to this :https://bugs.eclipse.org/bugs/show_bug.cgi?id=491331 (Guava 17.0)https://bugs.eclipse.org/bugs/show_bug.cgi?id=500270 (HttpCore 4.4.4),2,624,2016/11/15 17:45,2016/9/8 17:48,2016/11/15 16:43,1,MERGED,28,1052,3,27,2,positive
11,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/151/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/223/ : SUCCESS,2,637,2016/11/16 10:09,2016/11/15 10:22,2016/11/16 10:00,0,MERGED,15,781,1,3,4,positive
14,Patch Set 3: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/152/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/225/ : SUCCESS,3,637,2016/11/16 10:47,2016/11/15 10:22,2016/11/16 10:39,0,MERGED,15,793,2,5,4,positive
17,Patch Set 4: Verified+1Expected output is good on Mac!,4,670,2016/11/15 23:00,2016/11/14 23:42,2016/11/15 20:59,2,MERGED,5,573,4,8,4,positive
24,Patch Set 3: Verified+1I got the ok from Marc D for this change.,3,681,2016/11/15 20:59,2016/11/15 14:20,2016/11/15 20:48,0,MERGED,1,8,3,6,3,positive
32,Patch Set 8:(11 comments)Nice job!Only minor cleanup that I will fix in a follow-up patch.,8,689,2016/11/15 4:34,2016/11/2 21:31,2016/11/14 15:18,13,MERGED,16,973,3,6,13,positive
33,Patch Set 8:(3 comments)Only one comment added to the non api method (taken from the former interface method)enableReverseModeAtBpLocationThanks for the thorough review and fixes !,8,689,2016/11/15 13:54,2016/11/2 21:31,2016/11/14 15:18,22,MERGED,16,973,3,6,13,positive
