ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016/11/16 20:09,2016/11/15 20:49,2016/11/15 20:51,23,MERGED,2,16,4,7,1,negative
4,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/mylyn/job/gerrit-mylyn-docs/889/ : UNSTABLE,2,619,2016/11/2 6:15,2016/11/2 6:06,2016/11/2 6:06,0,MERGED,5,1146,2,3,5,negative
6,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6647/ : UNSTABLE,1,620,2016/11/16 4:58,2016/11/16 1:49,2016/11/16 1:50,3,MERGED,1,4,3,9,1,negative
7,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6648/ : UNSTABLE,1,621,2016/11/16 15:37,2016/11/16 1:32,2016/11/16 1:32,14,MERGED,220,524,3,9,1,negative
9,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11206/ : UNSTABLE,1,627,2016/11/16 11:44,2016/11/16 10:56,2016/11/16 11:15,0,MERGED,2,25,2,3,2,negative
10,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/11207/ : UNSTABLE,2,627,2016/11/16 12:18,2016/11/16 10:56,2016/11/16 11:25,0,MERGED,2,36,3,7,2,negative
13,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/148/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/217/ : UNSTABLE,1,637,2016/11/15 10:31,2016/11/15 10:22,2016/11/15 10:22,0,MERGED,15,781,2,5,4,negative
19,Patch Set 4:Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6635/ : UNSTABLE,4,670,2016/11/15 23:49,2016/11/14 23:42,2016/11/15 20:59,2,MERGED,5,573,4,8,4,negative
20,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6611/ : UNSTABLE,1,670,2016/11/15 3:37,2016/11/14 23:42,2016/11/15 1:54,1,MERGED,5,573,2,8,4,negative
21,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6643/ : UNSTABLE,1,677,2016/11/16 3:04,2016/11/16 1:25,2016/11/16 1:25,1,MERGED,1,4,3,7,1,negative
22,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6637/ : UNSTABLE,1,679,2016/11/15 23:49,2016/11/15 21:48,2016/11/15 21:48,2,MERGED,1,4,3,8,2,negative
23,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6636/ : UNSTABLE,1,680,2016/11/15 23:49,2016/11/15 21:42,2016/11/15 21:43,2,MERGED,2,4,2,6,2,negative
25,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6623/ : UNSTABLE,1,681,2016/11/15 16:01,2016/11/15 14:20,2016/11/15 14:20,1,MERGED,1,6,4,6,3,negative
27,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time",1,687,2016/11/15 21:56,2016/11/15 19:50,2016/11/15 19:50,2,MERGED,4,8,4,8,1,negative
28,Patch Set 5: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6564/ : UNSTABLE,5,689,2016/11/9 13:46,2016/11/2 21:31,2016/11/9 2:06,11,MERGED,8,365,2,9,13,negative
29,Patch Set 2: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6502/ : UNSTABLE,2,689,2016/11/3 16:28,2016/11/2 21:31,2016/11/3 14:22,2,MERGED,5,194,2,5,13,negative
30,Patch Set 2: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6514/ : UNSTABLE,2,689,2016/11/4 12:54,2016/11/2 21:31,2016/11/3 14:22,22,MERGED,5,194,2,5,13,negative
