ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
16,"Patch Set 1: Code-Review-2Holding off on this for one last look through, then I'll push.We've been asked for Guava 17.0, and httpcomponents-core 4.4.4 so this would satisfy that.",1,624,2016-11-09 20:32:34,2016-09-08 17:48:07,2016-11-09 19:56:51,0,MERGED,28.0,1051.0,2,4,2,positive
28,Patch Set 3: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/152/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/225/ : SUCCESS,3,637,2016-11-16 10:47:22,2016-11-15 10:22:52,2016-11-16 10:39:39,0,MERGED,15.0,793.0,2,5,4,positive
34,Patch Set 4: Verified+1Expected output is good on Mac!,4,670,2016-11-15 23:00:17,2016-11-14 23:42:55,2016-11-15 20:59:57,2,MERGED,5.0,573.0,4,8,4,positive
45,Change has been successfully merged into the git repository by vincent lorenzo,2,688,2016-11-15 19:58:33,2016-11-15 19:53:58,2016-11-15 19:54:00,0,MERGED,7.0,339.0,3,5,2,positive
53,"Patch Set 6:The scenario brought by Marc K, on patch 6 and related to the  resizing of the console when there is some input in the buffer but not yet consumed by GDB.    It is indeed a valid problem, however this issue is being uncovered by this implementation and with the combination of actions above.    I suggest we track this scenario as a separate issue.Please comment, Thanks !",6,697,2016-11-03 19:11:39,2016-10-04 02:01:24,2016-10-31 18:48:11,72,MERGED,2.0,394.0,3,6,11,positive
78,Change has been successfully rebased as b010c9a0cf1de24275617532cb09fdb056ba5021 by Patrick Tessier,3,727,2016-11-04 15:19:55,2016-11-04 13:32:17,2016-11-04 13:42:26,1,MERGED,4.0,1609.0,4,6,3,positive
89,Patch Set 2:> Would be create the have the option to jump to an included fileSimon told me that this comment is hard to parse. I wanted to say that I would appreciate if David could review this and merge if it sufficient.,2,733,2016-07-15 07:48:28,2016-07-08 08:40:29,2016-07-11 22:32:59,81,MERGED,9.0,496.0,4,10,10,positive
90,"Patch Set 2: Code-Review+1Simon, can you remove the dependency to the other commit? I think it is not necessary.David, could you review this? This would be extremely helpful during my documentation work?",2,733,2016-08-30 10:22:21,2016-07-08 08:40:29,2016-07-11 22:32:59,1187,MERGED,9.0,496.0,4,10,10,positive
91,"Patch Set 2:David, can you give feedback on this change? Would be very nice to have hyperlinking for Asccidoc",2,733,2016-09-19 10:01:03,2016-07-08 08:40:29,2016-07-11 22:32:59,1667,MERGED,9.0,496.0,4,10,10,positive
110,Change has been successfully cherry-picked as de842ec4ca7f84ac270ccf8f151cd893f3aa8eff by Beat Schwarzentrub,3,757,2016-11-04 09:57:13,2016-10-31 13:11:24,2016-11-04 09:51:09,0,MERGED,1.0,32.0,3,5,3,positive
112,Change has been successfully cherry-picked as 8322ee98a4f1276c176eff6108792599274cf6c3 by Matthias Villiger,3,759,2016-11-04 09:10:14,2016-10-19 11:45:28,2016-11-04 08:57:42,0,MERGED,93.0,5399.0,3,7,3,positive
113,Patch Set 2: Code-Review+2 Verified+1Thanks Leo,2,761,2016-11-04 07:03:19,2016-11-02 18:57:07,2016-11-04 07:03:04,0,MERGED,1.0,4.0,3,4,2,positive
114,Change has been successfully merged into the git repository by Lars Vogel,2,761,2016-11-04 07:03:25,2016-11-02 18:57:07,2016-11-04 07:03:04,0,MERGED,1.0,4.0,3,4,2,positive
116,Change has been successfully pushed.,6,762,2016-11-04 06:04:21,2016-10-26 13:38:34,2016-11-04 06:03:45,0,MERGED,6.0,161.0,2,4,6,positive
129,Change has been successfully cherry-picked as bca351b92e5ac04b8f98d1f0009b1820c089f0ff by Marc-Andr├® Laperle,2,773,2016-11-03 19:14:52,2016-10-24 17:47:26,2016-10-24 19:59:41,239,MERGED,1.0,1.0,4,6,2,positive
