ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
1,"Patch Set 1:Stefan, do you see any issues? This is almost the same as the p2 change. I would love to merge this, as the blocking search dialog is super annoying for my usage of Eclipse (which involves a lot of text search for our tutorials)",1,601,2016-11-16 20:09:40,2016-11-15 20:49:18,2016-11-15 20:51:14,23,MERGED,2.0,16.0,4,7,1,negative
12,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,620,2016-11-16 17:12:00,2016-11-16 01:49:02,2016-11-16 01:50:11,15,MERGED,1.0,4.0,3,9,1,negative
13,Patch Set 1: Code-Review+2 Verified+1Unrelated test failures,1,621,2016-11-16 17:11:29,2016-11-16 01:32:51,2016-11-16 01:32:51,15,MERGED,220.0,524.0,3,9,1,negative
16,"Patch Set 1: Code-Review-2Holding off on this for one last look through, then I'll push.We've been asked for Guava 17.0, and httpcomponents-core 4.4.4 so this would satisfy that.",1,624,2016-11-09 20:32:34,2016-09-08 17:48:07,2016-11-09 19:56:51,0,MERGED,28.0,1051.0,2,4,2,positive
21,"Patch Set 2:(2 comments)I have a few minor suggestions related to this change. I consider neither one blocking, but we should at least think about them.Be careful if the change needs to be updated, as the commit comment does not contain any Change-Id line...",2,631,2016-11-15 22:34:06,2016-11-15 10:32:28,2016-11-15 17:41:19,4,MERGED,9.0,145.0,3,4,4,negative
27,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/148/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/217/ : UNSTABLE,1,637,2016-11-15 10:31:56,2016-11-15 10:22:52,2016-11-15 10:22:52,0,MERGED,15.0,781.0,2,5,4,negative
28,Patch Set 3: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/152/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/225/ : SUCCESS,3,637,2016-11-16 10:47:22,2016-11-15 10:22:52,2016-11-16 10:39:39,0,MERGED,15.0,793.0,2,5,4,positive
34,Patch Set 4: Verified+1Expected output is good on Mac!,4,670,2016-11-15 23:00:17,2016-11-14 23:42:55,2016-11-15 20:59:57,2,MERGED,5.0,573.0,4,8,4,positive
36,Patch Set 4:> Build Unstable >  > https://hudson.eclipse.org/cdt/job/cdt-verify/6635/ : UNSTABLEThis unstable build was caused by intermittent failure. This change has been merged into master and the tests passed successfully there.,4,670,2016-11-16 07:47:06,2016-11-14 23:42:55,2016-11-15 20:59:57,10,MERGED,5.0,573.0,4,8,4,negative
43,"Patch Set 1:Not sure why this build failed, but failed on p2.tests.ui which does not have any direct relation to my changes. But I do see 2 issues in the log. First, a warning from ""comparator"": [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: baseline and build artifacts have same version but different contents[INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml    The main artifact has been replaced with the baseline version.    The following attached artifacts are not present in the baseline and have been removed: [sources]Worse, and perhaps the reason ""ui tests"" failed there was an error message about ** (java:2487): WARNING **: Could not open X displayUnable to init server: Could not connect: Connection refusedPerhaps it was ""too busy""? Or perhaps it is ""misconfigured""?",1,687,2016-11-15 21:33:22,2016-11-15 19:50:19,2016-11-15 19:50:19,1,MERGED,4.0,8.0,4,8,1,negative
44,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time",1,687,2016-11-15 21:56:45,2016-11-15 19:50:19,2016-11-15 19:50:19,2,MERGED,4.0,8.0,4,8,1,negative
45,Change has been successfully merged into the git repository by vincent lorenzo,2,688,2016-11-15 19:58:33,2016-11-15 19:53:58,2016-11-15 19:54:00,0,MERGED,7.0,339.0,3,5,2,positive
47,Patch Set 11: Code-Review+2 Verified+1Let's go ahead with this one.Getting the full console in all-stop is more important than the slight annoyances we are noticing with async.  We will continue to fix those annoyances.,11,689,2016-11-15 19:06:20,2016-11-02 21:31:44,2016-11-15 13:51:14,5,MERGED,16.0,805.0,3,4,13,negative
52,Patch Set 6:While testing this I found something obscure but weird that I thought I'd mention.1- Start a debug session with the full console.2- type a very long line in the new console so that the text wraps (don't press enter)3- close the debugger console4- make the space where the console was significantly bigger5- open the debugger console view=> the text is messed up with the cursor higher up than other texts.  This may be a bug with the widget itself.  I just wanted to document it in case it may be related to a bug in this patch.,6,697,2016-10-31 20:42:00,2016-10-04 02:01:24,2016-10-31 18:48:11,1,MERGED,2.0,394.0,3,6,11,negative
53,"Patch Set 6:The scenario brought by Marc K, on patch 6 and related to the  resizing of the console when there is some input in the buffer but not yet consumed by GDB.    It is indeed a valid problem, however this issue is being uncovered by this implementation and with the combination of actions above.    I suggest we track this scenario as a separate issue.Please comment, Thanks !",6,697,2016-11-03 19:11:39,2016-10-04 02:01:24,2016-10-31 18:48:11,72,MERGED,2.0,394.0,3,6,11,positive
