ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
1,Change has been successfully cherry-picked as 234325b9fc0d54e594de8e5d2e7c717684db1745 by Kohei Yoshida,1,111,2016-11-17 03:04:05,2016-11-17 02:07:55,2016-11-17 02:09:28,0,MERGED,1.0,15.0,3,5,1,positive
5,Change has been successfully cherry-picked as 567580bddfa7b3d437b072698de77968c6513513 by Caol├ín McNamara,1,115,2016-11-16 21:15:58,2016-11-16 21:12:58,2016-11-16 21:13:15,0,MERGED,1.0,4.0,3,5,1,positive
7,Change has been successfully cherry-picked as 9f36f90b614007540fbcc1db850e00ca5f73c14d by Samuel Mehrbrodt,1,117,2016-11-16 22:46:43,2016-11-14 11:05:55,2016-11-14 11:06:21,59,MERGED,2.0,12.0,3,5,1,positive
11,Change has been successfully cherry-picked as 6e3ff896e7422b4a438cbe5c1c9d97027c468c5c by Samuel Mehrbrodt,1,121,2016-11-16 12:54:32,2016-11-16 12:51:35,2016-11-16 12:51:35,0,MERGED,1.0,2.0,3,5,1,positive
14,Change has been successfully cherry-picked as 722ea624fdb1ae3c5009b9dadc5699dc3724c649 by Mike Kaganski,1,124,2016-11-16 10:29:20,2016-11-16 10:24:39,2016-11-16 10:24:39,0,MERGED,1.0,5.0,3,5,1,positive
15,Change has been successfully cherry-picked as e06bacfc533dc490840067997fd5bcb1dc60dbc5 by Miklos Vajna,1,125,2016-11-16 10:22:56,2016-11-16 08:17:04,2016-11-16 08:17:35,2,MERGED,1.0,13.0,3,5,1,positive
17,Change has been successfully cherry-picked as 121a202076f0ada98e5e3697e4e15a48b477523e by jan iversen,2,126,2016-11-16 06:16:21,2016-10-14 02:29:17,2016-10-16 12:07:45,738,MERGED,1.0,3.0,2,4,3,positive
18,Change has been successfully cherry-picked as 2a83720fd1184868e84dbe2aedb65dbf0e27a6de by Katarina Behrens,1,127,2016-11-16 09:26:58,2016-11-15 20:06:53,2016-11-15 20:09:21,13,MERGED,1.0,4.0,3,5,1,positive
27,Change has been successfully cherry-picked as 33b7a899477926cf73ef125e4e45efeeadac4f6b by Ashod Nakashian,1,136,2016-11-16 04:42:20,2016-11-15 13:01:07,2016-11-16 03:17:57,1,MERGED,1.0,1.0,2,3,1,positive
39,Change has been successfully cherry-picked as 5d1a788468ef94cd1de4400d3c1e38d768f7bf8d by Thorsten Behrens,2,148,2016-11-15 14:51:16,2016-11-15 03:11:08,2016-11-15 09:19:46,5,MERGED,1.0,3.0,3,4,3,positive
