ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
52,Patch Set 1: Code-Review+2 Verified+1gerrit failure is unrelated,1,159,2016-11-15 05:39:31,2016-11-14 06:38:25,2016-11-15 04:35:56,1,MERGED,4.0,31.0,3,5,1,negative
66,"Patch Set 4:Henry: Unfortunately this is a binary incompatible change :-(  I fear that we have to introduce a new call that accepts the parameter (and that just calls the ""old"" one with the text to render as a parameter).Adding Andras too - for the case he'd say that we can handle the dependencies right, and we can do the binary incompatible change.  But in generally, we try not to do the incompatible changes.",4,172,2016-11-14 08:33:32,2016-11-11 20:29:57,2016-11-12 10:35:08,45,MERGED,3.0,16.0,4,7,5,negative
138,"Patch Set 1: Code-Review+2 Verified+1It seems the failing TB isn't due to the patch.Moreover, Robert confirms it works with this patch.see https://bugs.documentfoundation.org/show_bug.cgi?id=71251#c23",1,239,2016-11-11 21:54:47,2016-11-11 19:53:49,2016-11-11 19:53:49,2,MERGED,1.0,4.0,3,5,1,negative
181,"Patch Set 3:> > a polite ping still working in this patch? >  > Yes, I am waiting for some comments on the patch. >  > The build reports two statuses - When I checked, it got built > successfully on Windows, mac and Linux. I'm not sure why the first > link says failure. >  > http://ci.libreoffice.org/job/lo_gerrit/182/ : FAILURE > http://ci.libreoffice.org/job/lo_gerrit_master/19944/ : SUCCESSOur ci infrastructure is currently undergoing some changes, and to facilitate that change 2 jobs are used. This is a temporary solution and will change again. But do not worry the reviewers are aware of this.If you look at the failing job (choose console output), then you can see the failure is a git problem, and therefore not related to your patch.",3,278,2016-09-07 10:08:48,2016-04-15 16:13:42,2016-08-05 07:31:05,794,MERGED,12.0,578.0,5,18,5,negative
185,"Patch Set 3:> > (1 comment) > > > > So I did an initial review of the patch and I think the general > > concept is ok but I'm still not sure about some of the details. > > > > Mainly the use of -1 as special column index and having special > > cases for it everywhere. > > > > I'm not sure if we should not instead switch to a solution that > has > > a valid ScAttrArray for any ScColumn and if there is not yet a > > ScColumn inside of the ScTable we query the ScAttrArray stored in > > ScTable. I need to read more and talk to you, Eike and Kohei to > see > > what is the best solution. >  > Thanks for the review. >  > The ScAttrArray object (aNextColAttrArray) in the ScTable has its > nCol member set to -1 to indicate that it represents all > unallocated columns. The check nCol == -1 in ScAttrArray methods is > to prevent making calls to pDocument methods like InvalidateTextWidth() > from aNextColAttrArray as it requires a valid/existing Column. >  > The special cases in the ScAttrArray methods are in fact for the > case of default formatting where nCount == 0 and pData == nullptr.But do we actually call these methods for the default formatting? As far as I read the code the default formatting is stored in the ScTable instance. If these methods are supposed to be never called for the default formatting I think an assert is the better solution.Sorry that it currently takes me a bit longer to review patches. I'm quite busy with my thesis and can not afford to spend too much time on LibreOffice.",3,278,2016-10-13 05:17:01,2016-04-15 16:13:42,2016-08-05 07:31:05,1653,MERGED,12.0,578.0,5,18,5,negative
262,"Patch Set 1:> Those vars are read without a mutex locked, > so dialogs can still be displayed multiple times.That's possible, but highly improbable (requires two UI (!) code paths to cross this in ~exactly same time), and I suppose that reading bool without lock is safe to prefer faster implementation to the one that has mutex overhead. > no, not unconditionally; each instance of JavaContext creates at > most one instance of JavaInteractionHandlerSorry, missed that. Will look further.",1,345,2016-11-03 14:43:16,2016-11-03 12:53:09,2016-11-03 12:53:09,1,MERGED,2.0,21.0,3,11,5,negative
288,Patch Set 1: Code-Review+2 Verified+1build failure looks unrelated,1,366,2016-11-07 15:50:36,2016-11-07 09:28:26,2016-11-07 09:28:26,6,MERGED,2.0,4.0,4,5,1,negative
290,Patch Set 1: Verified+1build failure looks unrelated,1,367,2016-11-07 15:44:21,2016-11-07 11:18:56,2016-11-07 11:20:27,4,MERGED,7.0,18.0,4,6,1,negative
294,Patch Set 4: Code-Review+2 Verified+1CI on windows has gone a tad crazy it seems =),4,370,2016-11-07 13:37:38,2016-11-04 20:19:12,2016-11-07 12:25:51,1,MERGED,3.0,91.0,3,4,5,negative
307,"Patch Set 1:So, this works but really I have no idea what is all going on under the hood here, so this is a discussion starter and my commit message might be totally wrong. Likely also needed for sftp - potentially for webdav?",1,381,2016-10-26 17:13:33,2016-10-26 16:59:32,2016-10-26 16:59:32,0,MERGED,1.0,3.0,2,5,6,negative
359,Patch Set 1: Code-Review+2 Verified+1The only fail TB is Windows one and it's unrelated to the patch,1,428,2016-11-05 21:28:39,2016-11-05 20:44:06,2016-11-05 20:44:06,0,MERGED,1.0,13.0,3,5,1,negative
367,Patch Set 1: Code-Review+2 Verified+1Unrelated build failure.,1,435,2016-11-05 18:08:19,2016-11-01 14:35:43,2016-11-01 14:35:43,99,MERGED,1.0,1235.0,4,5,1,negative
369,Patch Set 1: Code-Review+2 Verified+1Unrelated build failure.,1,436,2016-11-05 18:07:32,2016-11-01 15:20:56,2016-11-01 15:20:56,98,MERGED,2.0,2266.0,4,5,1,negative
371,Patch Set 1: Code-Review+2 Verified+1Unrelated build failure.,1,437,2016-11-05 18:06:45,2016-11-01 14:44:06,2016-11-01 14:44:06,99,MERGED,1.0,1270.0,4,5,1,negative
386,Patch Set 1: Code-Review+2 Verified+1unrelated windows build failure.,1,451,2016-11-05 04:16:59,2016-11-04 14:07:03,2016-11-04 21:48:50,6,MERGED,6.0,17.0,3,5,1,negative
482,Patch Set 1: Code-Review+2 Verified+1Windows failure looks unrelated.,1,535,2016-11-02 15:04:06,2016-11-02 10:11:30,2016-11-02 10:11:30,4,MERGED,1.0,2.0,4,5,1,negative
495,Patch Set 6: Code-Review+1I don't know if I have abused any ID conventions with SID_ALLOW_PADDING_WITHOUT_BORDERS. That's a massive mess that could use some basic in-line documentation.,6,547,2016-10-29 16:19:42,2016-10-29 14:26:57,2016-10-29 15:18:35,1,MERGED,4.0,26.0,2,5,9,negative
497,Patch Set 1:I don't know if I have abused any ID conventions.  That's a massive mess that could use some basic in-line documentation.,1,547,2016-09-01 19:47:41,2016-09-01 17:56:11,2016-09-01 17:56:11,1,MERGED,4.0,19.0,2,6,9,negative
